Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country, GDP (USD Millions) 
Japan,JPN,11,7,7,25,1968,Mexico City,MEX," $146,601,000,000.00 "
Iran,IRN,2,1,2,5,1968,Mexico City,MEX," $8,623,172,960.00 "
Switzerland,CHE,0,1,4,5,1968,Mexico City,MEX," $18,942,729,779.00 "
India,IND,0,0,1,1,1968,Mexico City,MEX," $53,085,455,871.00 "
Hungary,HUN,10,10,12,32,1968,Mexico City,MEX, $-   
Uganda,UGA,0,1,1,2,1968,Mexico City,MEX," $1,037,815,126.00 "
Kenya,KEN,3,4,2,9,1968,Mexico City,MEX," $1,353,295,458.00 "
Pakistan,PAK,0,1,0,1,1972,Munich,DEU," $9,415,016,360.00 "
Germany,DEU,20,23,23,66,1972,Munich,DEU," $299,802,000,000.00 "
Uganda,UGA,1,1,0,2,1972,Munich,DEU," $1,491,596,639.00 "
Norway,NOR,2,1,1,4,1972,Munich,DEU," $17,358,610,850.00 "
Turkey,TUR,0,1,0,1,1972,Munich,DEU," $20,431,095,406.00 "
Yugoslavia,YUG,2,1,2,5,1972,Munich,DEU,
Niger,NER,0,0,1,1,1972,Munich,DEU," $742,779,740.40 "
United States,USA,33,31,30,94,1972,Munich,DEU," $1,279,110,000,000.00 "
Ghana,GHA,0,0,1,1,1972,Munich,DEU," $2,112,292,945.00 "
Denmark,DNK,1,0,0,1,1972,Munich,DEU," $23,232,379,952.00 "
Jamaica,JAM,0,0,1,1,1972,Munich,DEU," $1,875,048,860.00 "
France,FRA,2,4,7,13,1972,Munich,DEU," $203,494,000,000.00 "
Romania,ROU,3,6,7,16,1972,Munich,DEU, $-   
Finland,FIN,3,1,4,8,1972,Munich,DEU," $14,743,186,120.00 "
Mexico,MEX,0,1,0,1,1972,Munich,DEU," $45,200,000,000.00 "
Sweden,SWE,4,6,6,16,1972,Munich,DEU," $48,954,145,809.00 "
Brazil,BRA,0,0,2,2,1972,Munich,DEU," $58,539,008,786.00 "
Russia,RUS,50,27,22,99,1972,Munich,DEU, $-   
Italy,ITA,5,3,10,18,1972,Munich,DEU," $145,260,000,000.00 "
South Korea,KOR,0,1,0,1,1972,Munich,DEU," $10,862,327,878.00 "
Australia,AUS,8,7,2,17,1972,Munich,DEU," $51,967,289,720.00 "
Greece,GRC,0,2,0,2,1972,Munich,DEU," $16,885,511,364.00 "
Bulgaria,BGR,6,10,5,21,1972,Munich,DEU, $-   
Switzerland,CHE,0,3,0,3,1972,Munich,DEU, $-   
Canada,CAN,0,2,3,5,1972,Munich,DEU," $113,083,000,000.00 "
India,IND,0,0,1,1,1972,Munich,DEU," $71,463,193,830.00 "
Colombia,COL,0,1,2,3,1972,Munich,DEU," $8,671,358,733.00 "
Belgium,BEL,0,2,0,2,1972,Munich,DEU," $37,209,418,019.00 "
Japan,JPN,13,8,8,29,1972,Munich,DEU," $318,031,000,000.00 "
Mongolia,MNG,0,1,0,1,1972,Munich,DEU, $-   
Lebanon,LBN,0,1,0,1,1972,Munich,DEU, $-   
Iran,IRN,0,2,1,3,1972,Munich,DEU," $17,153,463,263.00 "
North Korea,PRK,1,1,3,5,1972,Munich,DEU, $-   
Ethiopia,ETH,0,0,2,2,1972,Munich,DEU, $-   
Tunisia,TUN,0,1,0,1,1972,Munich,DEU," $2,237,476,420.00 "
Argentina,ARG,0,1,0,1,1972,Munich,DEU," $34,733,000,536.00 "
Poland,POL,7,5,9,21,1972,Munich,DEU, $-   
United Kingdom,GBR,4,5,9,18,1972,Munich,DEU," $169,965,000,000.00 "
Austria,AUT,0,1,2,3,1972,Munich,DEU," $22,059,612,477.00 "
Germany,DEU,13,11,16,40,1972,Munich,DEU," $299,802,000,000.00 "
Spain,ESP,0,0,1,1,1972,Munich,DEU," $59,132,415,221.00 "
Netherlands,NLD,3,1,1,5,1972,Munich,DEU," $54,706,557,264.00 "
Cuba,CUB,3,1,4,8,1972,Munich,DEU," $8,135,150,892.00 "
Czech Republic,CZE,2,4,2,8,1972,Munich,DEU, $-   
Hungary,HUN,6,13,16,35,1972,Munich,DEU, $-   
Kenya,KEN,2,3,4,9,1972,Munich,DEU," $2,107,279,157.00 "
New Zealand,NZL,1,1,1,3,1972,Munich,DEU," $9,567,331,065.00 "
Nigeria,NGA,0,0,1,1,1972,Munich,DEU," $12,274,416,018.00 "
Bulgaria,BGR,6,9,7,22,1976,Montreal,CAN, $-   
Canada,CAN,0,5,6,11,1976,Montreal,CAN," $206,576,000,000.00 "
Romania,ROU,4,9,14,27,1976,Montreal,CAN, $-   
South Korea,KOR,1,1,4,6,1976,Montreal,CAN," $29,902,479,339.00 "
Trinidad and Tobago,TTO,1,0,0,1,1976,Montreal,CAN," $2,500,410,584.00 "
Germany,DEU,10,12,17,39,1976,Montreal,CAN," $519,754,000,000.00 "
Netherlands,NLD,0,2,3,5,1976,Montreal,CAN," $109,169,000,000.00 "
Jamaica,JAM,1,1,0,2,1976,Montreal,CAN," $2,966,010,230.00 "
Thailand,THA,0,0,1,1,1976,Montreal,CAN," $16,985,211,146.00 "
Austria,AUT,0,0,1,1,1976,Montreal,CAN," $42,959,976,222.00 "
Iran,IRN,0,1,1,2,1976,Montreal,CAN," $68,055,295,081.00 "
Mongolia,MNG,0,1,0,1,1976,Montreal,CAN, $-   
United States,USA,34,35,25,94,1976,Montreal,CAN," $1,873,410,000,000.00 "
Finland,FIN,4,2,0,6,1976,Montreal,CAN," $31,849,513,771.00 "
United Kingdom,GBR,3,5,5,13,1976,Montreal,CAN," $232,615,000,000.00 "
Russia,RUS,49,41,35,125,1976,Montreal,CAN, $-   
Japan,JPN,9,6,10,25,1976,Montreal,CAN," $586,162,000,000.00 "
Germany,DEU,40,25,25,90,1976,Montreal,CAN," $519,754,000,000.00 "
North Korea,PRK,1,1,0,2,1976,Montreal,CAN, $-   
Sweden,SWE,4,1,0,5,1976,Montreal,CAN," $89,362,071,673.00 "
New Zealand,NZL,2,1,1,4,1976,Montreal,CAN," $13,604,832,424.00 "
Belgium,BEL,0,3,3,6,1976,Montreal,CAN," $71,113,882,968.00 "
Italy,ITA,2,7,4,13,1976,Montreal,CAN," $224,717,000,000.00 "
Bermuda,BMU,0,0,1,1,1976,Montreal,CAN," $386,300,000.00 "
Denmark,DNK,1,0,2,3,1976,Montreal,CAN," $44,575,892,473.00 "
Puerto Rico,PRI,0,0,1,1,1976,Montreal,CAN," $8,968,600,000.00 "
Brazil,BRA,0,0,2,2,1976,Montreal,CAN," $152,678,000,000.00 "
Pakistan,PAK,0,0,1,1,1976,Montreal,CAN," $13,168,080,808.00 "
Venezuela,VEN,0,1,0,1,1976,Montreal,CAN," $31,419,534,884.00 "
Poland,POL,7,6,13,26,1976,Montreal,CAN, $-   
Yugoslavia,YUG,2,3,3,8,1976,Montreal,CAN,
Mexico,MEX,1,0,1,2,1976,Montreal,CAN," $89,025,974,026.00 "
Australia,AUS,0,1,4,5,1976,Montreal,CAN," $104,921,000,000.00 "
Hungary,HUN,4,5,13,22,1976,Montreal,CAN, $-   
Czech Republic,CZE,2,2,4,8,1976,Montreal,CAN, $-   
Portugal,PRT,0,2,0,2,1976,Montreal,CAN," $20,332,831,565.00 "
France,FRA,2,3,4,9,1976,Montreal,CAN," $372,319,000,000.00 "
Cuba,CUB,6,4,3,13,1976,Montreal,CAN," $13,789,579,903.00 "
Spain,ESP,0,2,0,2,1976,Montreal,CAN," $118,507,000,000.00 "
Norway,NOR,1,1,0,2,1976,Montreal,CAN," $35,942,270,686.00 "
Switzerland,CHE,1,1,2,4,1976,Montreal,CAN, $-   
Venezuela,VEN,0,1,0,1,1980,Moscow,RUS," $59,116,511,628.00 "
Jamaica,JAM,0,0,3,3,1980,Moscow,RUS," $2,679,409,453.00 "
Bulgaria,BGR,8,16,17,41,1980,Moscow,RUS," $19,839,230,769.00 "
Russia,RUS,80,69,46,195,1980,Moscow,RUS, $-   
India,IND,1,0,0,1,1980,Moscow,RUS," $186,325,000,000.00 "
Brazil,BRA,2,0,2,4,1980,Moscow,RUS," $235,025,000,000.00 "
Italy,ITA,8,3,4,15,1980,Moscow,RUS," $477,257,000,000.00 "
Spain,ESP,1,3,2,6,1980,Moscow,RUS," $232,767,000,000.00 "
Netherlands,NLD,0,1,2,3,1980,Moscow,RUS," $195,152,000,000.00 "
Uganda,UGA,0,1,0,1,1980,Moscow,RUS," $1,244,610,000.00 "
Belgium,BEL,1,0,0,1,1980,Moscow,RUS," $126,829,000,000.00 "
Cuba,CUB,8,7,5,20,1980,Moscow,RUS," $19,912,889,861.00 "
Switzerland,CHE,2,0,0,2,1980,Moscow,RUS," $122,661,000,000.00 "
Poland,POL,3,14,15,32,1980,Moscow,RUS, $-   
Sweden,SWE,3,3,6,12,1980,Moscow,RUS," $142,092,000,000.00 "
Romania,ROU,6,6,13,25,1980,Moscow,RUS, $-   
Ireland,IRL,0,1,1,2,1980,Moscow,RUS," $21,751,265,577.00 "
Zimbabwe,ZWE,1,0,0,1,1980,Moscow,RUS," $6,678,868,200.00 "
United Kingdom,GBR,5,7,9,21,1980,Moscow,RUS," $564,948,000,000.00 "
Tanzania,TZA,0,2,0,2,1980,Moscow,RUS, $-   
France,FRA,6,5,3,14,1980,Moscow,RUS," $701,288,000,000.00 "
Mexico,MEX,0,1,3,4,1980,Moscow,RUS," $205,139,000,000.00 "
Hungary,HUN,7,10,15,32,1980,Moscow,RUS, $-   
Germany,DEU,47,37,42,126,1980,Moscow,RUS," $950,291,000,000.00 "
Ethiopia,ETH,2,0,2,4,1980,Moscow,RUS, $-   
Czech Republic,CZE,2,3,9,14,1980,Moscow,RUS, $-   
Finland,FIN,3,1,4,8,1980,Moscow,RUS," $53,645,202,423.00 "
North Korea,PRK,0,3,2,5,1980,Moscow,RUS, $-   
Greece,GRC,1,0,2,3,1980,Moscow,RUS," $56,829,664,269.00 "
Yugoslavia,YUG,2,3,4,9,1980,Moscow,RUS,
Denmark,DNK,2,1,2,5,1980,Moscow,RUS," $71,127,528,700.00 "
Mongolia,MNG,0,2,2,4,1980,Moscow,RUS, $-   
Guyana,GUY,0,0,1,1,1980,Moscow,RUS," $603,200,000.00 "
Austria,AUT,1,2,1,4,1980,Moscow,RUS," $82,058,912,997.00 "
Australia,AUS,2,2,5,9,1980,Moscow,RUS," $149,776,000,000.00 "
Lebanon,LBN,0,0,1,1,1980,Moscow,RUS, $-   
Kenya,KEN,1,0,2,3,1984,Los Angeles,USA," $6,191,437,070.00 "
Morocco,MAR,2,0,0,2,1984,Los Angeles,USA," $14,824,728,528.00 "
Dominican Republic,DOM,0,0,1,1,1984,Los Angeles,USA," $11,594,000,000.00 "
Turkey,TUR,0,0,3,3,1984,Los Angeles,USA," $59,989,909,458.00 "
Syria,SYR,0,1,0,1,1984,Los Angeles,USA," $17,503,082,982.00 "
Colombia,COL,0,1,0,1,1984,Los Angeles,USA," $38,253,120,738.00 "
China,CHN,15,8,9,32,1984,Los Angeles,USA," $259,947,000,000.00 "
Yugoslavia,YUG,7,4,7,18,1984,Los Angeles,USA,
Puerto Rico,PRI,0,1,1,2,1984,Los Angeles,USA," $19,162,600,000.00 "
Romania,ROU,20,16,17,53,1984,Los Angeles,USA, $-   
Netherlands,NLD,5,2,6,13,1984,Los Angeles,USA," $143,913,000,000.00 "
Chinese Taipei,TPE,0,0,1,1,1984,Los Angeles,USA,
Japan,JPN,10,8,14,32,1984,Los Angeles,USA," $1,318,380,000,000.00 "
Switzerland,CHE,0,4,4,8,1984,Los Angeles,USA," $109,547,000,000.00 "
Egypt,EGY,0,1,0,1,1984,Los Angeles,USA," $33,971,188,992.00 "
South Korea,KOR,6,6,7,19,1984,Los Angeles,USA," $97,510,235,986.00 "
Venezuela,VEN,0,0,3,3,1984,Los Angeles,USA," $60,010,285,714.00 "
Nigeria,NGA,0,1,1,2,1984,Los Angeles,USA," $73,484,359,521.00 "
Denmark,DNK,0,3,3,6,1984,Los Angeles,USA," $59,105,236,854.00 "
Austria,AUT,1,1,1,3,1984,Los Angeles,USA," $67,985,344,887.00 "
Spain,ESP,1,2,2,5,1984,Los Angeles,USA," $172,103,000,000.00 "
Portugal,PRT,1,0,2,3,1984,Los Angeles,USA," $25,217,969,050.00 "
Greece,GRC,0,1,1,2,1984,Los Angeles,USA," $48,020,024,184.00 "
New Zealand,NZL,8,1,2,11,1984,Los Angeles,USA," $21,665,975,319.00 "
Brazil,BRA,1,5,2,8,1984,Los Angeles,USA," $209,024,000,000.00 "
Iceland,ISL,0,0,1,1,1984,Los Angeles,USA," $2,864,441,356.00 "
Zambia,ZMB,0,0,1,1,1984,Los Angeles,USA," $2,739,444,444.00 "
Canada,CAN,10,18,16,44,1984,Los Angeles,USA," $355,373,000,000.00 "
Sweden,SWE,2,11,6,19,1984,Los Angeles,USA," $109,201,000,000.00 "
Germany,DEU,17,19,23,59,1984,Los Angeles,USA," $725,111,000,000.00 "
Ireland,IRL,0,1,0,1,1984,Los Angeles,USA," $20,109,800,239.00 "
Cameroon,CMR,0,0,1,1,1984,Los Angeles,USA," $7,311,937,457.00 "
Norway,NOR,0,1,2,3,1984,Los Angeles,USA," $62,057,955,033.00 "
Belgium,BEL,1,1,2,4,1984,Los Angeles,USA," $83,349,530,159.00 "
Pakistan,PAK,1,0,0,1,1984,Los Angeles,USA," $31,151,825,467.00 "
Ivory Coast,CIV,0,1,0,1,1984,Los Angeles,USA," $6,841,638,715.00 "
France,FRA,5,7,16,28,1984,Los Angeles,USA," $530,684,000,000.00 "
Peru,PER,0,1,0,1,1984,Los Angeles,USA," $17,599,660,054.00 "
Algeria,DZA,0,0,2,2,1984,Los Angeles,USA," $53,698,278,906.00 "
Italy,ITA,14,6,12,32,1984,Los Angeles,USA," $437,888,000,000.00 "
Australia,AUS,4,8,12,24,1984,Los Angeles,USA," $193,242,000,000.00 "
Mexico,MEX,2,3,1,6,1984,Los Angeles,USA," $184,261,000,000.00 "
Jamaica,JAM,0,1,2,3,1984,Los Angeles,USA," $2,373,566,957.00 "
United Kingdom,GBR,5,11,21,37,1984,Los Angeles,USA," $461,487,000,000.00 "
Finland,FIN,4,2,6,12,1984,Los Angeles,USA," $52,888,800,950.00 "
United States,USA,83,61,30,174,1984,Los Angeles,USA," $4,037,610,000,000.00 "
Thailand,THA,0,1,0,1,1984,Los Angeles,USA," $41,797,592,963.00 "
Mongolia,MNG,0,0,1,1,1988,Seoul,KOR," $3,204,461,567.00 "
Senegal,SEN,0,1,0,1,1988,Seoul,KOR," $6,418,419,798.00 "
Czech Republic,CZE,3,3,2,8,1988,Seoul,KOR, $-   
U.S. Virgin Islands,VIR,0,1,0,1,1988,Seoul,KOR, $-   
Colombia,COL,0,0,1,1,1988,Seoul,KOR," $39,212,550,050.00 "
New Zealand,NZL,3,2,8,13,1988,Seoul,KOR," $45,176,811,594.00 "
Poland,POL,2,5,9,16,1988,Seoul,KOR, $-   
Netherlands,NLD,2,2,5,9,1988,Seoul,KOR," $261,911,000,000.00 "
Costa Rica,CRI,0,1,0,1,1988,Seoul,KOR," $4,614,629,898.00 "
Philippines,PHL,0,0,1,1,1988,Seoul,KOR," $37,885,440,419.00 "
Turkey,TUR,1,1,0,2,1988,Seoul,KOR," $90,852,814,005.00 "
France,FRA,6,4,6,16,1988,Seoul,KOR," $1,018,850,000,000.00 "
Norway,NOR,2,3,0,5,1988,Seoul,KOR," $101,900,000,000.00 "
Finland,FIN,1,1,2,4,1988,Seoul,KOR," $109,059,000,000.00 "
Romania,ROU,7,11,6,24,1988,Seoul,KOR," $40,809,523,810.00 "
Brazil,BRA,1,2,3,6,1988,Seoul,KOR," $330,397,000,000.00 "
Belgium,BEL,0,0,2,2,1988,Seoul,KOR," $162,299,000,000.00 "
Mexico,MEX,0,0,2,2,1988,Seoul,KOR," $181,612,000,000.00 "
Peru,PER,0,1,0,1,1988,Seoul,KOR," $15,439,408,447.00 "
Australia,AUS,3,6,5,14,1988,Seoul,KOR," $235,658,000,000.00 "
Bulgaria,BGR,10,12,13,35,1988,Seoul,KOR," $22,555,941,176.00 "
Pakistan,PAK,0,0,1,1,1988,Seoul,KOR," $38,472,742,808.00 "
Austria,AUT,1,0,0,1,1988,Seoul,KOR," $133,339,000,000.00 "
Netherlands Antilles,ANT,0,1,0,1,1988,Seoul,KOR,
Denmark,DNK,2,1,1,4,1988,Seoul,KOR," $115,553,000,000.00 "
United States,USA,36,31,27,94,1988,Seoul,KOR," $5,236,440,000,000.00 "
Chile,CHL,0,1,0,1,1988,Seoul,KOR," $26,040,229,793.00 "
China,CHN,5,11,12,28,1988,Seoul,KOR," $312,354,000,000.00 "
Thailand,THA,0,0,1,1,1988,Seoul,KOR," $61,667,199,835.00 "
Switzerland,CHE,0,2,2,4,1988,Seoul,KOR," $215,722,000,000.00 "
Italy,ITA,6,4,4,14,1988,Seoul,KOR," $891,609,000,000.00 "
Germany,DEU,11,14,15,40,1988,Seoul,KOR," $1,401,230,000,000.00 "
Spain,ESP,1,1,2,4,1988,Seoul,KOR," $376,160,000,000.00 "
Greece,GRC,0,0,1,1,1988,Seoul,KOR," $76,261,277,925.00 "
Argentina,ARG,0,1,1,2,1988,Seoul,KOR," $126,207,000,000.00 "
Indonesia,IDN,0,1,0,1,1988,Seoul,KOR," $84,300,174,477.00 "
Jamaica,JAM,0,2,0,2,1988,Seoul,KOR," $3,828,310,735.00 "
Japan,JPN,4,3,7,14,1988,Seoul,KOR," $3,071,680,000,000.00 "
Germany,DEU,37,35,30,102,1988,Seoul,KOR," $1,401,230,000,000.00 "
South Korea,KOR,12,10,11,33,1988,Seoul,KOR," $199,591,000,000.00 "
Yugoslavia,YUG,3,4,5,12,1988,Seoul,KOR,
United Kingdom,GBR,5,10,9,24,1988,Seoul,KOR," $910,123,000,000.00 "
Sweden,SWE,0,4,7,11,1988,Seoul,KOR," $206,987,000,000.00 "
Morocco,MAR,1,0,2,3,1988,Seoul,KOR," $25,705,296,184.00 "
Canada,CAN,3,2,5,10,1988,Seoul,KOR," $507,354,000,000.00 "
Russia,RUS,55,31,46,132,1988,Seoul,KOR," $554,713,000,000.00 "
Djibouti,DJI,0,0,1,1,1988,Seoul,KOR," $395,794,538.60 "
Portugal,PRT,1,0,0,1,1988,Seoul,KOR," $56,347,250,696.00 "
Hungary,HUN,11,6,6,23,1988,Seoul,KOR, $-   
Kenya,KEN,5,2,2,9,1988,Seoul,KOR," $8,355,380,879.00 "
Iran,IRN,0,1,0,1,1988,Seoul,KOR," $123,058,000,000.00 "
Suriname,SUR,1,0,0,1,1988,Seoul,KOR," $1,161,000,000.00 "
Romania,ROU,4,6,8,18,1992,Barcelona,ESP," $25,121,666,667.00 "
South Korea,KOR,12,5,12,29,1992,Barcelona,ESP," $355,525,000,000.00 "
Mexico,MEX,0,1,0,1,1992,Barcelona,ESP," $363,158,000,000.00 "
South Africa,ZAF,0,2,0,2,1992,Barcelona,ESP," $134,545,000,000.00 "
Estonia,EST,1,0,1,2,1992,Barcelona,ESP, $-   
Germany,DEU,33,21,28,82,1992,Barcelona,ESP," $2,131,570,000,000.00 "
Greece,GRC,2,0,0,2,1992,Barcelona,ESP," $116,225,000,000.00 "
Latvia,LVA,0,2,1,3,1992,Barcelona,ESP, $-   
Ghana,GHA,0,0,1,1,1992,Barcelona,ESP," $6,413,901,602.00 "
Morocco,MAR,1,1,1,3,1992,Barcelona,ESP," $33,711,069,431.00 "
Denmark,DNK,1,1,4,6,1992,Barcelona,ESP," $152,916,000,000.00 "
Finland,FIN,1,2,2,5,1992,Barcelona,ESP," $112,533,000,000.00 "
Mongolia,MNG,0,0,2,2,1992,Barcelona,ESP," $1,317,611,864.00 "
Australia,AUS,7,9,11,27,1992,Barcelona,ESP," $324,884,000,000.00 "
Suriname,SUR,0,0,1,1,1992,Barcelona,ESP," $404,600,000.00 "
Thailand,THA,0,0,1,1,1992,Barcelona,ESP," $111,453,000,000.00 "
France,FRA,8,5,16,29,1992,Barcelona,ESP," $1,401,470,000,000.00 "
Ethiopia,ETH,1,0,2,3,1992,Barcelona,ESP," $10,492,993,078.00 "
Puerto Rico,PRI,0,0,1,1,1992,Barcelona,ESP," $34,630,430,000.00 "
Netherlands,NLD,2,6,7,15,1992,Barcelona,ESP," $362,963,000,000.00 "
Hungary,HUN,11,12,7,30,1992,Barcelona,ESP," $38,730,585,922.00 "
Switzerland,CHE,1,0,0,1,1992,Barcelona,ESP," $280,157,000,000.00 "
Kenya,KEN,2,4,2,8,1992,Barcelona,ESP," $8,209,129,172.00 "
Austria,AUT,0,2,0,2,1992,Barcelona,ESP," $195,078,000,000.00 "
Cuba,CUB,14,6,11,31,1992,Barcelona,ESP," $22,085,858,243.00 "
Turkey,TUR,2,2,2,6,1992,Barcelona,ESP," $158,459,000,000.00 "
Poland,POL,3,6,10,19,1992,Barcelona,ESP," $94,337,050,693.00 "
Czech Republic,CZE,4,2,1,7,1992,Barcelona,ESP," $34,805,013,230.00 "
Namibia,NAM,0,2,0,2,1992,Barcelona,ESP," $3,429,538,518.00 "
Lithuania,LTU,1,0,1,2,1992,Barcelona,ESP, $-   
