Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country, GDP (USD Millions) 
Malaysia,MYS,0,0,1,1,1992,Barcelona,ESP," $59,167,550,163.00 "
Slovenia,SVN,0,0,2,2,1992,Barcelona,ESP, $-   
Croatia,HRV,0,1,2,3,1992,Barcelona,ESP, $-   
China,CHN,16,22,16,54,1992,Barcelona,ESP," $426,916,000,000.00 "
United States,USA,37,34,37,108,1992,Barcelona,ESP," $6,520,330,000,000.00 "
Spain,ESP,13,7,2,22,1992,Barcelona,ESP," $630,916,000,000.00 "
Japan,JPN,3,8,11,22,1992,Barcelona,ESP," $3,908,810,000,000.00 "
Colombia,COL,0,0,1,1,1992,Barcelona,ESP," $58,418,985,443.00 "
Unified Team,EUN,45,38,29,112,1992,Barcelona,ESP,
Argentina,ARG,0,0,1,1,1992,Barcelona,ESP," $228,789,000,000.00 "
New Zealand,NZL,1,4,5,10,1992,Barcelona,ESP," $41,649,829,860.00 "
Indonesia,IDN,2,2,1,5,1992,Barcelona,ESP," $128,027,000,000.00 "
Belgium,BEL,0,1,2,3,1992,Barcelona,ESP," $234,782,000,000.00 "
Italy,ITA,6,5,8,19,1992,Barcelona,ESP," $1,320,160,000,000.00 "
Chinese Taipei,TPE,0,1,0,1,1992,Barcelona,ESP,
Israel,ISR,0,1,1,2,1992,Barcelona,ESP, $-   
Pakistan,PAK,0,0,1,1,1992,Barcelona,ESP," $48,884,606,848.00 "
Peru,PER,0,1,0,1,1992,Barcelona,ESP," $35,966,302,303.00 "
Individual Olympic Athletes,IOA,0,1,2,3,1992,Barcelona,ESP,
Bulgaria,BGR,3,7,6,16,1992,Barcelona,ESP," $10,350,515,464.00 "
Nigeria,NGA,0,3,1,4,1992,Barcelona,ESP," $47,794,925,815.00 "
Norway,NOR,2,4,1,7,1992,Barcelona,ESP," $130,838,000,000.00 "
Brazil,BRA,2,1,0,3,1992,Barcelona,ESP," $400,599,000,000.00 "
United Kingdom,GBR,5,3,12,20,1992,Barcelona,ESP," $1,179,660,000,000.00 "
North Korea,PRK,4,0,5,9,1992,Barcelona,ESP, $-   
Canada,CAN,7,4,7,18,1992,Barcelona,ESP," $592,388,000,000.00 "
Sweden,SWE,1,7,4,12,1992,Barcelona,ESP," $284,321,000,000.00 "
Iran,IRN,0,1,2,3,1992,Barcelona,ESP, $-   
Algeria,DZA,1,0,1,2,1992,Barcelona,ESP," $48,003,078,389.00 "
Bahamas,BHS,0,0,1,1,1992,Barcelona,ESP," $3,109,000,000.00 "
Qatar,QAT,0,0,1,1,1992,Barcelona,ESP," $7,646,153,984.00 "
Ireland,IRL,1,1,0,2,1992,Barcelona,ESP," $55,927,302,693.00 "
Jamaica,JAM,0,3,1,4,1992,Barcelona,ESP," $3,535,460,090.00 "
Philippines,PHL,0,0,1,1,1992,Barcelona,ESP," $52,976,344,929.00 "
Azerbaijan,AZE,0,1,0,1,1996,Atlanta,USA," $3,176,333,837.00 "
Australia,AUS,9,9,23,41,1996,Atlanta,USA," $400,303,000,000.00 "
India,IND,0,0,1,1,1996,Atlanta,USA," $392,897,000,000.00 "
Germany,DEU,20,18,27,65,1996,Atlanta,USA," $2,497,240,000,000.00 "
Turkey,TUR,4,1,1,6,1996,Atlanta,USA," $181,476,000,000.00 "
Greece,GRC,4,4,0,8,1996,Atlanta,USA," $145,862,000,000.00 "
Denmark,DNK,4,1,1,6,1996,Atlanta,USA," $187,632,000,000.00 "
Brazil,BRA,3,3,9,15,1996,Atlanta,USA," $850,426,000,000.00 "
Burundi,BDI,1,0,0,1,1996,Atlanta,USA," $869,033,856.30 "
Syria,SYR,1,0,0,1,1996,Atlanta,USA," $13,789,560,878.00 "
Georgia,GEO,0,0,2,2,1996,Atlanta,USA," $3,095,047,604.00 "
United States,USA,44,32,25,101,1996,Atlanta,USA," $8,073,120,000,000.00 "
Czech Republic,CZE,4,3,4,11,1996,Atlanta,USA," $67,387,788,633.00 "
Ecuador,ECU,1,0,0,1,1996,Atlanta,USA," $25,226,393,197.00 "
Thailand,THA,1,0,1,2,1996,Atlanta,USA," $183,035,000,000.00 "
Argentina,ARG,0,2,1,3,1996,Atlanta,USA," $272,150,000,000.00 "
Bulgaria,BGR,3,7,5,15,1996,Atlanta,USA," $12,294,221,473.00 "
Ireland,IRL,3,0,1,4,1996,Atlanta,USA," $75,786,499,496.00 "
China,CHN,16,22,12,50,1996,Atlanta,USA," $863,747,000,000.00 "
Tonga,TON,0,1,0,1,1996,Atlanta,USA," $222,100,576.30 "
Cuba,CUB,9,8,8,25,1996,Atlanta,USA," $25,017,368,700.00 "
Israel,ISR,0,0,1,1,1996,Atlanta,USA," $110,429,000,000.00 "
Finland,FIN,1,2,1,4,1996,Atlanta,USA," $132,129,000,000.00 "
Armenia,ARM,1,1,0,2,1996,Atlanta,USA," $1,596,968,946.00 "
Indonesia,IDN,1,1,2,4,1996,Atlanta,USA," $227,370,000,000.00 "
Trinidad and Tobago,TTO,0,0,2,2,1996,Atlanta,USA," $5,759,537,726.00 "
France,FRA,15,7,15,37,1996,Atlanta,USA," $1,605,680,000,000.00 "
Italy,ITA,13,10,12,35,1996,Atlanta,USA," $1,312,430,000,000.00 "
Algeria,DZA,2,0,1,3,1996,Atlanta,USA," $46,941,582,519.00 "
Ethiopia,ETH,2,0,1,3,1996,Atlanta,USA," $8,547,939,731.00 "
United Kingdom,GBR,1,8,6,15,1996,Atlanta,USA," $1,415,390,000,000.00 "
Sweden,SWE,2,4,2,8,1996,Atlanta,USA," $291,744,000,000.00 "
Iran,IRN,1,1,1,3,1996,Atlanta,USA," $120,404,000,000.00 "
Chinese Taipei,TPE,0,1,0,1,1996,Atlanta,USA,
Canada,CAN,3,11,8,22,1996,Atlanta,USA," $628,546,000,000.00 "
Costa Rica,CRI,1,0,0,1,1996,Atlanta,USA," $11,678,424,512.00 "
Zambia,ZMB,0,1,0,1,1996,Atlanta,USA," $3,597,220,962.00 "
Uzbekistan,UZB,0,1,1,2,1996,Atlanta,USA," $13,948,892,216.00 "
Uganda,UGA,0,0,1,1,1996,Atlanta,USA," $6,044,585,327.00 "
Belarus,BLR,1,6,8,15,1996,Atlanta,USA," $14,756,846,154.00 "
Hong Kong,HKG,1,0,0,1,1996,Atlanta,USA," $159,717,000,000.00 "
Jamaica,JAM,1,3,2,6,1996,Atlanta,USA," $7,393,883,555.00 "
Slovakia,SVK,1,1,1,3,1996,Atlanta,USA," $27,925,036,755.00 "
Morocco,MAR,0,0,2,2,1996,Atlanta,USA," $43,161,452,678.00 "
Kenya,KEN,1,4,3,8,1996,Atlanta,USA," $12,045,858,436.00 "
Namibia,NAM,0,2,0,2,1996,Atlanta,USA," $3,989,208,671.00 "
Spain,ESP,5,6,6,17,1996,Atlanta,USA," $642,589,000,000.00 "
New Zealand,NZL,3,2,1,6,1996,Atlanta,USA," $70,140,835,299.00 "
Serbia and Montenegro,SCG,1,1,2,4,1996,Atlanta,USA,
Romania,ROU,4,7,9,20,1996,Atlanta,USA," $36,937,074,278.00 "
Malaysia,MYS,0,1,1,2,1996,Atlanta,USA," $100,855,000,000.00 "
Lithuania,LTU,0,0,1,1,1996,Atlanta,USA," $8,382,519,637.00 "
Puerto Rico,PRI,0,0,1,1,1996,Atlanta,USA," $45,340,835,000.00 "
Norway,NOR,2,2,3,7,1996,Atlanta,USA," $163,520,000,000.00 "
Poland,POL,7,5,5,17,1996,Atlanta,USA," $160,193,000,000.00 "
South Korea,KOR,7,15,5,27,1996,Atlanta,USA," $610,170,000,000.00 "
Mexico,MEX,0,0,1,1,1996,Atlanta,USA," $410,976,000,000.00 "
South Africa,ZAF,3,1,1,5,1996,Atlanta,USA," $147,608,000,000.00 "
Mozambique,MOZ,0,0,1,1,1996,Atlanta,USA," $3,856,799,844.00 "
Moldova,MDA,0,1,1,2,1996,Atlanta,USA," $1,695,122,174.00 "
Portugal,PRT,1,0,1,2,1996,Atlanta,USA," $122,630,000,000.00 "
Ukraine,UKR,9,2,12,23,1996,Atlanta,USA," $44,558,076,852.00 "
Hungary,HUN,7,4,10,21,1996,Atlanta,USA," $46,658,755,152.00 "
Tunisia,TUN,0,0,1,1,1996,Atlanta,USA," $19,587,322,786.00 "
Bahamas,BHS,0,1,0,1,1996,Atlanta,USA," $3,609,000,000.00 "
Belgium,BEL,2,2,2,6,1996,Atlanta,USA," $279,201,000,000.00 "
Switzerland,CHE,4,3,0,7,1996,Atlanta,USA," $340,471,000,000.00 "
Austria,AUT,0,1,2,3,1996,Atlanta,USA," $237,251,000,000.00 "
Kazakhstan,KAZ,3,4,4,11,1996,Atlanta,USA," $21,035,368,251.00 "
Croatia,HRV,1,1,0,2,1996,Atlanta,USA," $23,846,613,059.00 "
Japan,JPN,3,6,5,14,1996,Atlanta,USA," $4,833,710,000,000.00 "
Nigeria,NGA,2,1,3,6,1996,Atlanta,USA," $51,075,815,093.00 "
Mongolia,MNG,0,0,1,1,1996,Atlanta,USA," $1,345,719,472.00 "
Philippines,PHL,0,1,0,1,1996,Atlanta,USA," $82,848,140,618.00 "
Slovenia,SVN,0,2,0,2,1996,Atlanta,USA," $21,507,232,649.00 "
Latvia,LVA,0,1,0,1,1996,Atlanta,USA," $5,969,114,344.00 "
Russia,RUS,26,21,16,63,1996,Atlanta,USA," $391,725,000,000.00 "
North Korea,PRK,2,1,2,5,1996,Atlanta,USA, $-   
Netherlands,NLD,4,5,10,19,1996,Atlanta,USA," $450,490,000,000.00 "
Ireland,IRL,0,1,0,1,2000,Sydney,AUS," $99,871,239,174.00 "
Algeria,DZA,1,1,3,5,2000,Sydney,AUS," $54,790,379,459.00 "
Jamaica,JAM,0,6,3,9,2000,Sydney,AUS," $9,005,064,475.00 "
Qatar,QAT,0,0,1,1,2000,Sydney,AUS," $17,759,890,110.00 "
Spain,ESP,3,3,5,11,2000,Sydney,AUS," $596,878,000,000.00 "
Iran,IRN,3,0,1,4,2000,Sydney,AUS," $109,592,000,000.00 "
Sweden,SWE,4,5,3,12,2000,Sydney,AUS," $262,835,000,000.00 "
Hungary,HUN,8,6,3,17,2000,Sydney,AUS," $47,218,405,892.00 "
Indonesia,IDN,1,3,2,6,2000,Sydney,AUS," $165,021,000,000.00 "
Japan,JPN,5,8,5,18,2000,Sydney,AUS," $4,887,520,000,000.00 "
Armenia,ARM,0,0,1,1,2000,Sydney,AUS," $1,911,563,669.00 "
India,IND,0,0,1,1,2000,Sydney,AUS," $468,395,000,000.00 "
Australia,AUS,16,25,17,58,2000,Sydney,AUS," $415,223,000,000.00 "
Kazakhstan,KAZ,3,4,0,7,2000,Sydney,AUS," $18,291,994,909.00 "
Iceland,ISL,0,0,1,1,2000,Sydney,AUS," $9,025,660,362.00 "
Israel,ISR,0,0,1,1,2000,Sydney,AUS," $132,705,000,000.00 "
Argentina,ARG,0,2,2,4,2000,Sydney,AUS," $284,204,000,000.00 "
Italy,ITA,13,8,13,34,2000,Sydney,AUS," $1,143,830,000,000.00 "
France,FRA,13,14,11,38,2000,Sydney,AUS," $1,362,250,000,000.00 "
South Korea,KOR,8,10,10,28,2000,Sydney,AUS," $576,178,000,000.00 "
Portugal,PRT,0,0,2,2,2000,Sydney,AUS," $118,311,000,000.00 "
Latvia,LVA,1,1,1,3,2000,Sydney,AUS," $7,949,253,766.00 "
Poland,POL,6,5,3,14,2000,Sydney,AUS," $172,219,000,000.00 "
Nigeria,NGA,1,2,0,3,2000,Sydney,AUS," $69,448,756,933.00 "
Georgia,GEO,0,0,6,6,2000,Sydney,AUS," $3,057,475,335.00 "
Lithuania,LTU,2,0,3,5,2000,Sydney,AUS," $11,524,776,867.00 "
Azerbaijan,AZE,2,0,1,3,2000,Sydney,AUS," $5,272,798,391.00 "
Thailand,THA,1,0,2,3,2000,Sydney,AUS," $126,392,000,000.00 "
Greece,GRC,4,6,3,13,2000,Sydney,AUS," $130,134,000,000.00 "
Macedonia,MKD,0,0,1,1,2000,Sydney,AUS," $3,773,653,058.00 "
Bahamas,BHS,2,0,1,3,2000,Sydney,AUS," $8,076,470,000.00 "
South Africa,ZAF,0,2,3,5,2000,Sydney,AUS," $136,362,000,000.00 "
Finland,FIN,2,1,1,4,2000,Sydney,AUS," $125,707,000,000.00 "
Trinidad and Tobago,TTO,0,1,1,2,2000,Sydney,AUS," $8,154,338,233.00 "
Kyrgyzstan,KGZ,0,0,1,1,2000,Sydney,AUS," $1,369,688,498.00 "
Romania,ROU,11,6,9,26,2000,Sydney,AUS," $37,253,259,017.00 "
Kuwait,KWT,0,0,1,1,2000,Sydney,AUS," $37,712,842,243.00 "
Sri Lanka,LKA,0,1,0,1,2000,Sydney,AUS," $16,330,814,180.00 "
Switzerland,CHE,1,6,2,9,2000,Sydney,AUS," $279,841,000,000.00 "
Germany,DEU,13,17,26,56,2000,Sydney,AUS," $1,943,150,000,000.00 "
Kenya,KEN,2,3,2,7,2000,Sydney,AUS," $12,705,357,103.00 "
North Korea,PRK,0,1,3,4,2000,Sydney,AUS, $-   
Colombia,COL,1,0,0,1,2000,Sydney,AUS," $99,886,577,331.00 "
New Zealand,NZL,1,0,3,4,2000,Sydney,AUS," $52,623,281,957.00 "
Canada,CAN,3,3,8,14,2000,Sydney,AUS," $744,773,000,000.00 "
Saudi Arabia,SAU,0,1,1,2,2000,Sydney,AUS," $189,515,000,000.00 "
Chinese Taipei,TPE,0,1,4,5,2000,Sydney,AUS,
Chile,CHL,0,0,1,1,2000,Sydney,AUS," $77,860,932,152.00 "
China,CHN,28,16,14,58,2000,Sydney,AUS," $1,211,350,000,000.00 "
Morocco,MAR,0,1,4,5,2000,Sydney,AUS," $38,857,251,336.00 "
Mozambique,MOZ,1,0,0,1,2000,Sydney,AUS," $5,656,473,652.00 "
Estonia,EST,1,0,2,3,2000,Sydney,AUS," $5,694,069,842.00 "
Belarus,BLR,3,3,11,17,2000,Sydney,AUS," $12,738,912,134.00 "
Slovenia,SVN,2,0,0,2,2000,Sydney,AUS," $20,289,627,637.00 "
Moldova,MDA,0,1,1,2,2000,Sydney,AUS," $1,288,429,392.00 "
Belgium,BEL,0,2,3,5,2000,Sydney,AUS," $236,205,000,000.00 "
Vietnam,VNM,0,1,0,1,2000,Sydney,AUS," $31,172,518,403.00 "
Brazil,BRA,0,6,6,12,2000,Sydney,AUS," $655,421,000,000.00 "
Russia,RUS,32,28,29,89,2000,Sydney,AUS," $259,710,000,000.00 "
Ukraine,UKR,3,10,10,23,2000,Sydney,AUS," $31,261,718,319.00 "
United States,USA,37,24,32,93,2000,Sydney,AUS," $10,252,300,000,000.00 "
Croatia,HRV,1,0,1,2,2000,Sydney,AUS," $21,633,759,451.00 "
Austria,AUT,2,1,0,3,2000,Sydney,AUS," $196,800,000,000.00 "
Mexico,MEX,1,2,3,6,2000,Sydney,AUS," $707,907,000,000.00 "
Uruguay,URY,0,1,0,1,2000,Sydney,AUS," $22,823,255,802.00 "
Uzbekistan,UZB,1,1,2,4,2000,Sydney,AUS," $13,760,513,969.00 "
Barbados,BRB,0,0,1,1,2000,Sydney,AUS," $3,059,500,000.00 "
Costa Rica,CRI,0,0,2,2,2000,Sydney,AUS," $15,013,629,665.00 "
Slovakia,SVK,1,3,1,5,2000,Sydney,AUS," $29,169,953,013.00 "
Norway,NOR,4,3,3,10,2000,Sydney,AUS," $171,247,000,000.00 "
Denmark,DNK,2,3,1,6,2000,Sydney,AUS," $164,159,000,000.00 "
Bulgaria,BGR,5,6,2,13,2000,Sydney,AUS," $13,245,833,844.00 "
Czech Republic,CZE,2,3,3,8,2000,Sydney,AUS," $61,828,166,496.00 "
Cuba,CUB,11,11,7,29,2000,Sydney,AUS," $30,565,400,000.00 "
Ethiopia,ETH,4,1,3,8,2000,Sydney,AUS," $8,242,392,104.00 "
Cameroon,CMR,1,0,0,1,2000,Sydney,AUS," $10,109,045,071.00 "
Netherlands,NLD,12,9,4,25,2000,Sydney,AUS," $416,443,000,000.00 "
United Kingdom,GBR,11,10,7,28,2000,Sydney,AUS," $1,658,190,000,000.00 "
Serbia and Montenegro,SCG,1,1,1,3,2000,Sydney,AUS,
Turkey,TUR,3,0,2,5,2000,Sydney,AUS," $274,303,000,000.00 "
Greece,GRC,6,6,4,16,2004,Athens,GRC," $240,521,000,000.00 "
Trinidad and Tobago,TTO,0,0,1,1,2004,Athens,GRC," $13,280,275,123.00 "
Switzerland,CHE,1,1,3,5,2004,Athens,GRC," $405,531,000,000.00 "
Israel,ISR,1,0,1,2,2004,Athens,GRC," $135,728,000,000.00 "
Iran,IRN,2,2,2,6,2004,Athens,GRC," $190,043,000,000.00 "
Jamaica,JAM,2,1,2,5,2004,Athens,GRC," $10,174,664,854.00 "
Spain,ESP,3,11,6,20,2004,Athens,GRC," $1,067,090,000,000.00 "
Hong Kong,HKG,0,1,0,1,2004,Athens,GRC," $169,100,000,000.00 "
Indonesia,IDN,1,1,2,4,2004,Athens,GRC," $256,837,000,000.00 "
Japan,JPN,16,9,12,37,2004,Athens,GRC," $4,815,150,000,000.00 "
India,IND,0,1,0,1,2004,Athens,GRC," $709,149,000,000.00 "
Zimbabwe,ZWE,1,1,1,3,2004,Athens,GRC," $5,805,598,400.00 "
Kazakhstan,KAZ,1,4,3,8,2004,Athens,GRC," $43,151,647,003.00 "
Hungary,HUN,8,6,3,17,2004,Athens,GRC," $103,960,000,000.00 "
Dominican Republic,DOM,1,0,0,1,2004,Athens,GRC," $22,322,395,368.00 "
Sweden,SWE,4,2,1,7,2004,Athens,GRC," $385,118,000,000.00 "
Netherlands,NLD,4,9,9,22,2004,Athens,GRC," $657,172,000,000.00 "
Colombia,COL,0,0,2,2,2004,Athens,GRC," $117,082,000,000.00 "
Serbia and Montenegro,SCG,0,2,0,2,2004,Athens,GRC,
Slovakia,SVK,2,2,2,6,2004,Athens,GRC," $57,332,015,148.00 "
China,CHN,32,17,14,63,2004,Athens,GRC," $1,955,350,000,000.00 "
Eritrea,ERI,0,0,1,1,2004,Athens,GRC," $1,109,054,005.00 "
Egypt,EGY,1,1,3,5,2004,Athens,GRC," $78,782,467,532.00 "
Mongolia,MNG,0,0,1,1,2004,Athens,GRC," $1,992,066,808.00 "
Chinese Taipei,TPE,2,2,1,5,2004,Athens,GRC,
New Zealand,NZL,3,2,0,5,2004,Athens,GRC," $103,905,000,000.00 "
United Arab Emirates,ARE,1,0,0,1,2004,Athens,GRC," $147,824,000,000.00 "
Cuba,CUB,9,7,11,27,2004,Athens,GRC," $38,203,000,000.00 "
Croatia,HRV,1,2,2,5,2004,Athens,GRC," $41,587,470,547.00 "
Denmark,DNK,2,1,5,8,2004,Athens,GRC," $251,373,000,000.00 "
Morocco,MAR,2,1,0,3,2004,Athens,GRC," $59,626,020,162.00 "
Turkey,TUR,3,3,4,10,2004,Athens,GRC," $408,876,000,000.00 "
Ukraine,UKR,8,5,9,22,2004,Athens,GRC," $64,819,702,952.00 "
Czech Republic,CZE,1,3,5,9,2004,Athens,GRC," $119,814,000,000.00 "
Estonia,EST,0,1,2,3,2004,Athens,GRC," $12,144,397,516.00 "
Slovenia,SVN,0,1,3,4,2004,Athens,GRC," $34,414,784,504.00 "
Kenya,KEN,1,4,2,7,2004,Athens,GRC," $16,095,337,094.00 "
Syria,SYR,0,0,1,1,2004,Athens,GRC," $25,086,930,693.00 "
North Korea,PRK,0,4,1,5,2004,Athens,GRC, $-   
Argentina,ARG,2,0,4,6,2004,Athens,GRC," $164,658,000,000.00 "
Norway,NOR,5,0,1,6,2004,Athens,GRC," $264,512,000,000.00 "
Portugal,PRT,0,2,1,3,2004,Athens,GRC," $189,035,000,000.00 "
Cameroon,CMR,1,0,0,1,2004,Athens,GRC," $17,462,229,589.00 "
Belarus,BLR,2,5,6,13,2004,Athens,GRC," $23,144,351,852.00 "
Paraguay,PRY,0,1,0,1,2004,Athens,GRC," $9,624,440,836.00 "
Bahamas,BHS,1,0,1,2,2004,Athens,GRC," $9,055,290,000.00 "
Romania,ROU,8,5,6,19,2004,Athens,GRC," $74,972,669,057.00 "
Uzbekistan,UZB,2,1,2,5,2004,Athens,GRC," $12,030,023,548.00 "
Nigeria,NGA,0,0,2,2,2004,Athens,GRC," $136,386,000,000.00 "
Russia,RUS,28,26,36,90,2004,Athens,GRC," $591,017,000,000.00 "
Bulgaria,BGR,2,1,9,12,2004,Athens,GRC," $26,157,894,737.00 "
Poland,POL,3,2,5,10,2004,Athens,GRC," $255,110,000,000.00 "
South Korea,KOR,9,12,9,30,2004,Athens,GRC," $793,175,000,000.00 "
United Kingdom,GBR,9,9,12,30,2004,Athens,GRC," $2,412,050,000,000.00 "
Azerbaijan,AZE,1,0,4,5,2004,Athens,GRC," $8,680,370,408.00 "
Canada,CAN,3,6,3,12,2004,Athens,GRC," $1,026,690,000,000.00 "
Venezuela,VEN,0,0,2,2,2004,Athens,GRC," $112,453,000,000.00 "
Latvia,LVA,0,4,0,4,2004,Athens,GRC," $14,401,882,399.00 "
Austria,AUT,2,4,1,7,2004,Athens,GRC," $300,904,000,000.00 "
Germany,DEU,13,16,20,49,2004,Athens,GRC," $2,809,190,000,000.00 "
Georgia,GEO,2,2,0,4,2004,Athens,GRC," $5,125,365,192.00 "
Lithuania,LTU,1,2,0,3,2004,Athens,GRC," $22,627,507,452.00 "
France,FRA,11,9,13,33,2004,Athens,GRC," $2,115,740,000,000.00 "
South Africa,ZAF,1,3,2,6,2004,Athens,GRC," $228,590,000,000.00 "
Chile,CHL,2,0,1,3,2004,Athens,GRC," $99,210,392,858.00 "
Thailand,THA,3,1,4,8,2004,Athens,GRC," $172,896,000,000.00 "
Ethiopia,ETH,2,3,2,7,2004,Athens,GRC," $10,131,187,261.00 "
Brazil,BRA,5,2,3,10,2004,Athens,GRC," $669,317,000,000.00 "
United States,USA,36,39,26,101,2004,Athens,GRC," $12,213,700,000,000.00 "
Belgium,BEL,1,0,2,3,2004,Athens,GRC," $368,537,000,000.00 "
Australia,AUS,17,16,17,50,2004,Athens,GRC," $612,490,000,000.00 "
Finland,FIN,0,2,0,2,2004,Athens,GRC," $197,117,000,000.00 "
Mexico,MEX,0,3,1,4,2004,Athens,GRC," $782,241,000,000.00 "
Italy,ITA,10,11,11,32,2004,Athens,GRC," $1,803,230,000,000.00 "
France,FRA,7,16,20,43,2008,Beijing,CHN," $2,918,380,000,000.00 "
Jamaica,JAM,5,4,2,11,2008,Beijing,CHN," $13,709,402,085.00 "
Egypt,EGY,0,0,2,2,2008,Beijing,CHN," $162,818,000,000.00 "
Estonia,EST,1,1,0,2,2008,Beijing,CHN," $24,371,299,253.00 "
Ethiopia,ETH,4,2,1,7,2008,Beijing,CHN," $27,066,912,635.00 "
Italy,ITA,8,9,10,27,2008,Beijing,CHN," $2,398,860,000,000.00 "
Israel,ISR,0,0,1,1,2008,Beijing,CHN," $216,339,000,000.00 "
Finland,FIN,1,1,2,4,2008,Beijing,CHN," $284,554,000,000.00 "
Japan,JPN,9,8,8,25,2008,Beijing,CHN," $5,037,910,000,000.00 "
Iceland,ISL,0,1,0,1,2008,Beijing,CHN," $18,074,622,987.00 "
Iran,IRN,1,0,1,2,2008,Beijing,CHN," $412,336,000,000.00 "
Indonesia,IDN,1,1,4,6,2008,Beijing,CHN," $510,229,000,000.00 "
Georgia,GEO,3,2,2,7,2008,Beijing,CHN," $12,795,076,469.00 "
Germany,DEU,16,11,14,41,2008,Beijing,CHN," $3,730,030,000,000.00 "
Greece,GRC,0,2,1,3,2008,Beijing,CHN," $354,461,000,000.00 "
India,IND,1,0,2,3,2008,Beijing,CHN," $1,198,900,000,000.00 "
Ecuador,ECU,0,1,0,1,2008,Beijing,CHN," $61,762,635,000.00 "
Ireland,IRL,0,1,2,3,2008,Beijing,CHN," $274,820,000,000.00 "
Cameroon,CMR,1,0,0,1,2008,Beijing,CHN," $26,516,681,614.00 "
Canada,CAN,3,9,8,20,2008,Beijing,CHN," $1,552,990,000,000.00 "
Morocco,MAR,0,1,1,2,2008,Beijing,CHN," $92,507,257,784.00 "
Armenia,ARM,0,1,4,5,2008,Beijing,CHN," $11,662,040,714.00 "
Dominican Republic,DOM,1,1,0,2,2008,Beijing,CHN," $48,122,547,177.00 "
Austria,AUT,0,1,2,3,2008,Beijing,CHN," $430,294,000,000.00 "
Azerbaijan,AZE,1,1,4,6,2008,Beijing,CHN," $48,852,482,960.00 "
North Korea,PRK,2,2,2,6,2008,Beijing,CHN, $-   
Bulgaria,BGR,1,1,3,5,2008,Beijing,CHN," $54,438,966,420.00 "
Algeria,DZA,0,1,1,2,2008,Beijing,CHN," $171,001,000,000.00 "
Brazil,BRA,3,4,10,17,2008,Beijing,CHN," $1,695,820,000,000.00 "
Netherlands,NLD,7,5,4,16,2008,Beijing,CHN," $947,998,000,000.00 "
Australia,AUS,14,15,17,46,2008,Beijing,CHN," $1,054,000,000,000.00 "
Argentina,ARG,2,0,4,6,2008,Beijing,CHN," $361,558,000,000.00 "
Bahamas,BHS,0,1,1,2,2008,Beijing,CHN," $10,526,000,000.00 "
Portugal,PRT,1,1,0,2,2008,Beijing,CHN," $262,345,000,000.00 "
Belgium,BEL,2,0,0,2,2008,Beijing,CHN," $515,224,000,000.00 "
Nigeria,NGA,0,3,2,5,2008,Beijing,CHN," $337,036,000,000.00 "
Panama,PAN,1,0,0,1,2008,Beijing,CHN," $25,155,888,600.00 "
New Zealand,NZL,3,2,4,9,2008,Beijing,CHN," $133,131,000,000.00 "
Norway,NOR,3,5,1,9,2008,Beijing,CHN," $462,250,000,000.00 "
Poland,POL,4,5,2,11,2008,Beijing,CHN," $533,609,000,000.00 "
Belarus,BLR,3,4,7,14,2008,Beijing,CHN," $60,763,483,146.00 "
Malaysia,MYS,0,1,0,1,2008,Beijing,CHN," $230,814,000,000.00 "
Mongolia,MNG,2,2,0,4,2008,Beijing,CHN," $5,623,216,449.00 "
Latvia,LVA,1,1,1,3,2008,Beijing,CHN," $35,756,225,698.00 "
Moldova,MDA,0,0,1,1,2008,Beijing,CHN," $6,054,849,885.00 "
Sudan,SDN,0,1,0,1,2008,Beijing,CHN," $54,526,580,232.00 "
Singapore,SGP,0,1,0,1,2008,Beijing,CHN," $193,612,000,000.00 "
Uzbekistan,UZB,0,1,3,4,2008,Beijing,CHN," $29,549,438,884.00 "
Venezuela,VEN,0,0,1,1,2008,Beijing,CHN," $315,953,000,000.00 "
Thailand,THA,2,2,2,6,2008,Beijing,CHN," $291,383,000,000.00 "
Togo,TGO,0,0,1,1,2008,Beijing,CHN," $3,323,677,130.00 "
Slovakia,SVK,3,3,0,6,2008,Beijing,CHN," $100,470,000,000.00 "
Slovenia,SVN,1,2,2,5,2008,Beijing,CHN," $55,552,509,155.00 "
Tajikistan,TJK,0,1,1,2,2008,Beijing,CHN," $5,161,337,336.00 "
Trinidad and Tobago,TTO,1,1,0,2,2008,Beijing,CHN," $27,871,587,350.00 "
United Kingdom,GBR,19,13,19,51,2008,Beijing,CHN," $2,921,430,000,000.00 "
United States,USA,36,39,37,112,2008,Beijing,CHN," $14,712,800,000,000.00 "
Vietnam,VNM,0,1,0,1,2008,Beijing,CHN," $99,130,304,099.00 "
Samoa,WSM,0,1,0,1,2008,Beijing,CHN," $619,260,721.60 "
Ukraine,UKR,7,4,11,22,2008,Beijing,CHN," $179,817,000,000.00 "
Sweden,SWE,0,4,1,5,2008,Beijing,CHN," $517,706,000,000.00 "
Spain,ESP,5,11,3,19,2008,Beijing,CHN," $1,625,220,000,000.00 "
Serbia,SRB,0,1,2,3,2008,Beijing,CHN," $52,194,221,469.00 "
Switzerland,CHE,2,1,4,7,2008,Beijing,CHN," $570,304,000,000.00 "
Romania,ROU,4,1,4,9,2008,Beijing,CHN," $214,314,000,000.00 "
Tunisia,TUN,1,0,0,1,2008,Beijing,CHN," $44,860,969,077.00 "
