NOC,Country,Place,Year,Discipline,Gender Cleaned,Event Cleaned
TCH,Czechoslovakia,Gold,1964,Artistic Gymnastics,Women,Balance Beam
TCH,Czechoslovakia,Gold,1964,Artistic Gymnastics,Women,Horse Vault
TCH,Czechoslovakia,Gold,1964,Artistic Gymnastics,Women,Individual All-Around
TCH,Czechoslovakia,Silver,1964,Artistic Gymnastics,Women,Team All-Around
TCH,Czechoslovakia,Silver,1964,Athletics,Men,"1,500 metres"
TCH,Czechoslovakia,Silver,1964,Athletics,Men,Discus Throw
TCH,Czechoslovakia,Gold,1964,Cycling Track,Men,"Individual Pursuit, 4,000 metres"
TCH,Czechoslovakia,Silver,1964,Football,Men,Football
TCH,Czechoslovakia,Bronze,1964,Rowing,Men,Double Sculls
TCH,Czechoslovakia,Bronze,1964,Rowing,Men,Eights
TCH,Czechoslovakia,Bronze,1964,Shooting,Men,"Rapid-Fire Pistol, 25 metres"
TCH,Czechoslovakia,Silver,1964,Volleyball,Men,Volleyball
TCH,Czechoslovakia,Gold,1964,Weightlifting,Men,Middleweight
TCH,Czechoslovakia,Silver,1964,Wrestling,Men,"Middleweight, Greco-Roman"
TCH,Czechoslovakia,Silver,1968,Artistic Athletics,Women,Balance Beam
TCH,Czechoslovakia,Gold,1968,Artistic Athletics,Women,Floor Exercise
TCH,Czechoslovakia,Gold,1968,Artistic Athletics,Women,Horse Vault
TCH,Czechoslovakia,Gold,1968,Artistic Athletics,Women,Individual All-Around
TCH,Czechoslovakia,Silver,1968,Artistic Athletics,Women,Team All-Around
TCH,Czechoslovakia,Gold,1968,Artistic Athletics,Women,Uneven Bars
TCH,Czechoslovakia,Bronze,1968,Athletics,Men,Discus Throw
TCH,Czechoslovakia,Gold,1968,Athletics,Women,High Jump
TCH,Czechoslovakia,Gold,1968,Diving,Women,Platform
TCH,Czechoslovakia,Gold,1968,Shooting,Open,"Small-Bore Rifle, Prone, 50 metres"
TCH,Czechoslovakia,Bronze,1968,Volleyball,Men,Volleyball
TCH,Czechoslovakia,Bronze,1968,Wrestling,Men,"Flyweight, Greco-Roman"
TCH,Czechoslovakia,Bronze,1968,Wrestling,Men,"Heavyweight, Greco-Roman"
TCH,Czechoslovakia,Gold,1972,Athletics,Men,Discus Throw
TCH,Czechoslovakia,Bronze,1972,Athletics,Women,Long Jump
TCH,Czechoslovakia,Silver,1972,Diving,Women,Platform
TCH,Czechoslovakia,Silver,1972,Handball,Men,Handball
TCH,Czechoslovakia,Bronze,1972,Rowing,Men,Coxed Fours
TCH,Czechoslovakia,Silver,1972,Rowing,Men,Coxed Pairs
TCH,Czechoslovakia,Silver,1972,Shooting,Open,"Rapid-Fire Pistol, 25 metres"
TCH,Czechoslovakia,Gold,1972,Wrestling,Men,"Welterweight, Greco-Roman"
TCH,Czechoslovakia,Bronze,1976,Athletics,Women,Shot Put
TCH,Czechoslovakia,Gold,1976,Cycling Track,Men,Sprint
TCH,Czechoslovakia,Bronze,1976,Modern Pentathlon,Men,Individual
TCH,Czechoslovakia,Silver,1976,Modern Pentathlon,Men,Team
TCH,Czechoslovakia,Bronze,1976,Rowing,Men,Coxed Pairs
TCH,Czechoslovakia,Bronze,1976,Rowing,Men,Quadruple Sculls
TCH,Czechoslovakia,Gold,1976,Shooting,Open,Skeet
TCH,Czechoslovakia,Silver,1976,Wrestling,Men,"Welterweight, Greco-Roman"
TCH,Czechoslovakia,Bronze,1980,Artistic Gymnastics,Men,Rings
TCH,Czechoslovakia,Silver,1980,Athletics,Women,400 metres
TCH,Czechoslovakia,Silver,1980,Athletics,Men,Discus Throw
TCH,Czechoslovakia,Bronze,1980,Boxing,Men,Light-Middleweight
TCH,Czechoslovakia,Bronze,1980,Cycling Road,Men,100 kilometres Team Time Trial
TCH,Czechoslovakia,Bronze,1980,Cycling Track,Men,"Team Pursuit, 4,000 metres"
TCH,Czechoslovakia,Gold,1980,Football,Men,Football
TCH,Czechoslovakia,Silver,1980,Hockey,Women,Hockey
TCH,Czechoslovakia,Bronze,1980,Judo,Men,Heavyweight
TCH,Czechoslovakia,Bronze,1980,Rowing,Men,Double Sculls
TCH,Czechoslovakia,Gold,1980,Weightlifting,Men,Heavyweight I
TCH,Czechoslovakia,Bronze,1980,Weightlifting,Men,Light-Heavyweight
TCH,Czechoslovakia,Bronze,1980,Wrestling,Men,"Heavyweight, Freestyle"
TCH,Czechoslovakia,Bronze,1980,Wrestling,Men,"Welterweight, Freestyle"
TCH,Czechoslovakia,Gold,1988,Athletics,Men,20 kilometres Walk
TCH,Czechoslovakia,Silver,1988,Athletics,Men,Javelin Throw
TCH,Czechoslovakia,Gold,1988,Shooting,Men,"Small-Bore Rifle, Prone, 50 metres"
TCH,Czechoslovakia,Silver,1988,Shooting,Open,Trap
TCH,Czechoslovakia,Bronze,1988,Tennis,Men,Doubles
TCH,Czechoslovakia,Silver,1988,Tennis,Women,Doubles
TCH,Czechoslovakia,Gold,1988,Tennis,Men,Singles
TCH,Czechoslovakia,Bronze,1988,Wrestling,Men,"Middleweight, Freestyle"
TCH,Czechoslovakia,Gold,1992,Athletics,Men,Decathlon
TCH,Czechoslovakia,Gold,1992,Athletics,Men,Javelin Throw
TCH,Czechoslovakia,Silver,1992,Canoe Slalom,Men,"Canadian Doubles, Slalom"
TCH,Czechoslovakia,Gold,1992,Canoe Slalom,Men,"Canadian Singles, Slalom"
TCH,Czechoslovakia,Silver,1992,Rowing,Men,Single Sculls
TCH,Czechoslovakia,Bronze,1992,Shooting,Men,"Running Target, 10 metres"
TCH,Czechoslovakia,Gold,1992,Shooting,Open,Trap
URS,Russia,Silver,1964,Artistic Gymnastics,Women,Balance Beam
URS,Russia,Bronze,1964,Artistic Gymnastics,Women,Balance Beam
URS,Russia,Silver,1964,Artistic Gymnastics,Men,Floor Exercise
URS,Russia,Gold,1964,Artistic Gymnastics,Women,Floor Exercise
URS,Russia,Silver,1964,Artistic Gymnastics,Women,Floor Exercise
URS,Russia,Gold,1964,Artistic Gymnastics,Men,Horizontal Bar
URS,Russia,Silver,1964,Artistic Gymnastics,Men,Horizontal Bar
URS,Russia,Silver,1964,Artistic Gymnastics,Men,Horse Vault
URS,Russia,Silver,1964,Artistic Gymnastics,Women,Horse Vault
URS,Russia,Silver,1964,Artistic Gymnastics,Men,Individual All-Around
URS,Russia,Silver,1964,Artistic Gymnastics,Men,Individual All-Around
URS,Russia,Silver,1964,Artistic Gymnastics,Women,Individual All-Around
URS,Russia,Bronze,1964,Artistic Gymnastics,Women,Individual All-Around
URS,Russia,Bronze,1964,Artistic Gymnastics,Men,Pommelled Horse
URS,Russia,Bronze,1964,Artistic Gymnastics,Men,Rings
URS,Russia,Silver,1964,Artistic Gymnastics,Men,Team All-Around
URS,Russia,Gold,1964,Artistic Gymnastics,Women,Team All-Around
URS,Russia,Gold,1964,Artistic Gymnastics,Women,Uneven Bars
URS,Russia,Bronze,1964,Artistic Gymnastics,Women,Uneven Bars
URS,Russia,Bronze,1964,Athletics,Men,110 metres Hurdles
URS,Russia,Bronze,1964,Athletics,Men,20 kilometres Walk
URS,Russia,Bronze,1964,Athletics,Men,"3,000 metres Steeplechase"
URS,Russia,Silver,1964,Athletics,Men,Decathlon
URS,Russia,Gold,1964,Athletics,Women,Discus Throw
URS,Russia,Gold,1964,Athletics,Men,Hammer Throw
URS,Russia,Gold,1964,Athletics,Men,High Jump
URS,Russia,Bronze,1964,Athletics,Women,High Jump
URS,Russia,Bronze,1964,Athletics,Men,Javelin Throw
URS,Russia,Bronze,1964,Athletics,Women,Javelin Throw
URS,Russia,Bronze,1964,Athletics,Men,Long Jump
URS,Russia,Bronze,1964,Athletics,Women,Long Jump
URS,Russia,Gold,1964,Athletics,Women,Pentathlon
URS,Russia,Bronze,1964,Athletics,Women,Pentathlon
URS,Russia,Gold,1964,Athletics,Women,Shot Put
URS,Russia,Bronze,1964,Athletics,Women,Shot Put
URS,Russia,Silver,1964,Athletics,Men,Triple Jump
URS,Russia,Bronze,1964,Athletics,Men,Triple Jump
URS,Russia,Silver,1964,Basketball,Men,Basketball
URS,Russia,Gold,1964,Boxing,Men,Featherweight
URS,Russia,Bronze,1964,Boxing,Men,Flyweight
URS,Russia,Bronze,1964,Boxing,Men,Heavyweight
URS,Russia,Silver,1964,Boxing,Men,Light-Heavyweight
URS,Russia,Gold,1964,Boxing,Men,Light-Middleweight
URS,Russia,Silver,1964,Boxing,Men,Lightweight
URS,Russia,Silver,1964,Boxing,Men,Light-Welterweight
URS,Russia,Gold,1964,Boxing,Men,Middleweight
URS,Russia,Silver,1964,Boxing,Men,Welterweight
URS,Russia,Gold,1964,Canoe Sprint,Men,"Canadian Doubles, 1,000 metres"
URS,Russia,Bronze,1964,Canoe Sprint,Men,"Canadian Singles, 1,000 metres"
URS,Russia,Gold,1964,Canoe Sprint,Men,"Kayak Fours, 1,000 metres"
URS,Russia,Gold,1964,Canoe Sprint,Women,"Kayak Singles, 500 metres"
URS,Russia,Silver,1964,Cycling Track,Men,"Tandem Sprint, 2,000 metres"
URS,Russia,Bronze,1964,Diving,Women,Platform
URS,Russia,Bronze,1964,Equestrian Dressage,Open,Individual
URS,Russia,Bronze,1964,Equestrian Dressage,Open,Team
URS,Russia,Gold,1964,Fencing,Men,"Épée, Individual"
URS,Russia,Bronze,1964,Fencing,Men,"Épée, Individual"
URS,Russia,Gold,1964,Fencing,Men,"Foil, Team"
URS,Russia,Silver,1964,Fencing,Women,"Foil, Team"
URS,Russia,Bronze,1964,Fencing,Men,"Sabre, Individual"
URS,Russia,Gold,1964,Fencing,Men,"Sabre, Team"
URS,Russia,Bronze,1964,Judo,Men,Heavyweight
URS,Russia,Bronze,1964,Judo,Men,Heavyweight
URS,Russia,Bronze,1964,Judo,Men,Lightweight
URS,Russia,Bronze,1964,Judo,Men,Lightweight
URS,Russia,Silver,1964,Modern Pentathlon,Men,Individual
URS,Russia,Bronze,1964,Modern Pentathlon,Men,Individual
URS,Russia,Gold,1964,Modern Pentathlon,Men,Team
URS,Russia,Gold,1964,Rowing,Men,Double Sculls
URS,Russia,Gold,1964,Rowing,Men,Single Sculls
URS,Russia,Silver,1964,Shooting,Men,"Free Rifle, Three Positions, 300 metres"
URS,Russia,Silver,1964,Shooting,Men,Trap
URS,Russia,Silver,1964,Swimming,Men,200 metres Breaststroke
URS,Russia,Gold,1964,Swimming,Women,200 metres Breaststroke
URS,Russia,Bronze,1964,Swimming,Women,200 metres Breaststroke
URS,Russia,Gold,1988,Athletics,Men,4 x 100 metres Relay
URS,Russia,Gold,1964,Volleyball,Men,Volleyball
URS,Russia,Silver,1964,Volleyball,Women,Volleyball
URS,Russia,Bronze,1964,Water Polo,Men,Water Polo
URS,Russia,Gold,1964,Weightlifting,Men,Bantamweight
URS,Russia,Gold,1964,Weightlifting,Men,Heavyweight
URS,Russia,Silver,1964,Weightlifting,Men,Heavyweight
URS,Russia,Gold,1964,Weightlifting,Men,Light-Heavyweight
URS,Russia,Silver,1964,Weightlifting,Men,Lightweight
URS,Russia,Gold,1964,Weightlifting,Men,Middle-Heavyweight
URS,Russia,Silver,1964,Weightlifting,Men,Middleweight
URS,Russia,Bronze,1964,Wrestling,Men,"Bantamweight, Freestyle"
URS,Russia,Silver,1964,Wrestling,Men,"Bantamweight, Greco-Roman"
URS,Russia,Bronze,1964,Wrestling,Men,"Featherweight, Freestyle"
URS,Russia,Silver,1964,Wrestling,Men,"Featherweight, Greco-Roman"
URS,Russia,Gold,1964,Wrestling,Men,"Heavyweight, Freestyle"
URS,Russia,Silver,1964,Wrestling,Men,"Heavyweight, Greco-Roman"
URS,Russia,Gold,1964,Wrestling,Men,"Light-Heavyweight, Freestyle"
URS,Russia,Bronze,1964,Wrestling,Men,"Lightweight, Greco-Roman"
URS,Russia,Silver,1964,Wrestling,Men,"Welterweight, Freestyle"
URS,Russia,Gold,1964,Wrestling,Men,"Welterweight, Greco-Roman"
URS,Russia,Gold,1968,Artistic Athletics,Women,Balance Beam
URS,Russia,Bronze,1968,Artistic Athletics,Women,Balance Beam
URS,Russia,Gold,1968,Artistic Athletics,Women,Floor Exercise
URS,Russia,Bronze,1968,Artistic Athletics,Women,Floor Exercise
URS,Russia,Gold,1968,Artistic Athletics,Men,Horizontal Bar
URS,Russia,Gold,1968,Artistic Athletics,Men,Horse Vault
URS,Russia,Bronze,1968,Artistic Athletics,Men,Horse Vault
URS,Russia,Bronze,1968,Artistic Athletics,Women,Horse Vault
URS,Russia,Silver,1968,Artistic Athletics,Men,Individual All-Around
URS,Russia,Silver,1968,Artistic Athletics,Women,Individual All-Around
URS,Russia,Bronze,1968,Artistic Athletics,Women,Individual All-Around
URS,Russia,Silver,1968,Artistic Athletics,Men,Parallel Bars
URS,Russia,Bronze,1968,Artistic Athletics,Men,Parallel Bars
URS,Russia,Bronze,1968,Artistic Athletics,Men,Pommelled Horse
URS,Russia,Silver,1968,Artistic Athletics,Men,Rings
URS,Russia,Silver,1968,Artistic Athletics,Men,Team All-Around
URS,Russia,Gold,1968,Artistic Athletics,Women,Team All-Around
URS,Russia,Bronze,1968,Artistic Athletics,Women,Uneven Bars
URS,Russia,Gold,1968,Athletics,Men,20 kilometres Walk
URS,Russia,Bronze,1968,Athletics,Men,20 kilometres Walk
URS,Russia,Bronze,1968,Athletics,Women,400 metres
URS,Russia,Silver,1968,Athletics,Men,Hammer Throw
URS,Russia,Bronze,1968,Athletics,Men,High Jump
URS,Russia,Silver,1968,Athletics,Women,High Jump
URS,Russia,Bronze,1968,Athletics,Women,High Jump
URS,Russia,Gold,1968,Athletics,Men,Javelin Throw
URS,Russia,Bronze,1968,Athletics,Women,Long Jump
URS,Russia,Bronze,1968,Athletics,Men,Shot Put
URS,Russia,Bronze,1968,Athletics,Women,Shot Put
URS,Russia,Gold,1968,Athletics,Men,Triple Jump
URS,Russia,Bronze,1968,Basketball,Men,Basketball
URS,Russia,Gold,1968,Boxing,Men,Bantamweight
URS,Russia,Silver,1968,Boxing,Men,Heavyweight
URS,Russia,Gold,1968,Boxing,Men,Light-Heavyweight
URS,Russia,Gold,1968,Boxing,Men,Light-Middleweight
URS,Russia,Silver,1968,Boxing,Men,Middleweight
URS,Russia,Bronze,1968,Boxing,Men,Welterweight
URS,Russia,Bronze,1968,Canoe Sprint,Men,"Canadian Doubles, 1,000 metres"
URS,Russia,Bronze,1968,Canoe Sprint,Men,"Canadian Singles, 1,000 metres"
URS,Russia,Gold,1968,Canoe Sprint,Men,"Kayak Doubles, 1,000 metres"
URS,Russia,Bronze,1968,Canoe Sprint,Women,"Kayak Doubles, 500 metres"
URS,Russia,Silver,1968,Canoe Sprint,Men,"Kayak Singles, 1,000 metres"
URS,Russia,Gold,1968,Canoe Sprint,Women,"Kayak Singles, 500 metres"
URS,Russia,Silver,1968,Diving,Women,Platform
URS,Russia,Silver,1968,Diving,Women,Springboard
URS,Russia,Gold,1968,Equestrian Dressage,Open,Individual
URS,Russia,Silver,1968,Equestrian Dressage,Open,Team
URS,Russia,Silver,1968,Fencing,Men,"Épée, Individual"
URS,Russia,Silver,1968,Fencing,Men,"Épée, Team"
URS,Russia,Gold,1968,Fencing,Women,"Foil, Individual"
URS,Russia,Silver,1968,Fencing,Men,"Foil, Team"
URS,Russia,Gold,1968,Fencing,Women,"Foil, Team"
URS,Russia,Silver,1968,Fencing,Men,"Sabre, Individual"
URS,Russia,Gold,1968,Fencing,Men,"Sabre, Team"
URS,Russia,Bronze,1968,Modern Pentathlon,Men,Individual
URS,Russia,Silver,1968,Modern Pentathlon,Men,Team
URS,Russia,Gold,1968,Rowing,Men,Double Sculls
URS,Russia,Bronze,1968,Rowing,Men,Eights
URS,Russia,Gold,1968,Sailing,Open,One Person Dinghy
URS,Russia,Gold,1968,Shooting,Open,"Free Pistol, 50 metres"
URS,Russia,Silver,1968,Shooting,Open,"Free Rifle, Three Positions, 300 metres"
URS,Russia,Bronze,1968,Shooting,Open,"Rapid-Fire Pistol, 25 metres"
URS,Russia,Gold,1968,Shooting,Open,Skeet
URS,Russia,Bronze,1968,Shooting,Open,"Small-Bore Rifle, Three Positions, 50 metres"
URS,Russia,Silver,1968,Swimming,Men,100 metres Breaststroke
URS,Russia,Bronze,1968,Swimming,Men,100 metres Breaststroke
URS,Russia,Silver,1968,Swimming,Women,100 metres Breaststroke
URS,Russia,Silver,1968,Swimming,Men,200 metres Breaststroke
URS,Russia,Bronze,1968,Swimming,Women,200 metres Breaststroke
URS,Russia,Bronze,1988,Athletics,Women,4 x 100 metres Relay
URS,Russia,Gold,1968,Volleyball,Men,Volleyball
URS,Russia,Gold,1968,Volleyball,Women,Volleyball
URS,Russia,Silver,1968,Water Polo,Men,Water Polo
URS,Russia,Silver,1968,Weightlifting,Men,Featherweight
URS,Russia,Gold,1968,Weightlifting,Men,Heavyweight
URS,Russia,Gold,1968,Weightlifting,Men,Light-Heavyweight
URS,Russia,Silver,1968,Weightlifting,Men,Light-Heavyweight
URS,Russia,Silver,1968,Weightlifting,Men,Middle-Heavyweight
URS,Russia,Gold,1968,Weightlifting,Men,Middleweight
URS,Russia,Bronze,1968,Wrestling,Men,"Bantamweight, Greco-Roman"
URS,Russia,Gold,1968,Wrestling,Men,"Featherweight, Greco-Roman"
URS,Russia,Silver,1968,Wrestling,Men,"Flyweight, Greco-Roman"
URS,Russia,Gold,1968,Wrestling,Men,"Heavyweight, Freestyle"
URS,Russia,Silver,1968,Wrestling,Men,"Heavyweight, Greco-Roman"
URS,Russia,Silver,1968,Wrestling,Men,"Light-Heavyweight, Freestyle"
URS,Russia,Silver,1968,Wrestling,Men,"Light-Heavyweight, Greco-Roman"
URS,Russia,Gold,1968,Wrestling,Men,"Middleweight, Freestyle"
URS,Russia,Silver,1968,Wrestling,Men,"Middleweight, Greco-Roman"
URS,Russia,Bronze,1972,Archery,Women,Individual
URS,Russia,Gold,1972,Artistic Gymnastics,Women,Balance Beam
URS,Russia,Silver,1972,Artistic Gymnastics,Women,Balance Beam
URS,Russia,Gold,1972,Artistic Gymnastics,Men,Floor Exercise
URS,Russia,Gold,1972,Artistic Gymnastics,Women,Floor Exercise
URS,Russia,Silver,1972,Artistic Gymnastics,Women,Floor Exercise
URS,Russia,Bronze,1972,Artistic Gymnastics,Women,Floor Exercise
URS,Russia,Silver,1972,Artistic Gymnastics,Men,Horse Vault
URS,Russia,Bronze,1972,Artistic Gymnastics,Men,Horse Vault
URS,Russia,Bronze,1972,Artistic Gymnastics,Women,Horse Vault
URS,Russia,Gold,1972,Artistic Gymnastics,Women,Individual All-Around
URS,Russia,Bronze,1972,Artistic Gymnastics,Women,Individual All-Around
URS,Russia,Gold,1972,Artistic Gymnastics,Men,Pommelled Horse
URS,Russia,Silver,1972,Artistic Gymnastics,Men,Rings
URS,Russia,Silver,1972,Artistic Gymnastics,Men,Team All-Around
URS,Russia,Gold,1972,Artistic Gymnastics,Women,Team All-Around
URS,Russia,Silver,1972,Artistic Gymnastics,Women,Uneven Bars
URS,Russia,Gold,1972,Athletics,Women,"1,500 metres"
URS,Russia,Gold,1972,Athletics,Men,100 metres
URS,Russia,Silver,1972,Athletics,Men,20 kilometres Walk
URS,Russia,Gold,1972,Athletics,Men,200 metres
URS,Russia,Silver,1972,Athletics,Men,50 kilometres Walk
URS,Russia,Silver,1972,Athletics,Men,800 metres
URS,Russia,Silver,1972,Athletics,Women,800 metres
URS,Russia,Gold,1972,Athletics,Men,Decathlon
URS,Russia,Silver,1972,Athletics,Men,Decathlon
URS,Russia,Gold,1972,Athletics,Women,Discus Throw
URS,Russia,Gold,1972,Athletics,Men,Hammer Throw
URS,Russia,Bronze,1972,Athletics,Men,Hammer Throw
URS,Russia,Gold,1972,Athletics,Men,High Jump
URS,Russia,Silver,1972,Athletics,Men,Javelin Throw
URS,Russia,Gold,1972,Athletics,Women,Shot Put
URS,Russia,Gold,1972,Athletics,Men,Triple Jump
URS,Russia,Gold,1972,Basketball,Men,Basketball
URS,Russia,Gold,1972,Boxing,Men,Featherweight
URS,Russia,Gold,1972,Boxing,Men,Middleweight
URS,Russia,Gold,1972,Canoe Sprint,Men,"Canadian Doubles, 1,000 metres"
URS,Russia,Gold,1972,Canoe Sprint,Men,"Kayak Doubles, 1,000 metres"
URS,Russia,Gold,1972,Canoe Sprint,Women,"Kayak Doubles, 500 metres"
URS,Russia,Gold,1972,Canoe Sprint,Men,"Kayak Fours, 1,000 metres"
URS,Russia,Gold,1972,Canoe Sprint,Men,"Kayak Singles, 1,000 metres"
URS,Russia,Gold,1972,Canoe Sprint,Women,"Kayak Singles, 500 metres"
URS,Russia,Gold,1972,Cycling Road,Men,100 kilometres Team Time Trial
URS,Russia,Bronze,1972,Cycling Track,Men,Sprint
URS,Russia,Gold,1972,Cycling Track,Men,"Tandem Sprint, 2,000 metres"
URS,Russia,Gold,1972,Diving,Men,Springboard
URS,Russia,Silver,1972,Equestrian Dressage,Open,Individual
URS,Russia,Gold,1972,Equestrian Dressage,Open,Team
URS,Russia,Bronze,1972,Fencing,Men,"Épée, Team"
URS,Russia,Bronze,1972,Fencing,Women,"Foil, Individual"
URS,Russia,Silver,1972,Fencing,Men,"Foil, Team"
URS,Russia,Gold,1972,Fencing,Women,"Foil, Team"
URS,Russia,Gold,1972,Fencing,Men,"Sabre, Individual"
URS,Russia,Bronze,1972,Fencing,Men,"Sabre, Individual"
URS,Russia,Silver,1972,Fencing,Men,"Sabre, Team"
URS,Russia,Bronze,1972,Football,Men,Football
URS,Russia,Gold,1972,Judo,Men,Half-Heavyweight
URS,Russia,Bronze,1972,Judo,Men,Half-Middleweight
URS,Russia,Bronze,1972,Judo,Men,Heavyweight
URS,Russia,Silver,1972,Judo,Men,Open Class
URS,Russia,Silver,1972,Modern Pentathlon,Men,Individual
URS,Russia,Bronze,1972,Modern Pentathlon,Men,Individual
URS,Russia,Gold,1972,Modern Pentathlon,Men,Team
URS,Russia,Gold,1972,Rowing,Men,Double Sculls
URS,Russia,Gold,1972,Rowing,Men,Single Sculls
URS,Russia,Bronze,1972,Sailing,Open,One Person Dinghy
URS,Russia,Gold,1972,Sailing,Open,Two Person Keelboat
URS,Russia,Silver,1972,Shooting,Open,"Free Rifle, Three Positions, 300 metres"
URS,Russia,Bronze,1972,Shooting,Open,"Rapid-Fire Pistol, 25 metres"
URS,Russia,Gold,1972,Shooting,Open,"Running Target, 50 metres"
URS,Russia,Silver,1972,Shooting,Open,Skeet
URS,Russia,Silver,1972,Swimming,Women,100 metres Breaststroke
URS,Russia,Bronze,1972,Swimming,Men,100 metres Freestyle
URS,Russia,Bronze,1972,Swimming,Women,200 metres Breaststroke
URS,Russia,Bronze,1972,Volleyball,Men,Volleyball
URS,Russia,Gold,1972,Volleyball,Women,Volleyball
URS,Russia,Gold,1972,Water Polo,Men,Water Polo
URS,Russia,Bronze,1972,Weightlifting,Men,Bantamweight
URS,Russia,Silver,1972,Weightlifting,Men,Featherweight
URS,Russia,Gold,1972,Weightlifting,Men,Heavyweight
URS,Russia,Gold,1972,Weightlifting,Men,Lightweight
URS,Russia,Gold,1972,Weightlifting,Men,Super-Heavyweight
URS,Russia,Gold,1972,Wrestling,Men,"Bantamweight, Greco-Roman"
URS,Russia,Gold,1972,Wrestling,Men,"Featherweight, Freestyle"
URS,Russia,Silver,1972,Wrestling,Men,"Flyweight, Freestyle"
URS,Russia,Gold,1972,Wrestling,Men,"Heavyweight, Freestyle"
URS,Russia,Silver,1972,Wrestling,Men,"Heavyweight, Greco-Roman"
URS,Russia,Gold,1972,Wrestling,Men,"Light-Flyweight, Freestyle"
URS,Russia,Silver,1972,Wrestling,Men,"Light-Heavyweight, Freestyle"
URS,Russia,Gold,1972,Wrestling,Men,"Light-Heavyweight, Greco-Roman"
URS,Russia,Bronze,1972,Wrestling,Men,"Lightweight, Freestyle"
URS,Russia,Gold,1972,Wrestling,Men,"Lightweight, Greco-Roman"
URS,Russia,Gold,1972,Wrestling,Men,"Middleweight, Freestyle"
URS,Russia,Silver,1972,Wrestling,Men,"Middleweight, Greco-Roman"
URS,Russia,Gold,1972,Wrestling,Men,"Super-Heavyweight, Freestyle"
URS,Russia,Gold,1972,Wrestling,Men,"Super-Heavyweight, Greco-Roman"
URS,Russia,Silver,1976,Archery,Women,Individual
URS,Russia,Bronze,1976,Archery,Women,Individual
URS,Russia,Silver,1976,Artistic Gymnastics,Women,Balance Beam
URS,Russia,Gold,1976,Artistic Gymnastics,Men,Floor Exercise
URS,Russia,Silver,1976,Artistic Gymnastics,Men,Floor Exercise
URS,Russia,Gold,1976,Artistic Gymnastics,Women,Floor Exercise
URS,Russia,Silver,1976,Artistic Gymnastics,Women,Floor Exercise
URS,Russia,Gold,1976,Artistic Gymnastics,Men,Horse Vault
URS,Russia,Gold,1976,Artistic Gymnastics,Women,Horse Vault
URS,Russia,Silver,1976,Artistic Gymnastics,Women,Horse Vault
URS,Russia,Gold,1976,Artistic Gymnastics,Men,Individual All-Around
URS,Russia,Silver,1976,Artistic Gymnastics,Women,Individual All-Around
URS,Russia,Bronze,1976,Artistic Gymnastics,Women,Individual All-Around
URS,Russia,Silver,1976,Artistic Gymnastics,Men,Parallel Bars
URS,Russia,Bronze,1976,Artistic Gymnastics,Men,Pommelled Horse
URS,Russia,Gold,1976,Artistic Gymnastics,Men,Rings
URS,Russia,Silver,1976,Artistic Gymnastics,Men,Rings
URS,Russia,Silver,1976,Artistic Gymnastics,Men,Team All-Around
URS,Russia,Gold,1976,Artistic Gymnastics,Women,Team All-Around
URS,Russia,Gold,1976,Athletics,Women,"1,500 metres"
URS,Russia,Silver,1976,Athletics,Women,100 metres Hurdles
URS,Russia,Bronze,1976,Athletics,Women,100 metres Hurdles
URS,Russia,Bronze,1976,Athletics,Men,100 metres
URS,Russia,Gold,1988,Athletics,Women,4 x 400 metres Relay
URS,Russia,Bronze,1976,Athletics,Men,400 metres Hurdles
URS,Russia,Gold,1976,Athletics,Women,800 metres
URS,Russia,Bronze,1976,Athletics,Men,Decathlon
URS,Russia,Gold,1976,Athletics,Men,Hammer Throw
URS,Russia,Silver,1976,Athletics,Men,Hammer Throw
URS,Russia,Bronze,1976,Athletics,Men,Hammer Throw
URS,Russia,Bronze,1976,Athletics,Women,Long Jump
URS,Russia,Silver,1976,Athletics,Men,Shot Put
URS,Russia,Bronze,1976,Athletics,Men,Shot Put
URS,Russia,Silver,1976,Athletics,Women,Shot Put
URS,Russia,Gold,1976,Athletics,Men,Triple Jump
URS,Russia,Bronze,1976,Basketball,Men,Basketball
URS,Russia,Gold,1976,Basketball,Women,Basketball
URS,Russia,Bronze,1976,Boxing,Men,Bantamweight
URS,Russia,Bronze,1976,Boxing,Men,Flyweight
URS,Russia,Bronze,1976,Boxing,Men,Light-Middleweight
URS,Russia,Bronze,1976,Boxing,Men,Lightweight
URS,Russia,Silver,1976,Boxing,Men,Middleweight
URS,Russia,Gold,1976,Canoe Sprint,Men,"Canadian Doubles, 1,000 metres"
URS,Russia,Gold,1976,Canoe Sprint,Men,"Canadian Doubles, 500 metres"
URS,Russia,Silver,1976,Canoe Sprint,Men,"Canadian Singles, 1,000 metres"
URS,Russia,Gold,1976,Canoe Sprint,Men,"Canadian Singles, 500 metres"
URS,Russia,Gold,1976,Canoe Sprint,Men,"Kayak Doubles, 1,000 metres"
URS,Russia,Silver,1976,Canoe Sprint,Men,"Kayak Doubles, 500 metres"
URS,Russia,Gold,1976,Canoe Sprint,Women,"Kayak Doubles, 500 metres"
URS,Russia,Gold,1976,Canoe Sprint,Men,"Kayak Fours, 1,000 metres"
URS,Russia,Silver,1976,Canoe Sprint,Women,"Kayak Singles, 500 metres"
URS,Russia,Gold,1976,Cycling Road,Men,100 kilometres Team Time Trial
URS,Russia,Silver,1976,Cycling Track,Men,"Team Pursuit, 4,000 metres"
