Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country, GDP (USD Millions) ,COU,Life Expectancy at Birth,Population
Iran,IRN,0,1,0,1,1988,Seoul,KOR,1.23058E+11,,,
Suriname,SUR,1,0,0,1,1988,Seoul,KOR,1161000000,,,
Romania,ROU,4,6,8,18,1992,Barcelona,ESP,25121666667,,,22794284.0
South Korea,KOR,12,5,12,29,1992,Barcelona,ESP,3.55525E+11,,,
Mexico,MEX,0,1,0,1,1992,Barcelona,ESP,3.63158E+11,MEX,71.9,87312337.0
South Africa,ZAF,0,2,0,2,1992,Barcelona,ESP,1.34545E+11,ZAF,63.4,39360225.0
Estonia,EST,1,0,1,2,1992,Barcelona,ESP, $-   ,EST,69.1,1533091.0
Germany,DEU,33,21,28,82,1992,Barcelona,ESP,2.13157E+12,DEU,76.0,80624601.0
Greece,GRC,2,0,0,2,1992,Barcelona,ESP,1.16225E+11,GRC,77.2,10399058.0
Latvia,LVA,0,2,1,3,1992,Barcelona,ESP, $-   ,,,2614338.0
Ghana,GHA,0,0,1,1,1992,Barcelona,ESP,6413901602,,,
Morocco,MAR,1,1,1,3,1992,Barcelona,ESP,33711069431,,,
Denmark,DNK,1,1,4,6,1992,Barcelona,ESP,1.52916E+11,DNK,75.3,5171370.0
Finland,FIN,1,2,2,5,1992,Barcelona,ESP,1.12533E+11,FIN,75.7,5041990.0
Mongolia,MNG,0,0,2,2,1992,Barcelona,ESP,1317611864,,,
Australia,AUS,7,9,11,27,1992,Barcelona,ESP,3.24884E+11,AUS,77.5,17478635.0
Suriname,SUR,0,0,1,1,1992,Barcelona,ESP,404600000,,,
Thailand,THA,0,0,1,1,1992,Barcelona,ESP,1.11453E+11,,,
France,FRA,8,5,16,29,1992,Barcelona,ESP,1.40147E+12,FRA,77.5,58711615.0
Ethiopia,ETH,1,0,2,3,1992,Barcelona,ESP,10492993078,,,
Puerto Rico,PRI,0,0,1,1,1992,Barcelona,ESP,34630430000,,,
Netherlands,NLD,2,6,7,15,1992,Barcelona,ESP,3.62963E+11,NLD,77.4,15184163.0
Hungary,HUN,11,12,7,30,1992,Barcelona,ESP,38730585922,HUN,69.4,10369339.0
Switzerland,CHE,1,0,0,1,1992,Barcelona,ESP,2.80157E+11,CHE,78.1,6875364.0
Kenya,KEN,2,4,2,8,1992,Barcelona,ESP,8209129172,,,
Austria,AUT,0,2,0,2,1992,Barcelona,ESP,1.95078E+11,AUT,75.9,7840709.0
Cuba,CUB,14,6,11,31,1992,Barcelona,ESP,22085858243,,,
Turkey,TUR,2,2,2,6,1992,Barcelona,ESP,1.58459E+11,TUR,68.2,56986000.0
Poland,POL,3,6,10,19,1992,Barcelona,ESP,94337050693,POL,71.1,38173500.0
Czech Republic,CZE,4,2,1,7,1992,Barcelona,ESP,34805013230,CZE,72.5,10317807.0
Namibia,NAM,0,2,0,2,1992,Barcelona,ESP,3429538518,,,
Lithuania,LTU,1,0,1,2,1992,Barcelona,ESP, $-   ,LTU,70.4,3700114.0
Malaysia,MYS,0,0,1,1,1992,Barcelona,ESP,59167550163,,,
Slovenia,SVN,0,0,2,2,1992,Barcelona,ESP, $-   ,SVN,73.6,1995832.0
Croatia,HRV,0,1,2,3,1992,Barcelona,ESP, $-   ,,,4732864.0
China,CHN,16,22,16,54,1992,Barcelona,ESP,4.26916E+11,,,
United States,USA,37,34,37,108,1992,Barcelona,ESP,6.52033E+12,USA,75.7,256514224.0
Spain,ESP,13,7,2,22,1992,Barcelona,ESP,6.30916E+11,ESP,77.6,39147940.0
Japan,JPN,3,8,11,22,1992,Barcelona,ESP,3.90881E+12,JPN,79.2,124567000.0
Colombia,COL,0,0,1,1,1992,Barcelona,ESP,58418985443,COL,67.5,35520940.0
Unified Team,EUN,45,38,29,112,1992,Barcelona,ESP,,,,
Argentina,ARG,0,0,1,1,1992,Barcelona,ESP,2.28789E+11,,,33475005.0
New Zealand,NZL,1,4,5,10,1992,Barcelona,ESP,41649829860,NZL,76.1,3531700.0
Indonesia,IDN,2,2,1,5,1992,Barcelona,ESP,1.28027E+11,IDN,63.1,187766086.0
Belgium,BEL,0,1,2,3,1992,Barcelona,ESP,2.34782E+11,BEL,76.5,10045165.0
Italy,ITA,6,5,8,19,1992,Barcelona,ESP,1.32016E+12,ITA,77.5,56797078.0
Chinese Taipei,TPE,0,1,0,1,1992,Barcelona,ESP,,,,
Israel,ISR,0,1,1,2,1992,Barcelona,ESP, $-   ,ISR,76.6,5123500.0
Pakistan,PAK,0,0,1,1,1992,Barcelona,ESP,48884606848,,,
Peru,PER,0,1,0,1,1992,Barcelona,ESP,35966302303,,,
Individual Olympic Athletes,IOA,0,1,2,3,1992,Barcelona,ESP,,,,
Bulgaria,BGR,3,7,6,16,1992,Barcelona,ESP,10350515464,,,8540164.0
Nigeria,NGA,0,3,1,4,1992,Barcelona,ESP,47794925815,,,
Norway,NOR,2,4,1,7,1992,Barcelona,ESP,1.30838E+11,NOR,77.4,4286397.0
Brazil,BRA,2,1,0,3,1992,Barcelona,ESP,4.00599E+11,BRA,67.2,153973883.0
England,GBR,5,3,12,20,1992,Barcelona,ESP,1.17966E+12,,,
North Korea,PRK,4,0,5,9,1992,Barcelona,ESP, $-   ,,,
Canada,CAN,7,4,7,18,1992,Barcelona,ESP,5.92388E+11,CAN,77.7,28371264.0
Sweden,SWE,1,7,4,12,1992,Barcelona,ESP,2.84321E+11,SWE,78.2,8668065.0
Iran,IRN,0,1,2,3,1992,Barcelona,ESP, $-   ,,,
Algeria,DZA,1,0,1,2,1992,Barcelona,ESP,48003078389,,,
Bahamas,BHS,0,0,1,1,1992,Barcelona,ESP,3109000000,,,
Qatar,QAT,0,0,1,1,1992,Barcelona,ESP,7646153984,,,
Ireland,IRL,1,1,0,2,1992,Barcelona,ESP,55927302693,IRL,75.5,3554500.0
Jamaica,JAM,0,3,1,4,1992,Barcelona,ESP,3535460090,,,
Philippines,PHL,0,0,1,1,1992,Barcelona,ESP,52976344929,,,
Azerbaijan,AZE,0,1,0,1,1996,Atlanta,USA,3176333837,,,
Australia,AUS,9,9,23,41,1996,Atlanta,USA,4.00303E+11,AUS,78.2,18224767.0
India,IND,0,0,1,1,1996,Atlanta,USA,3.92897E+11,IND,60.8,978893217.0
Germany,DEU,20,18,27,65,1996,Atlanta,USA,2.49724E+12,DEU,76.9,81914834.0
Turkey,TUR,4,1,1,6,1996,Atlanta,USA,1.81476E+11,TUR,69.7,60671000.0
Greece,GRC,4,4,0,8,1996,Atlanta,USA,1.45862E+11,GRC,78.0,10608801.0
Denmark,DNK,4,1,1,6,1996,Atlanta,USA,1.87632E+11,DNK,75.7,5261503.0
Brazil,BRA,3,3,9,15,1996,Atlanta,USA,8.50426E+11,BRA,68.8,163767821.0
Burundi,BDI,1,0,0,1,1996,Atlanta,USA,869033856.3,,,
Syria,SYR,1,0,0,1,1996,Atlanta,USA,13789560878,,,
Georgia,GEO,0,0,2,2,1996,Atlanta,USA,3095047604,,,
United States,USA,44,32,25,101,1996,Atlanta,USA,8.07312E+12,USA,76.1,269394284.0
Czech Republic,CZE,4,3,4,11,1996,Atlanta,USA,67387788633,CZE,74.0,10315353.0
Ecuador,ECU,1,0,0,1,1996,Atlanta,USA,25226393197,,,
Thailand,THA,1,0,1,2,1996,Atlanta,USA,1.83035E+11,,,
Argentina,ARG,0,2,1,3,1996,Atlanta,USA,2.7215E+11,,,35195575.0
Bulgaria,BGR,3,7,5,15,1996,Atlanta,USA,12294221473,,,8362826.0
Ireland,IRL,3,0,1,4,1996,Atlanta,USA,75786499496,IRL,75.9,3626087.0
China,CHN,16,22,12,50,1996,Atlanta,USA,8.63747E+11,,,
Tonga,TON,0,1,0,1,1996,Atlanta,USA,222100576.3,,,
Cuba,CUB,9,8,8,25,1996,Atlanta,USA,25017368700,,,
Israel,ISR,0,0,1,1,1996,Atlanta,USA,1.10429E+11,ISR,78.2,5685100.0
Finland,FIN,1,2,1,4,1996,Atlanta,USA,1.32129E+11,FIN,76.9,5124573.0
Armenia,ARM,1,1,0,2,1996,Atlanta,USA,1596968946,,,
Indonesia,IDN,1,1,2,4,1996,Atlanta,USA,2.2737E+11,IDN,64.6,199914831.0
Trinidad and Tobago,TTO,0,0,2,2,1996,Atlanta,USA,5759537726,,,
France,FRA,15,7,15,37,1996,Atlanta,USA,1.60568E+12,FRA,78.3,59589289.0
Italy,ITA,13,10,12,35,1996,Atlanta,USA,1.31243E+12,ITA,78.6,56860279.0
Algeria,DZA,2,0,1,3,1996,Atlanta,USA,46941582519,,,
Ethiopia,ETH,2,0,1,3,1996,Atlanta,USA,8547939731,,,
England,GBR,1,8,6,15,1996,Atlanta,USA,1.41539E+12,,,
Sweden,SWE,2,4,2,8,1996,Atlanta,USA,2.91744E+11,SWE,79.2,8840999.0
Iran,IRN,1,1,1,3,1996,Atlanta,USA,1.20404E+11,,,
Chinese Taipei,TPE,0,1,0,1,1996,Atlanta,USA,,,,
Canada,CAN,3,11,8,22,1996,Atlanta,USA,6.28546E+11,CAN,78.1,29610218.0
Costa Rica,CRI,1,0,0,1,1996,Atlanta,USA,11678424512,CRI,76.8,3520866.0
Zambia,ZMB,0,1,0,1,1996,Atlanta,USA,3597220962,,,
Uzbekistan,UZB,0,1,1,2,1996,Atlanta,USA,13948892216,,,
Uganda,UGA,0,0,1,1,1996,Atlanta,USA,6044585327,,,
Belarus,BLR,1,6,8,15,1996,Atlanta,USA,14756846154,,,
Hong Kong,HKG,1,0,0,1,1996,Atlanta,USA,1.59717E+11,,,
Jamaica,JAM,1,3,2,6,1996,Atlanta,USA,7393883555,,,
Slovakia,SVK,1,1,1,3,1996,Atlanta,USA,27925036755,,,
Morocco,MAR,0,0,2,2,1996,Atlanta,USA,43161452678,,,
Kenya,KEN,1,4,3,8,1996,Atlanta,USA,12045858436,,,
Namibia,NAM,0,2,0,2,1996,Atlanta,USA,3989208671,,,
Spain,ESP,5,6,6,17,1996,Atlanta,USA,6.42589E+11,ESP,78.3,39884246.0
New Zealand,NZL,3,2,1,6,1996,Atlanta,USA,70140835299,NZL,77.1,3732000.0
Serbia and Montenegro,SCG,1,1,2,4,1996,Atlanta,USA,,,,
Romania,ROU,4,7,9,20,1996,Atlanta,USA,36937074278,,,22619005.0
Malaysia,MYS,0,1,1,2,1996,Atlanta,USA,1.00855E+11,,,
Lithuania,LTU,0,0,1,1,1996,Atlanta,USA,8382519637,LTU,70.3,3601613.0
Puerto Rico,PRI,0,0,1,1,1996,Atlanta,USA,45340835000,,,
Norway,NOR,2,2,3,7,1996,Atlanta,USA,1.6352E+11,NOR,78.3,4381339.0
Poland,POL,7,5,5,17,1996,Atlanta,USA,1.60193E+11,POL,72.4,38289000.0
South Korea,KOR,7,15,5,27,1996,Atlanta,USA,6.1017E+11,,,
Mexico,MEX,0,0,1,1,1996,Atlanta,USA,4.10976E+11,MEX,72.7,93294783.0
South Africa,ZAF,3,1,1,5,1996,Atlanta,USA,1.47608E+11,ZAF,60.7,42898520.0
Mozambique,MOZ,0,0,1,1,1996,Atlanta,USA,3856799844,,,
Moldova,MDA,0,1,1,2,1996,Atlanta,USA,1695122174,,,
Portugal,PRT,1,0,1,2,1996,Atlanta,USA,1.2263E+11,PRT,75.3,10063945.0
Ukraine,UKR,9,2,12,23,1996,Atlanta,USA,44558076852,,,
Hungary,HUN,7,4,10,21,1996,Atlanta,USA,46658755152,HUN,70.7,10311235.0
Tunisia,TUN,0,0,1,1,1996,Atlanta,USA,19587322786,,,
Bahamas,BHS,0,1,0,1,1996,Atlanta,USA,3609000000,,,
Belgium,BEL,2,2,2,6,1996,Atlanta,USA,2.79201E+11,BEL,77.3,10156641.0
Switzerland,CHE,4,3,0,7,1996,Atlanta,USA,3.40471E+11,CHE,79.1,7071851.0
Austria,AUT,0,1,2,3,1996,Atlanta,USA,2.37251E+11,AUT,77.0,7959016.0
Kazakhstan,KAZ,3,4,4,11,1996,Atlanta,USA,21035368251,,,
Croatia,HRV,1,1,0,2,1996,Atlanta,USA,23846613059,,,4574853.0
Japan,JPN,3,6,5,14,1996,Atlanta,USA,4.83371E+12,JPN,80.3,125864000.0
Nigeria,NGA,2,1,3,6,1996,Atlanta,USA,51075815093,,,
Mongolia,MNG,0,0,1,1,1996,Atlanta,USA,1345719472,,,
Philippines,PHL,0,1,0,1,1996,Atlanta,USA,82848140618,,,
Slovenia,SVN,0,2,0,2,1996,Atlanta,USA,21507232649,SVN,75.1,1991169.0
Latvia,LVA,0,1,0,1,1996,Atlanta,USA,5969114344,,,2457226.0
Russia,RUS,26,21,16,63,1996,Atlanta,USA,3.91725E+11,RUS,66.0,148160121.0
North Korea,PRK,2,1,2,5,1996,Atlanta,USA, $-   ,,,
Netherlands,NLD,4,5,10,19,1996,Atlanta,USA,4.5049E+11,NLD,77.6,15530500.0
Ireland,IRL,0,1,0,1,2000,Sydney,AUS,99871239174,IRL,76.6,3789536.0
Algeria,DZA,1,1,3,5,2000,Sydney,AUS,54790379459,,,
Jamaica,JAM,0,6,3,9,2000,Sydney,AUS,9005064475,,,
Qatar,QAT,0,0,1,1,2000,Sydney,AUS,17759890110,,,
Spain,ESP,3,3,5,11,2000,Sydney,AUS,5.96878E+11,ESP,79.3,40554387.0
Iran,IRN,3,0,1,4,2000,Sydney,AUS,1.09592E+11,,,
Sweden,SWE,4,5,3,12,2000,Sydney,AUS,2.62835E+11,SWE,79.7,8872112.0
Hungary,HUN,8,6,3,17,2000,Sydney,AUS,47218405892,HUN,71.9,10210965.0
Indonesia,IDN,1,3,2,6,2000,Sydney,AUS,1.65021E+11,IDN,65.8,211540429.0
Japan,JPN,5,8,5,18,2000,Sydney,AUS,4.88752E+12,JPN,81.2,126925843.0
Armenia,ARM,0,0,1,1,2000,Sydney,AUS,1911563669,,,
India,IND,0,0,1,1,2000,Sydney,AUS,4.68395E+11,IND,62.5,1053050912.0
Australia,AUS,16,25,17,58,2000,Sydney,AUS,4.15223E+11,AUS,79.3,19028802.0
Kazakhstan,KAZ,3,4,0,7,2000,Sydney,AUS,18291994909,,,
Iceland,ISL,0,0,1,1,2000,Sydney,AUS,9025660362,ISL,79.7,281200.0
Israel,ISR,0,0,1,1,2000,Sydney,AUS,1.32705E+11,ISR,78.8,6289200.0
Argentina,ARG,0,2,2,4,2000,Sydney,AUS,2.84204E+11,,,36783859.0
Italy,ITA,13,8,13,34,2000,Sydney,AUS,1.14383E+12,ITA,79.9,56942108.0
France,FRA,13,14,11,38,2000,Sydney,AUS,1.36225E+12,FRA,79.2,60724780.0
South Korea,KOR,8,10,10,28,2000,Sydney,AUS,5.76178E+11,,,
Portugal,PRT,0,0,2,2,2000,Sydney,AUS,1.18311E+11,PRT,76.9,10289898.0
Latvia,LVA,1,1,1,3,2000,Sydney,AUS,7949253766,,,2367549.0
Poland,POL,6,5,3,14,2000,Sydney,AUS,1.72219E+11,POL,73.8,38258478.0
Nigeria,NGA,1,2,0,3,2000,Sydney,AUS,69448756933,,,
Georgia,GEO,0,0,6,6,2000,Sydney,AUS,3057475335,,,
Lithuania,LTU,2,0,3,5,2000,Sydney,AUS,11524776867,LTU,72.1,3499534.0
Azerbaijan,AZE,2,0,1,3,2000,Sydney,AUS,5272798391,,,
Thailand,THA,1,0,2,3,2000,Sydney,AUS,1.26392E+11,,,
Greece,GRC,4,6,3,13,2000,Sydney,AUS,1.30134E+11,GRC,78.6,10805806.0
Macedonia,MKD,0,0,1,1,2000,Sydney,AUS,3773653058,,,
Bahamas,BHS,2,0,1,3,2000,Sydney,AUS,8076470000,,,
South Africa,ZAF,0,2,3,5,2000,Sydney,AUS,1.36362E+11,ZAF,56.2,45728315.0
Finland,FIN,2,1,1,4,2000,Sydney,AUS,1.25707E+11,FIN,77.7,5176203.0
Trinidad and Tobago,TTO,0,1,1,2,2000,Sydney,AUS,8154338233,,,
Kyrgyzstan,KGZ,0,0,1,1,2000,Sydney,AUS,1369688498,,,
Romania,ROU,11,6,9,26,2000,Sydney,AUS,37253259017,,,22442973.0
Kuwait,KWT,0,0,1,1,2000,Sydney,AUS,37712842243,,,
Sri Lanka,LKA,0,1,0,1,2000,Sydney,AUS,16330814180,,,
Switzerland,CHE,1,6,2,9,2000,Sydney,AUS,2.79841E+11,CHE,79.9,7184250.0
Germany,DEU,13,17,26,56,2000,Sydney,AUS,1.94315E+12,DEU,78.2,82211501.0
Kenya,KEN,2,3,2,7,2000,Sydney,AUS,12705357103,,,
North Korea,PRK,0,1,3,4,2000,Sydney,AUS, $-   ,,,
Colombia,COL,1,0,0,1,2000,Sydney,AUS,99886577331,COL,71.0,40295563.0
New Zealand,NZL,1,0,3,4,2000,Sydney,AUS,52623281957,NZL,78.4,3857700.0
Canada,CAN,3,3,8,14,2000,Sydney,AUS,7.44773E+11,CAN,79.0,30685730.0
Saudi Arabia,SAU,0,1,1,2,2000,Sydney,AUS,1.89515E+11,,,20764312.0
Chinese Taipei,TPE,0,1,4,5,2000,Sydney,AUS,,,,
Chile,CHL,0,0,1,1,2000,Sydney,AUS,77860932152,CHL,76.4,15343326.0
China,CHN,28,16,14,58,2000,Sydney,AUS,1.21135E+12,,,
Morocco,MAR,0,1,4,5,2000,Sydney,AUS,38857251336,,,
Mozambique,MOZ,1,0,0,1,2000,Sydney,AUS,5656473652,,,
Estonia,EST,1,0,2,3,2000,Sydney,AUS,5694069842,EST,71.0,1396985.0
Belarus,BLR,3,3,11,17,2000,Sydney,AUS,12738912134,,,
Slovenia,SVN,2,0,0,2,2000,Sydney,AUS,20289627637,SVN,76.1,1990272.0
Moldova,MDA,0,1,1,2,2000,Sydney,AUS,1288429392,,,
Belgium,BEL,0,2,3,5,2000,Sydney,AUS,2.36205E+11,BEL,77.8,10251247.0
Vietnam,VNM,0,1,0,1,2000,Sydney,AUS,31172518403,,,
Brazil,BRA,0,6,6,12,2000,Sydney,AUS,6.55421E+11,BRA,70.2,173765726.0
Russia,RUS,32,28,29,89,2000,Sydney,AUS,2.5971E+11,RUS,65.6,146596873.0
Ukraine,UKR,3,10,10,23,2000,Sydney,AUS,31261718319,,,
United States,USA,37,24,32,93,2000,Sydney,AUS,1.02523E+13,USA,76.7,282162411.0
Croatia,HRV,1,0,1,2,2000,Sydney,AUS,21633759451,,,4428069.0
Austria,AUT,2,1,0,3,2000,Sydney,AUS,1.968E+11,AUT,78.2,8011566.0
Mexico,MEX,1,2,3,6,2000,Sydney,AUS,7.07907E+11,MEX,74.7,98785275.0
Uruguay,URY,0,1,0,1,2000,Sydney,AUS,22823255802,,,
Uzbekistan,UZB,1,1,2,4,2000,Sydney,AUS,13760513969,,,
Barbados,BRB,0,0,1,1,2000,Sydney,AUS,3059500000,,,
Costa Rica,CRI,0,0,2,2,2000,Sydney,AUS,15013629665,CRI,77.5,3872349.0
Slovakia,SVK,1,3,1,5,2000,Sydney,AUS,29169953013,,,
Norway,NOR,4,3,3,10,2000,Sydney,AUS,1.71247E+11,NOR,78.8,4490973.0
Denmark,DNK,2,3,1,6,2000,Sydney,AUS,1.64159E+11,DNK,76.9,5337344.0
Bulgaria,BGR,5,6,2,13,2000,Sydney,AUS,13245833844,,,8170172.0
Czech Republic,CZE,2,3,3,8,2000,Sydney,AUS,61828166496,CZE,75.1,10272503.0
Cuba,CUB,11,11,7,29,2000,Sydney,AUS,30565400000,,,
Ethiopia,ETH,4,1,3,8,2000,Sydney,AUS,8242392104,,,
Cameroon,CMR,1,0,0,1,2000,Sydney,AUS,10109045071,,,
Netherlands,NLD,12,9,4,25,2000,Sydney,AUS,4.16443E+11,NLD,78.2,15925505.0
England,GBR,11,10,7,28,2000,Sydney,AUS,1.65819E+12,,,
Serbia and Montenegro,SCG,1,1,1,3,2000,Sydney,AUS,,,,
Turkey,TUR,3,0,2,5,2000,Sydney,AUS,2.74303E+11,TUR,71.1,64268751.0
Greece,GRC,6,6,4,16,2004,Athens,GRC,2.40521E+11,GRC,79.4,10955142.0
Trinidad and Tobago,TTO,0,0,1,1,2004,Athens,GRC,13280275123,,,
Switzerland,CHE,1,1,3,5,2004,Athens,GRC,4.05531E+11,CHE,81.2,7389626.0
Israel,ISR,1,0,1,2,2004,Athens,GRC,1.35728E+11,ISR,80.2,6809000.0
Iran,IRN,2,2,2,6,2004,Athens,GRC,1.90043E+11,,,
Jamaica,JAM,2,1,2,5,2004,Athens,GRC,10174664854,,,
Spain,ESP,3,11,6,20,2004,Athens,GRC,1.06709E+12,ESP,80.4,42859172.0
Hong Kong,HKG,0,1,0,1,2004,Athens,GRC,1.691E+11,,,
Indonesia,IDN,1,1,2,4,2004,Athens,GRC,2.56837E+11,IDN,67.0,223614649.0
Japan,JPN,16,9,12,37,2004,Athens,GRC,4.81515E+12,JPN,82.1,127687000.0
India,IND,0,1,0,1,2004,Athens,GRC,7.09149E+11,IND,64.1,1126135777.0
Zimbabwe,ZWE,1,1,1,3,2004,Athens,GRC,5805598400,,,
Kazakhstan,KAZ,1,4,3,8,2004,Athens,GRC,43151647003,,,
Hungary,HUN,8,6,3,17,2004,Athens,GRC,1.0396E+11,HUN,73.0,10107140.0
Dominican Republic,DOM,1,0,0,1,2004,Athens,GRC,22322395368,,,
Sweden,SWE,4,2,1,7,2004,Athens,GRC,3.85118E+11,SWE,80.6,8993533.0
Netherlands,NLD,4,9,9,22,2004,Athens,GRC,6.57172E+11,NLD,79.2,16281777.0
Colombia,COL,0,0,2,2,2004,Athens,GRC,1.17082E+11,COL,72.7,42368489.0
Serbia and Montenegro,SCG,0,2,0,2,2004,Athens,GRC,,,,
Slovakia,SVK,2,2,2,6,2004,Athens,GRC,57332015148,,,
China,CHN,32,17,14,63,2004,Athens,GRC,1.95535E+12,,,
Eritrea,ERI,0,0,1,1,2004,Athens,GRC,1109054005,,,
Egypt,EGY,1,1,3,5,2004,Athens,GRC,78782467532,,,
Mongolia,MNG,0,0,1,1,2004,Athens,GRC,1992066808,,,
Chinese Taipei,TPE,2,2,1,5,2004,Athens,GRC,,,,
New Zealand,NZL,3,2,0,5,2004,Athens,GRC,1.03905E+11,NZL,79.6,4087500.0
United Arab Emirates,ARE,1,0,0,1,2004,Athens,GRC,1.47824E+11,,,
Cuba,CUB,9,7,11,27,2004,Athens,GRC,38203000000,,,
Croatia,HRV,1,2,2,5,2004,Athens,GRC,41587470547,,,4308296.0
Denmark,DNK,2,1,5,8,2004,Athens,GRC,2.51373E+11,DNK,77.8,5401177.0
Morocco,MAR,2,1,0,3,2004,Athens,GRC,59626020162,,,
Turkey,TUR,3,3,4,10,2004,Athens,GRC,4.08876E+11,TUR,72.7,67598736.0
Ukraine,UKR,8,5,9,22,2004,Athens,GRC,64819702952,,,
Czech Republic,CZE,1,3,5,9,2004,Athens,GRC,1.19814E+11,CZE,75.8,10206923.0
Estonia,EST,0,1,2,3,2004,Athens,GRC,12144397516,EST,72.4,1362550.0
Slovenia,SVN,0,1,3,4,2004,Athens,GRC,34414784504,SVN,77.2,1997004.0
Kenya,KEN,1,4,2,7,2004,Athens,GRC,16095337094,,,
Syria,SYR,0,0,1,1,2004,Athens,GRC,25086930693,,,
North Korea,PRK,0,4,1,5,2004,Athens,GRC, $-   ,,,
Argentina,ARG,2,0,4,6,2004,Athens,GRC,1.64658E+11,,,38325927.0
Norway,NOR,5,0,1,6,2004,Athens,GRC,2.64512E+11,NOR,80.1,4591909.0
Portugal,PRT,0,2,1,3,2004,Athens,GRC,1.89035E+11,PRT,78.4,10483861.0
Cameroon,CMR,1,0,0,1,2004,Athens,GRC,17462229589,,,
Belarus,BLR,2,5,6,13,2004,Athens,GRC,23144351852,,,
Paraguay,PRY,0,1,0,1,2004,Athens,GRC,9624440836,,,
Bahamas,BHS,1,0,1,2,2004,Athens,GRC,9055290000,,,
Romania,ROU,8,5,6,19,2004,Athens,GRC,74972669057,,,21451845.0
Uzbekistan,UZB,2,1,2,5,2004,Athens,GRC,12030023548,,,
Nigeria,NGA,0,0,2,2,2004,Athens,GRC,1.36386E+11,,,
Russia,RUS,28,26,36,90,2004,Athens,GRC,5.91017E+11,RUS,65.6,143821218.0
Bulgaria,BGR,2,1,9,12,2004,Athens,GRC,26157894737,,,7716860.0
Poland,POL,3,2,5,10,2004,Athens,GRC,2.5511E+11,POL,74.9,38180249.0
South Korea,KOR,9,12,9,30,2004,Athens,GRC,7.93175E+11,,,
England,GBR,9,9,12,30,2004,Athens,GRC,2.41205E+12,,,
Azerbaijan,AZE,1,0,4,5,2004,Athens,GRC,8680370408,,,
Canada,CAN,3,6,3,12,2004,Athens,GRC,1.02669E+12,CAN,79.8,31940655.0
Venezuela,VEN,0,0,2,2,2004,Athens,GRC,1.12453E+11,,,
Latvia,LVA,0,4,0,4,2004,Athens,GRC,14401882399,LVA,70.8,2263123.0
Austria,AUT,2,4,1,7,2004,Athens,GRC,3.00904E+11,AUT,79.3,8169441.0
Germany,DEU,13,16,20,49,2004,Athens,GRC,2.80919E+12,DEU,79.2,82516268.0
Georgia,GEO,2,2,0,4,2004,Athens,GRC,5125365192,,,
Lithuania,LTU,1,2,0,3,2004,Athens,GRC,22627507452,LTU,72.0,3377073.0
France,FRA,11,9,13,33,2004,Athens,GRC,2.11574E+12,FRA,80.3,62490800.0
South Africa,ZAF,1,3,2,6,2004,Athens,GRC,2.2859E+11,ZAF,53.5,46741256.0
Chile,CHL,2,0,1,3,2004,Athens,GRC,99210392858,CHL,77.4,16022133.0
Thailand,THA,3,1,4,8,2004,Athens,GRC,1.72896E+11,,,
Ethiopia,ETH,2,3,2,7,2004,Athens,GRC,10131187261,,,
Brazil,BRA,5,2,3,10,2004,Athens,GRC,6.69317E+11,BRA,71.6,182865043.0
United States,USA,36,39,26,101,2004,Athens,GRC,1.22137E+13,USA,77.6,292805298.0
Belgium,BEL,1,0,2,3,2004,Athens,GRC,3.68537E+11,BEL,79.0,10421133.0
Australia,AUS,17,16,17,50,2004,Athens,GRC,6.1249E+11,AUS,80.6,19932722.0
Finland,FIN,0,2,0,2,2004,Athens,GRC,1.97117E+11,FIN,79.0,5228173.0
Mexico,MEX,0,3,1,4,2004,Athens,GRC,7.82241E+11,MEX,75.4,104272444.0
Italy,ITA,10,11,11,32,2004,Athens,GRC,1.80323E+12,ITA,80.9,57685327.0
France,FRA,7,16,20,43,2008,Beijing,CHN,2.91838E+12,FRA,81.4,64133174.0
Jamaica,JAM,5,4,2,11,2008,Beijing,CHN,13709402085,,,
Egypt,EGY,0,0,2,2,2008,Beijing,CHN,1.62818E+11,,,
Estonia,EST,1,1,0,2,2008,Beijing,CHN,24371299253,EST,74.2,1337090.0
Ethiopia,ETH,4,2,1,7,2008,Beijing,CHN,27066912635,,,
Italy,ITA,8,9,10,27,2008,Beijing,CHN,2.39886E+12,ITA,81.6,58826733.0
Israel,ISR,0,0,1,1,2008,Beijing,CHN,2.16339E+11,ISR,81.0,7308795.0
Finland,FIN,1,1,2,4,2008,Beijing,CHN,2.84554E+11,FIN,79.9,5313398.0
Japan,JPN,9,8,8,25,2008,Beijing,CHN,5.03791E+12,JPN,82.7,128083960.0
Iceland,ISL,0,1,0,1,2008,Beijing,CHN,18074622987,ISL,81.7,317404.0
Iran,IRN,1,0,1,2,2008,Beijing,CHN,4.12336E+11,,,
Indonesia,IDN,1,1,4,6,2008,Beijing,CHN,5.10229E+11,IDN,68.5,236159276.0
Georgia,GEO,3,2,2,7,2008,Beijing,CHN,12795076469,,,
Germany,DEU,16,11,14,41,2008,Beijing,CHN,3.73003E+12,DEU,80.2,82110097.0
Greece,GRC,0,2,1,3,2008,Beijing,CHN,3.54461E+11,GRC,80.3,11077839.0
India,IND,1,0,2,3,2008,Beijing,CHN,1.1989E+12,IND,65.8,1197146906.0
Ecuador,ECU,0,1,0,1,2008,Beijing,CHN,61762635000,,,
