Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country, GDP (USD Millions) ,COU,Life Expectancy at Birth,Population
United States,USA,45,28,34,107,1968,Mexico City,MEX,9.425E+11,USA,70.4,200706052.0
New Zealand,NZL,1,0,2,3,1968,Mexico City,MEX,5180597621,NZL,71.4,2758885.0
Canada,CAN,1,3,1,5,1968,Mexico City,MEX,71829810520,,,21129417.0
Norway,NOR,1,1,0,2,1968,Mexico City,MEX,10159934137,NOR,74.2,3816488.0
Ethiopia,ETH,1,1,0,2,1968,Mexico City,MEX, $-   ,,,
Chinese Taipei,TPE,0,0,1,1,1968,Mexico City,MEX,,,,
Jamaica,JAM,0,1,0,1,1968,Mexico City,MEX,1083883355,,,
Italy,ITA,3,4,9,16,1968,Mexico City,MEX,87942231678,,,53235691.0
Japan,JPN,11,7,7,25,1968,Mexico City,MEX,1.46601E+11,JPN,71.7,102287000.0
Iran,IRN,2,1,2,5,1968,Mexico City,MEX,8623172960,,,
Switzerland,CHE,0,1,4,5,1968,Mexico City,MEX,18942729779,CHE,72.7,6067714.0
India,IND,0,0,1,1,1968,Mexico City,MEX,53085455871,IND,46.4,529967317.0
Hungary,HUN,10,10,12,32,1968,Mexico City,MEX, $-   ,HUN,69.3,10255807.0
Uganda,UGA,0,1,1,2,1968,Mexico City,MEX,1037815126,,,
Kenya,KEN,3,4,2,9,1968,Mexico City,MEX,1353295458,,,
Pakistan,PAK,0,1,0,1,1972,Munich,DEU,9415016360,,,
Germany,DEU,20,23,23,66,1972,Munich,DEU,2.99802E+11,DEU,71.0,78688450.0
Uganda,UGA,1,1,0,2,1972,Munich,DEU,1491596639,,,
Norway,NOR,2,1,1,4,1972,Munich,DEU,17358610850,NOR,74.6,3933001.0
Turkey,TUR,0,1,0,1,1972,Munich,DEU,20431095406,TUR,55.0,37133000.0
Yugoslavia,YUG,2,1,2,5,1972,Munich,DEU,,,,
Niger,NER,0,0,1,1,1972,Munich,DEU,742779740.4,,,
United States,USA,33,31,30,94,1972,Munich,DEU,1.27911E+12,USA,71.3,209896021.0
Ghana,GHA,0,0,1,1,1972,Munich,DEU,2112292945,,,
Denmark,DNK,1,0,0,1,1972,Munich,DEU,23232379952,DNK,73.4,4991596.0
Jamaica,JAM,0,0,1,1,1972,Munich,DEU,1875048860,,,
France,FRA,2,4,7,13,1972,Munich,DEU,2.03494E+11,FRA,72.4,51700913.0
Romania,ROU,3,6,7,16,1972,Munich,DEU, $-   ,,,20657956.0
Finland,FIN,3,1,4,8,1972,Munich,DEU,14743186120,FIN,70.7,4639656.0
Mexico,MEX,0,1,0,1,1972,Munich,DEU,45200000000,MEX,63.1,53973953.0
Sweden,SWE,4,6,6,16,1972,Munich,DEU,48954145809,SWE,74.8,8122154.0
Brazil,BRA,0,0,2,2,1972,Munich,DEU,58539008786,BRA,59.8,100143598.0
Russia,RUS,50,27,22,99,1972,Munich,DEU, $-   ,RUS,68.4,131514099.0
Italy,ITA,5,3,10,18,1972,Munich,DEU,1.4526E+11,,,54381345.0
South Korea,KOR,0,1,0,1,1972,Munich,DEU,10862327878,,,
Australia,AUS,8,7,2,17,1972,Munich,DEU,51967289720,AUS,72.0,13303664.0
Greece,GRC,0,2,0,2,1972,Munich,DEU,16885511364,GRC,73.8,8888628.0
Bulgaria,BGR,6,10,5,21,1972,Munich,DEU, $-   ,,,8576200.0
Switzerland,CHE,0,3,0,3,1972,Munich,DEU, $-   ,CHE,73.8,6260956.0
Canada,CAN,0,2,3,5,1972,Munich,DEU,1.13083E+11,,,22218463.0
India,IND,0,0,1,1,1972,Munich,DEU,71463193830,IND,49.1,579411513.0
Colombia,COL,0,1,2,3,1972,Munich,DEU,8671358733,COL,60.4,23146803.0
Belgium,BEL,0,2,0,2,1972,Munich,DEU,37209418019,BEL,71.5,9711115.0
Japan,JPN,13,8,8,29,1972,Munich,DEU,3.18031E+11,JPN,73.2,107595000.0
Mongolia,MNG,0,1,0,1,1972,Munich,DEU, $-   ,,,
Lebanon,LBN,0,1,0,1,1972,Munich,DEU, $-   ,,,
Iran,IRN,0,2,1,3,1972,Munich,DEU,17153463263,,,
North Korea,PRK,1,1,3,5,1972,Munich,DEU, $-   ,,,
Ethiopia,ETH,0,0,2,2,1972,Munich,DEU, $-   ,,,
Tunisia,TUN,0,1,0,1,1972,Munich,DEU,2237476420,,,
Argentina,ARG,0,1,0,1,1972,Munich,DEU,34733000536,,,24769829.0
Poland,POL,7,5,9,21,1972,Munich,DEU, $-   ,POL,70.7,33068000.0
England,GBR,4,5,9,18,1972,Munich,DEU,1.69965E+11,,,
Austria,AUT,0,1,2,3,1972,Munich,DEU,22059612477,AUT,70.6,7544201.0
Germany,DEU,13,11,16,40,1972,Munich,DEU,2.99802E+11,DEU,71.0,78688450.0
Spain,ESP,0,0,1,1,1972,Munich,DEU,59132415221,,,34571714.0
Netherlands,NLD,3,1,1,5,1972,Munich,DEU,54706557264,NLD,73.8,13328595.0
Cuba,CUB,3,1,4,8,1972,Munich,DEU,8135150892,,,
Czech Republic,CZE,2,4,2,8,1972,Munich,DEU, $-   ,CZE,70.3,9868379.0
Hungary,HUN,6,13,16,35,1972,Munich,DEU, $-   ,HUN,69.8,10398491.0
Kenya,KEN,2,3,4,9,1972,Munich,DEU,2107279157,,,
New Zealand,NZL,1,1,1,3,1972,Munich,DEU,9567331065,NZL,71.7,2929135.0
Nigeria,NGA,0,0,1,1,1972,Munich,DEU,12274416018,,,
Bulgaria,BGR,6,9,7,22,1976,Montreal,CAN, $-   ,,,8758599.0
