Event,NOC,Pos.,Year,Discipline,Gender Cleaned,Event Cleaned
"Free Pistol, 50 metres, Open",SWE,1,1972,Shooting,Open,"Free Pistol, 50 metres"
"Free Pistol, 50 metres, Open",ROU,2,1972,Shooting,Open,"Free Pistol, 50 metres"
"Free Pistol, 50 metres, Open",AUT,3,1972,Shooting,Open,"Free Pistol, 50 metres"
"Free Rifle, Three Positions, 300 metres, Open",USA,1,1972,Shooting,Open,"Free Rifle, Three Positions, 300 metres"
"Free Rifle, Three Positions, 300 metres, Open",URS,2,1972,Shooting,Open,"Free Rifle, Three Positions, 300 metres"
"Free Rifle, Three Positions, 300 metres, Open",HUN,3,1972,Shooting,Open,"Free Rifle, Three Positions, 300 metres"
"Rapid-Fire Pistol, 25 metres, Open",POL,1,1972,Shooting,Open,"Rapid-Fire Pistol, 25 metres"
"Rapid-Fire Pistol, 25 metres, Open",TCH,2,1972,Shooting,Open,"Rapid-Fire Pistol, 25 metres"
"Rapid-Fire Pistol, 25 metres, Open",URS,3,1972,Shooting,Open,"Rapid-Fire Pistol, 25 metres"
"Running Target, 50 metres, Open",URS,1,1972,Shooting,Open,"Running Target, 50 metres"
"Running Target, 50 metres, Open",COL,2,1972,Shooting,Open,"Running Target, 50 metres"
"Running Target, 50 metres, Open",GBR,3,1972,Shooting,Open,"Running Target, 50 metres"
"Skeet, Open",FRG,1,1972,Shooting,Open,Skeet
"Skeet, Open",URS,2,1972,Shooting,Open,Skeet
"Skeet, Open",GDR,3,1972,Shooting,Open,Skeet
"Small-Bore Rifle, Prone, 50 metres, Open",PRK,1,1972,Shooting,Open,"Small-Bore Rifle, Prone, 50 metres"
"Small-Bore Rifle, Prone, 50 metres, Open",USA,2,1972,Shooting,Open,"Small-Bore Rifle, Prone, 50 metres"
"Small-Bore Rifle, Prone, 50 metres, Open",ROU,3,1972,Shooting,Open,"Small-Bore Rifle, Prone, 50 metres"
"Small-Bore Rifle, Three Positions, 50 metres, Open",USA,1,1972,Shooting,Open,"Small-Bore Rifle, Three Positions, 50 metres"
"Small-Bore Rifle, Three Positions, 50 metres, Open",USA,2,1972,Shooting,Open,"Small-Bore Rifle, Three Positions, 50 metres"
"Small-Bore Rifle, Three Positions, 50 metres, Open",GDR,3,1972,Shooting,Open,"Small-Bore Rifle, Three Positions, 50 metres"
"Trap, Open",ITA,1,1972,Shooting,Open,Trap
"Trap, Open",FRA,2,1972,Shooting,Open,Trap
"Trap, Open",ITA,3,1972,Shooting,Open,Trap
"1,500 metres Freestyle, Men",USA,1,1972,Swimming,Men,"1,500 metres Freestyle"
"1,500 metres Freestyle, Men",AUS,2,1972,Swimming,Men,"1,500 metres Freestyle"
"1,500 metres Freestyle, Men",USA,3,1972,Swimming,Men,"1,500 metres Freestyle"
"100 metres Backstroke, Men",GDR,1,1972,Swimming,Men,100 metres Backstroke
"100 metres Backstroke, Men",USA,2,1972,Swimming,Men,100 metres Backstroke
"100 metres Backstroke, Men",USA,3,1972,Swimming,Men,100 metres Backstroke
"100 metres Backstroke, Women",USA,1,1972,Swimming,Women,100 metres Backstroke
"100 metres Backstroke, Women",HUN,2,1972,Swimming,Women,100 metres Backstroke
"100 metres Backstroke, Women",USA,3,1972,Swimming,Women,100 metres Backstroke
"100 metres Breaststroke, Men",JPN,1,1972,Swimming,Men,100 metres Breaststroke
"100 metres Breaststroke, Men",USA,2,1972,Swimming,Men,100 metres Breaststroke
"100 metres Breaststroke, Men",USA,3,1972,Swimming,Men,100 metres Breaststroke
"100 metres Breaststroke, Women",USA,1,1972,Swimming,Women,100 metres Breaststroke
"100 metres Breaststroke, Women",URS,2,1972,Swimming,Women,100 metres Breaststroke
"100 metres Breaststroke, Women",AUS,3,1972,Swimming,Women,100 metres Breaststroke
"100 metres Butterfly, Men",USA,1,1972,Swimming,Men,100 metres Butterfly
"100 metres Butterfly, Men",CAN,2,1972,Swimming,Men,100 metres Butterfly
"100 metres Butterfly, Men",USA,3,1972,Swimming,Men,100 metres Butterfly
"100 metres Butterfly, Women",JPN,1,1972,Swimming,Women,100 metres Butterfly
"100 metres Butterfly, Women",GDR,2,1972,Swimming,Women,100 metres Butterfly
"100 metres Butterfly, Women",HUN,3,1972,Swimming,Women,100 metres Butterfly
"100 metres Freestyle, Men",USA,1,1972,Swimming,Men,100 metres Freestyle
"100 metres Freestyle, Men",USA,2,1972,Swimming,Men,100 metres Freestyle
"100 metres Freestyle, Men",URS,3,1972,Swimming,Men,100 metres Freestyle
"100 metres Freestyle, Women",USA,1,1972,Swimming,Women,100 metres Freestyle
"100 metres Freestyle, Women",USA,2,1972,Swimming,Women,100 metres Freestyle
"100 metres Freestyle, Women",AUS,3,1972,Swimming,Women,100 metres Freestyle
"200 metres Backstroke, Men",GDR,1,1972,Swimming,Men,200 metres Backstroke
"200 metres Backstroke, Men",USA,2,1972,Swimming,Men,200 metres Backstroke
"200 metres Backstroke, Men",USA,3,1972,Swimming,Men,200 metres Backstroke
"200 metres Backstroke, Women",USA,1,1972,Swimming,Women,200 metres Backstroke
"200 metres Backstroke, Women",USA,2,1972,Swimming,Women,200 metres Backstroke
"200 metres Backstroke, Women",CAN,3,1972,Swimming,Women,200 metres Backstroke
"200 metres Breaststroke, Men",USA,1,1972,Swimming,Men,200 metres Breaststroke
"200 metres Breaststroke, Men",GBR,2,1972,Swimming,Men,200 metres Breaststroke
"200 metres Breaststroke, Men",JPN,3,1972,Swimming,Men,200 metres Breaststroke
"200 metres Breaststroke, Women",AUS,1,1972,Swimming,Women,200 metres Breaststroke
"200 metres Breaststroke, Women",USA,2,1972,Swimming,Women,200 metres Breaststroke
"200 metres Breaststroke, Women",URS,3,1972,Swimming,Women,200 metres Breaststroke
"200 metres Butterfly, Men",USA,1,1972,Swimming,Men,200 metres Butterfly
"200 metres Butterfly, Men",USA,2,1972,Swimming,Men,200 metres Butterfly
"200 metres Butterfly, Men",USA,3,1972,Swimming,Men,200 metres Butterfly
"200 metres Butterfly, Women",USA,1,1972,Swimming,Women,200 metres Butterfly
"200 metres Butterfly, Women",USA,2,1972,Swimming,Women,200 metres Butterfly
"200 metres Butterfly, Women",USA,3,1972,Swimming,Women,200 metres Butterfly
"200 metres Freestyle, Men",USA,1,1972,Swimming,Men,200 metres Freestyle
"200 metres Freestyle, Men",USA,2,1972,Swimming,Men,200 metres Freestyle
"200 metres Freestyle, Men",FRG,3,1972,Swimming,Men,200 metres Freestyle
"200 metres Freestyle, Women",AUS,1,1972,Swimming,Women,200 metres Freestyle
"200 metres Freestyle, Women",USA,2,1972,Swimming,Women,200 metres Freestyle
"200 metres Freestyle, Women",USA,3,1972,Swimming,Women,200 metres Freestyle
"200 metres Individual Medley, Men",SWE,1,1972,Swimming,Men,200 metres Individual Medley
"200 metres Individual Medley, Men",USA,2,1972,Swimming,Men,200 metres Individual Medley
"200 metres Individual Medley, Men",USA,3,1972,Swimming,Men,200 metres Individual Medley
"200 metres Individual Medley, Women",AUS,1,1972,Swimming,Women,200 metres Individual Medley
"200 metres Individual Medley, Women",GDR,2,1972,Swimming,Women,200 metres Individual Medley
"200 metres Individual Medley, Women",USA,3,1972,Swimming,Women,200 metres Individual Medley
"4 x 400 metres Relay, Men",USA,1,1992,Athletics,Men,4 x 400 metres Relay
"4 x 400 metres Relay, Men",CUB,2,1992,Athletics,Men,4 x 400 metres Relay
"4 x 400 metres Relay, Men",GBR,3,1992,Athletics,Men,4 x 400 metres Relay
"4 x 400 metres Relay, Men",USA,1,1996,Athletics,Men,4 x 400 metres Relay
"4 x 400 metres Relay, Men",GBR,2,1996,Athletics,Men,4 x 400 metres Relay
"4 x 400 metres Relay, Men",JAM,3,1996,Athletics,Men,4 x 400 metres Relay
"4 x 400 metres Relay, Men",USA,1,2004,Athletics,Men,4 x 400 metres Relay
"4 x 400 metres Relay, Men",AUS,2,2004,Athletics,Men,4 x 400 metres Relay
"4 x 400 metres Relay, Men",NGR,3,2004,Athletics,Men,4 x 400 metres Relay
"4 x 400 metres Relay, Men ",NGR ,1,2000,Athletics,Men,4 x 400 metres Relay
"4 x 400 metres Relay, Men ",JAM ,2,2000,Athletics,Men,4 x 400 metres Relay
"4 x 400 metres Relay, Men ",BAH,3,2000,Athletics,Men,4 x 400 metres Relay
"4 x 400 metres Relay, Women",USA,1,1984,Athletics,Women,4 x 400 metres Relay
"4 x 400 metres Relay, Women",CAN,2,1984,Athletics,Women,4 x 400 metres Relay
"4 x 400 metres Relay, Women",FRG,3,1984,Athletics,Women,4 x 400 metres Relay
"400 metres Freestyle, Men",AUS,1,1972,Swimming,Men,400 metres Freestyle
"400 metres Freestyle, Men",USA,2,1972,Swimming,Men,400 metres Freestyle
"400 metres Freestyle, Men",USA,3,1972,Swimming,Men,400 metres Freestyle
"400 metres Freestyle, Women",AUS,1,1972,Swimming,Women,400 metres Freestyle
"400 metres Freestyle, Women",ITA,2,1972,Swimming,Women,400 metres Freestyle
"400 metres Freestyle, Women",GDR,3,1972,Swimming,Women,400 metres Freestyle
"400 metres Individual Medley, Men",SWE,1,1972,Swimming,Men,400 metres Individual Medley
"400 metres Individual Medley, Men",USA,2,1972,Swimming,Men,400 metres Individual Medley
"400 metres Individual Medley, Men",HUN,3,1972,Swimming,Men,400 metres Individual Medley
"400 metres Individual Medley, Women",AUS,1,1972,Swimming,Women,400 metres Individual Medley
"400 metres Individual Medley, Women",CAN,2,1972,Swimming,Women,400 metres Individual Medley
"400 metres Individual Medley, Women",ITA,3,1972,Swimming,Women,400 metres Individual Medley
"800 metres Freestyle, Women",USA,1,1972,Swimming,Women,800 metres Freestyle
"800 metres Freestyle, Women",AUS,2,1972,Swimming,Women,800 metres Freestyle
"800 metres Freestyle, Women",ITA,3,1972,Swimming,Women,800 metres Freestyle
"Volleyball, Men",JPN,1,1972,Volleyball,Men,Volleyball
"Volleyball, Men",GDR,2,1972,Volleyball,Men,Volleyball
"Volleyball, Men",URS,3,1972,Volleyball,Men,Volleyball
"Volleyball, Women",URS,1,1972,Volleyball,Women,Volleyball
"Volleyball, Women",JPN,2,1972,Volleyball,Women,Volleyball
"Volleyball, Women",PRK,3,1972,Volleyball,Women,Volleyball
"Water Polo, Men",URS,1,1972,Water Polo,Men,Water Polo
"Water Polo, Men",HUN,2,1972,Water Polo,Men,Water Polo
"Water Polo, Men",USA,3,1972,Water Polo,Men,Water Polo
"Bantamweight, Men",HUN,1,1972,Weightlifting,Men,Bantamweight
"Bantamweight, Men",IRI,2,1972,Weightlifting,Men,Bantamweight
"Bantamweight, Men",URS,3,1972,Weightlifting,Men,Bantamweight
"Featherweight, Men",BUL,1,1972,Weightlifting,Men,Featherweight
"Featherweight, Men",URS,2,1972,Weightlifting,Men,Featherweight
"Featherweight, Men",HUN,3,1972,Weightlifting,Men,Featherweight
"Flyweight, Men",POL,1,1972,Weightlifting,Men,Flyweight
"Flyweight, Men",HUN,2,1972,Weightlifting,Men,Flyweight
"Flyweight, Men",HUN,3,1972,Weightlifting,Men,Flyweight
"Heavyweight, Men",URS,1,1972,Weightlifting,Men,Heavyweight
"Heavyweight, Men",BUL,2,1972,Weightlifting,Men,Heavyweight
"Heavyweight, Men",GDR,3,1972,Weightlifting,Men,Heavyweight
"Light-Heavyweight, Men",NOR,1,1972,Weightlifting,Men,Light-Heavyweight
"Light-Heavyweight, Men",POL,2,1972,Weightlifting,Men,Light-Heavyweight
"Light-Heavyweight, Men",HUN,3,1972,Weightlifting,Men,Light-Heavyweight
"Lightweight, Men",URS,1,1972,Weightlifting,Men,Lightweight
"Lightweight, Men",BUL,2,1972,Weightlifting,Men,Lightweight
"Lightweight, Men",POL,3,1972,Weightlifting,Men,Lightweight
"Middle-Heavyweight, Men",BUL,1,1972,Weightlifting,Men,Middle-Heavyweight
"Middle-Heavyweight, Men",BUL,2,1972,Weightlifting,Men,Middle-Heavyweight
"Middle-Heavyweight, Men",SWE,3,1972,Weightlifting,Men,Middle-Heavyweight
"Middleweight, Men",BUL,1,1972,Weightlifting,Men,Middleweight
"Middleweight, Men",LBN,2,1972,Weightlifting,Men,Middleweight
"Middleweight, Men",ITA,3,1972,Weightlifting,Men,Middleweight
"Super-Heavyweight, Men",URS,1,1972,Weightlifting,Men,Super-Heavyweight
"Super-Heavyweight, Men",FRG,2,1972,Weightlifting,Men,Super-Heavyweight
"Super-Heavyweight, Men",GDR,3,1972,Weightlifting,Men,Super-Heavyweight
"Bantamweight, Freestyle, Men",JPN,1,1972,Wrestling,Men,"Bantamweight, Freestyle"
"Bantamweight, Freestyle, Men",USA,2,1972,Wrestling,Men,"Bantamweight, Freestyle"
"Bantamweight, Freestyle, Men",HUN,3,1972,Wrestling,Men,"Bantamweight, Freestyle"
"Bantamweight, Greco-Roman, Men",URS,1,1972,Wrestling,Men,"Bantamweight, Greco-Roman"
"Bantamweight, Greco-Roman, Men",FRG,2,1972,Wrestling,Men,"Bantamweight, Greco-Roman"
"Bantamweight, Greco-Roman, Men",FIN,3,1972,Wrestling,Men,"Bantamweight, Greco-Roman"
"Featherweight, Freestyle, Men",URS,1,1972,Wrestling,Men,"Featherweight, Freestyle"
"Featherweight, Freestyle, Men",TUR,2,1972,Wrestling,Men,"Featherweight, Freestyle"
"Featherweight, Freestyle, Men",BUL,3,1972,Wrestling,Men,"Featherweight, Freestyle"
"Featherweight, Greco-Roman, Men",BUL,1,1972,Wrestling,Men,"Featherweight, Greco-Roman"
"Featherweight, Greco-Roman, Men",GDR,2,1972,Wrestling,Men,"Featherweight, Greco-Roman"
"Featherweight, Greco-Roman, Men",POL,3,1972,Wrestling,Men,"Featherweight, Greco-Roman"
"Flyweight, Freestyle, Men",JPN,1,1972,Wrestling,Men,"Flyweight, Freestyle"
"Flyweight, Freestyle, Men",URS,2,1972,Wrestling,Men,"Flyweight, Freestyle"
"Flyweight, Freestyle, Men",PRK,3,1972,Wrestling,Men,"Flyweight, Freestyle"
"Flyweight, Greco-Roman, Men",BUL,1,1972,Wrestling,Men,"Flyweight, Greco-Roman"
"Flyweight, Greco-Roman, Men",JPN,2,1972,Wrestling,Men,"Flyweight, Greco-Roman"
"Flyweight, Greco-Roman, Men",ITA,3,1972,Wrestling,Men,"Flyweight, Greco-Roman"
"Heavyweight, Freestyle, Men",URS,1,1972,Wrestling,Men,"Heavyweight, Freestyle"
"Heavyweight, Freestyle, Men",MGL,2,1972,Wrestling,Men,"Heavyweight, Freestyle"
"Heavyweight, Freestyle, Men",HUN,3,1972,Wrestling,Men,"Heavyweight, Freestyle"
"Heavyweight, Greco-Roman, Men",ROU,1,1972,Wrestling,Men,"Heavyweight, Greco-Roman"
"Heavyweight, Greco-Roman, Men",URS,2,1972,Wrestling,Men,"Heavyweight, Greco-Roman"
"Heavyweight, Greco-Roman, Men",HUN,3,1972,Wrestling,Men,"Heavyweight, Greco-Roman"
"Light-Flyweight, Freestyle, Men",URS,1,1972,Wrestling,Men,"Light-Flyweight, Freestyle"
"Light-Flyweight, Freestyle, Men",BUL,2,1972,Wrestling,Men,"Light-Flyweight, Freestyle"
"Light-Flyweight, Freestyle, Men",IRI,3,1972,Wrestling,Men,"Light-Flyweight, Freestyle"
"Light-Flyweight, Greco-Roman, Men",ROU,1,1972,Wrestling,Men,"Light-Flyweight, Greco-Roman"
"Light-Flyweight, Greco-Roman, Men",IRI,2,1972,Wrestling,Men,"Light-Flyweight, Greco-Roman"
"Light-Flyweight, Greco-Roman, Men",BUL,3,1972,Wrestling,Men,"Light-Flyweight, Greco-Roman"
"Light-Heavyweight, Freestyle, Men",USA,1,1972,Wrestling,Men,"Light-Heavyweight, Freestyle"
"Light-Heavyweight, Freestyle, Men",URS,2,1972,Wrestling,Men,"Light-Heavyweight, Freestyle"
"Light-Heavyweight, Freestyle, Men",HUN,3,1972,Wrestling,Men,"Light-Heavyweight, Freestyle"
"Light-Heavyweight, Greco-Roman, Men",URS,1,1972,Wrestling,Men,"Light-Heavyweight, Greco-Roman"
"Light-Heavyweight, Greco-Roman, Men",YUG,2,1972,Wrestling,Men,"Light-Heavyweight, Greco-Roman"
"Light-Heavyweight, Greco-Roman, Men",POL,3,1972,Wrestling,Men,"Light-Heavyweight, Greco-Roman"
"Lightweight, Freestyle, Men",USA,1,1972,Wrestling,Men,"Lightweight, Freestyle"
"Lightweight, Freestyle, Men",JPN,2,1972,Wrestling,Men,"Lightweight, Freestyle"
"Lightweight, Freestyle, Men",URS,3,1972,Wrestling,Men,"Lightweight, Freestyle"
"Lightweight, Greco-Roman, Men",URS,1,1972,Wrestling,Men,"Lightweight, Greco-Roman"
"Lightweight, Greco-Roman, Men",BUL,2,1972,Wrestling,Men,"Lightweight, Greco-Roman"
"Lightweight, Greco-Roman, Men",ITA,3,1972,Wrestling,Men,"Lightweight, Greco-Roman"
"Middleweight, Freestyle, Men",URS,1,1972,Wrestling,Men,"Middleweight, Freestyle"
"Middleweight, Freestyle, Men",USA,2,1972,Wrestling,Men,"Middleweight, Freestyle"
"Middleweight, Freestyle, Men",ROU,3,1972,Wrestling,Men,"Middleweight, Freestyle"
"Middleweight, Greco-Roman, Men",HUN,1,1972,Wrestling,Men,"Middleweight, Greco-Roman"
"Middleweight, Greco-Roman, Men",URS,2,1972,Wrestling,Men,"Middleweight, Greco-Roman"
"Middleweight, Greco-Roman, Men",YUG,3,1972,Wrestling,Men,"Middleweight, Greco-Roman"
"Super-Heavyweight, Freestyle, Men",URS,1,1972,Wrestling,Men,"Super-Heavyweight, Freestyle"
"Super-Heavyweight, Freestyle, Men",BUL,2,1972,Wrestling,Men,"Super-Heavyweight, Freestyle"
"Super-Heavyweight, Freestyle, Men",USA,3,1972,Wrestling,Men,"Super-Heavyweight, Freestyle"
"Super-Heavyweight, Greco-Roman, Men",URS,1,1972,Wrestling,Men,"Super-Heavyweight, Greco-Roman"
"Super-Heavyweight, Greco-Roman, Men",BUL,2,1972,Wrestling,Men,"Super-Heavyweight, Greco-Roman"
"Super-Heavyweight, Greco-Roman, Men",ROU,3,1972,Wrestling,Men,"Super-Heavyweight, Greco-Roman"
"Welterweight, Freestyle, Men",USA,1,1972,Wrestling,Men,"Welterweight, Freestyle"
"Welterweight, Freestyle, Men",SWE,2,1972,Wrestling,Men,"Welterweight, Freestyle"
"Welterweight, Freestyle, Men",FRG,3,1972,Wrestling,Men,"Welterweight, Freestyle"
"Welterweight, Greco-Roman, Men",TCH,1,1972,Wrestling,Men,"Welterweight, Greco-Roman"
"Welterweight, Greco-Roman, Men",GRE,2,1972,Wrestling,Men,"Welterweight, Greco-Roman"
"Welterweight, Greco-Roman, Men",SWE,3,1972,Wrestling,Men,"Welterweight, Greco-Roman"
"Individual, Men",USA,1,1976,Archery,Men,Individual
"Individual, Men",JPN,2,1976,Archery,Men,Individual
"Individual, Men",ITA,3,1976,Archery,Men,Individual
"Individual, Women",USA,1,1976,Archery,Women,Individual
"Individual, Women",URS,2,1976,Archery,Women,Individual
"Individual, Women",URS,3,1976,Archery,Women,Individual
"Balance Beam, Women",ROU,1,1976,Artistic Gymnastics,Women,Balance Beam
"Balance Beam, Women",URS,2,1976,Artistic Gymnastics,Women,Balance Beam
"Balance Beam, Women",ROU,3,1976,Artistic Gymnastics,Women,Balance Beam
"Floor Exercise, Men",URS,1,1976,Artistic Gymnastics,Men,Floor Exercise
"Floor Exercise, Men",URS,2,1976,Artistic Gymnastics,Men,Floor Exercise
"Floor Exercise, Men",USA,3,1976,Artistic Gymnastics,Men,Floor Exercise
"Floor Exercise, Women",URS,1,1976,Artistic Gymnastics,Women,Floor Exercise
"Floor Exercise, Women",URS,2,1976,Artistic Gymnastics,Women,Floor Exercise
"Floor Exercise, Women",ROU,3,1976,Artistic Gymnastics,Women,Floor Exercise
"Horizontal Bar, Men",JPN,1,1976,Artistic Gymnastics,Men,Horizontal Bar
"Horizontal Bar, Men",JPN,2,1976,Artistic Gymnastics,Men,Horizontal Bar
"Horizontal Bar, Men",FRG,3,1976,Artistic Gymnastics,Men,Horizontal Bar
"Horizontal Bar, Men",FRA,3,1976,Artistic Gymnastics,Men,Horizontal Bar
"Horse Vault, Men",URS,1,1976,Artistic Gymnastics,Men,Horse Vault
"Horse Vault, Men",JPN,2,1976,Artistic Gymnastics,Men,Horse Vault
"Horse Vault, Men",JPN,3,1976,Artistic Gymnastics,Men,Horse Vault
"Horse Vault, Women",URS,1,1976,Artistic Gymnastics,Women,Horse Vault
"Horse Vault, Women",URS,2,1976,Artistic Gymnastics,Women,Horse Vault
"Horse Vault, Women",GDR,2,1976,Artistic Gymnastics,Women,Horse Vault
"Horse Vault, Women",DQ,3,1976,Artistic Gymnastics,Women,Horse Vault
"Individual All-Around, Men",URS,1,1976,Artistic Gymnastics,Men,Individual All-Around
"Individual All-Around, Men",JPN,2,1976,Artistic Gymnastics,Men,Individual All-Around
"Individual All-Around, Men",JPN,3,1976,Artistic Gymnastics,Men,Individual All-Around
"Individual All-Around, Women",ROU,1,1976,Artistic Gymnastics,Women,Individual All-Around
"Individual All-Around, Women",URS,2,1976,Artistic Gymnastics,Women,Individual All-Around
"Individual All-Around, Women",URS,3,1976,Artistic Gymnastics,Women,Individual All-Around
"Parallel Bars, Men",JPN,1,1976,Artistic Gymnastics,Men,Parallel Bars
"Parallel Bars, Men",URS,2,1976,Artistic Gymnastics,Men,Parallel Bars
"Parallel Bars, Men",JPN,3,1976,Artistic Gymnastics,Men,Parallel Bars
"Pommelled Horse, Men",HUN,1,1976,Artistic Gymnastics,Men,Pommelled Horse
"Pommelled Horse, Men",JPN,2,1976,Artistic Gymnastics,Men,Pommelled Horse
"Pommelled Horse, Men",URS,3,1976,Artistic Gymnastics,Men,Pommelled Horse
"Pommelled Horse, Men",GDR,3,1976,Artistic Gymnastics,Men,Pommelled Horse
"Rings, Men",URS,1,1976,Artistic Gymnastics,Men,Rings
"Rings, Men",URS,2,1976,Artistic Gymnastics,Men,Rings
"Rings, Men",ROU,3,1976,Artistic Gymnastics,Men,Rings
"Team All-Around, Men",JPN,1,1976,Artistic Gymnastics,Men,Team All-Around
"Team All-Around, Men",URS,2,1976,Artistic Gymnastics,Men,Team All-Around
"Team All-Around, Men",GDR,3,1976,Artistic Gymnastics,Men,Team All-Around
"Team All-Around, Women",URS,1,1976,Artistic Gymnastics,Women,Team All-Around
"Team All-Around, Women",ROU,2,1976,Artistic Gymnastics,Women,Team All-Around
"Team All-Around, Women",GDR,3,1976,Artistic Gymnastics,Women,Team All-Around
"Uneven Bars, Women",ROU,1,1976,Artistic Gymnastics,Women,Uneven Bars
"Uneven Bars, Women",ROU,2,1976,Artistic Gymnastics,Women,Uneven Bars
"Uneven Bars, Women",HUN,3,1976,Artistic Gymnastics,Women,Uneven Bars
"1,500 metres, Men",NZL,1,1976,Athletics,Men,"1,500 metres"
"1,500 metres, Men",BEL,2,1976,Athletics,Men,"1,500 metres"
"1,500 metres, Men",FRG,3,1976,Athletics,Men,"1,500 metres"
"1,500 metres, Women",URS,1,1976,Athletics,Women,"1,500 metres"
"1,500 metres, Women",GDR,2,1976,Athletics,Women,"1,500 metres"
"1,500 metres, Women",GDR,3,1976,Athletics,Women,"1,500 metres"
"10,000 metres, Men",FIN,1,1976,Athletics,Men,"10,000 metres"
"10,000 metres, Men",POR,2,1976,Athletics,Men,"10,000 metres"
"10,000 metres, Men",GBR,3,1976,Athletics,Men,"10,000 metres"
"100 metres Hurdles, Women",GDR,1,1976,Athletics,Women,100 metres Hurdles
"100 metres Hurdles, Women",URS,2,1976,Athletics,Women,100 metres Hurdles
"100 metres Hurdles, Women",URS,3,1976,Athletics,Women,100 metres Hurdles
"100 metres, Men",TTO,1,1976,Athletics,Men,100 metres
"100 metres, Men",JAM,2,1976,Athletics,Men,100 metres
"100 metres, Men",URS,3,1976,Athletics,Men,100 metres
"100 metres, Women",FRG,1,1976,Athletics,Women,100 metres
"100 metres, Women",GDR,2,1976,Athletics,Women,100 metres
"100 metres, Women",FRG,3,1976,Athletics,Women,100 metres
"110 metres Hurdles, Men",FRA,1,1976,Athletics,Men,110 metres Hurdles
"110 metres Hurdles, Men",CUB,2,1976,Athletics,Men,110 metres Hurdles
"110 metres Hurdles, Men",USA,3,1976,Athletics,Men,110 metres Hurdles
"20 kilometres Walk, Men",MEX,1,1976,Athletics,Men,20 kilometres Walk
"20 kilometres Walk, Men",GDR,2,1976,Athletics,Men,20 kilometres Walk
"20 kilometres Walk, Men",GDR,3,1976,Athletics,Men,20 kilometres Walk
"200 metres, Men",JAM,1,1976,Athletics,Men,200 metres
"200 metres, Men",USA,2,1976,Athletics,Men,200 metres
"200 metres, Men",USA,3,1976,Athletics,Men,200 metres
"200 metres, Women",GDR,1,1976,Athletics,Women,200 metres
"200 metres, Women",FRG,2,1976,Athletics,Women,200 metres
"200 metres, Women",GDR,3,1976,Athletics,Women,200 metres
"3,000 metres Steeplechase, Men",SWE,1,1976,Athletics,Men,"3,000 metres Steeplechase"
"3,000 metres Steeplechase, Men",POL,2,1976,Athletics,Men,"3,000 metres Steeplechase"
"3,000 metres Steeplechase, Men",GDR,3,1976,Athletics,Men,"3,000 metres Steeplechase"
"4 x 400 metres Relay, Women",URS,1,1988,Athletics,Women,4 x 400 metres Relay
"4 x 400 metres Relay, Women",USA,2,1988,Athletics,Women,4 x 400 metres Relay
"4 x 400 metres Relay, Women",GDR,3,1988,Athletics,Women,4 x 400 metres Relay
"4 x 400 metres Relay, Women",EUN,1,1992,Athletics,Women,4 x 400 metres Relay
"4 x 400 metres Relay, Women",USA,2,1992,Athletics,Women,4 x 400 metres Relay
"4 x 400 metres Relay, Women",GBR,3,1992,Athletics,Women,4 x 400 metres Relay
"4 x 400 metres Relay, Women",USA,1,1996,Athletics,Women,4 x 400 metres Relay
"4 x 400 metres Relay, Women",NGR,2,1996,Athletics,Women,4 x 400 metres Relay
"4 x 400 metres Relay, Women",GER,3,1996,Athletics,Women,4 x 400 metres Relay
"4 x 400 metres Relay, Women",USA,1,2004,Athletics,Women,4 x 400 metres Relay
"4 x 400 metres Relay, Women",RUS,2,2004,Athletics,Women,4 x 400 metres Relay
"4 x 400 metres Relay, Women",JAM,3,2004,Athletics,Women,4 x 400 metres Relay
"400 metres Hurdles, Men",USA,1,1976,Athletics,Men,400 metres Hurdles
"400 metres Hurdles, Men",USA,2,1976,Athletics,Men,400 metres Hurdles
"400 metres Hurdles, Men",URS,3,1976,Athletics,Men,400 metres Hurdles
"400 metres, Men",CUB,1,1976,Athletics,Men,400 metres
"400 metres, Men",USA,2,1976,Athletics,Men,400 metres
"400 metres, Men",USA,3,1976,Athletics,Men,400 metres
"400 metres, Women",POL,1,1976,Athletics,Women,400 metres
"400 metres, Women",GDR,2,1976,Athletics,Women,400 metres
"400 metres, Women",GDR,3,1976,Athletics,Women,400 metres
"5,000 metres, Men",FIN,1,1976,Athletics,Men,"5,000 metres"
"5,000 metres, Men",NZL,2,1976,Athletics,Men,"5,000 metres"
"5,000 metres, Men",FRG,3,1976,Athletics,Men,"5,000 metres"
"800 metres, Men",CUB,1,1976,Athletics,Men,800 metres
"800 metres, Men",BEL,2,1976,Athletics,Men,800 metres
"800 metres, Men",USA,3,1976,Athletics,Men,800 metres
"800 metres, Women",URS,1,1976,Athletics,Women,800 metres
"800 metres, Women",BUL,2,1976,Athletics,Women,800 metres
"800 metres, Women",GDR,3,1976,Athletics,Women,800 metres
"Decathlon, Men",USA,1,1976,Athletics,Men,Decathlon
"Decathlon, Men",FRG,2,1976,Athletics,Men,Decathlon
"Decathlon, Men",URS,3,1976,Athletics,Men,Decathlon
"Discus Throw, Men",USA,1,1976,Athletics,Men,Discus Throw
"Discus Throw, Men",GDR,2,1976,Athletics,Men,Discus Throw
"Discus Throw, Men",USA,3,1976,Athletics,Men,Discus Throw
"Discus Throw, Women",GDR,1,1976,Athletics,Women,Discus Throw
