Event,NOC,Pos.,Year,Discipline
"Kayak Doubles, 500 metres, Women",GDR,3,1976,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",URS,1,1976,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",ESP,2,1976,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",GDR,3,1976,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",GDR,1,1976,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",HUN,2,1976,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",ROU,3,1976,Canoe Sprint
"Kayak Singles, 500 metres, Men",ROU,1,1976,Canoe Sprint
"Kayak Singles, 500 metres, Men",HUN,2,1976,Canoe Sprint
"Kayak Singles, 500 metres, Men",GDR,3,1976,Canoe Sprint
"Kayak Singles, 500 metres, Women",GDR,1,1976,Canoe Sprint
"Kayak Singles, 500 metres, Women",URS,2,1976,Canoe Sprint
"Kayak Singles, 500 metres, Women",HUN,3,1976,Canoe Sprint
"100 kilometres Team Time Trial, Men",URS,1,1976,Cycling Road
"100 kilometres Team Time Trial, Men",POL,2,1976,Cycling Road
"100 kilometres Team Time Trial, Men",DEN,3,1976,Cycling Road
"Road Race, Individual, Men",SWE,1,1976,Cycling Road
"Road Race, Individual, Men",ITA,2,1976,Cycling Road
"Road Race, Individual, Men",POL,3,1976,Cycling Road
"1,000 metres Time Trial, Men",GDR,1,1976,Cycling Track
"1,000 metres Time Trial, Men",BEL,2,1976,Cycling Track
"1,000 metres Time Trial, Men",DEN,3,1976,Cycling Track
"Individual Pursuit, 4,000 metres, Men",FRG,1,1976,Cycling Track
"Individual Pursuit, 4,000 metres, Men",NED,2,1976,Cycling Track
"Individual Pursuit, 4,000 metres, Men",GDR,3,1976,Cycling Track
"Sprint, Men",TCH,1,1976,Cycling Track
"Sprint, Men",FRA,2,1976,Cycling Track
"Sprint, Men",GDR,3,1976,Cycling Track
"Team Pursuit, 4,000 metres, Men",FRG,1,1976,Cycling Track
"Team Pursuit, 4,000 metres, Men",URS,2,1976,Cycling Track
"Team Pursuit, 4,000 metres, Men",GBR,3,1976,Cycling Track
"Platform, Men",ITA,1,1976,Diving
"Platform, Men",USA,2,1976,Diving
"Platform, Men",URS,3,1976,Diving
"Platform, Women",URS,1,1976,Diving
"Platform, Women",SWE,2,1976,Diving
"Platform, Women",USA,3,1976,Diving
"Springboard, Men",USA,1,1976,Diving
"Springboard, Men",ITA,2,1976,Diving
"Springboard, Men",URS,3,1976,Diving
"Springboard, Women",USA,1,1976,Diving
"Springboard, Women",GDR,2,1976,Diving
"Springboard, Women",USA,3,1976,Diving
"Individual, Open",SUI,1,1976,Equestrian Dressage
"Individual, Open",FRG,2,1976,Equestrian Dressage
"Individual, Open",FRG,3,1976,Equestrian Dressage
"Team, Open",FRG,1,1976,Equestrian Dressage
"Team, Open",SUI,2,1976,Equestrian Dressage
"Team, Open",USA,3,1976,Equestrian Dressage
"Individual, Open",USA,1,1976,Equestrian Eventing
"Individual, Open",USA,2,1976,Equestrian Eventing
"Individual, Open",FRG,3,1976,Equestrian Eventing
"Team, Open",USA,1,1976,Equestrian Eventing
"Team, Open",FRG,2,1976,Equestrian Eventing
"Team, Open",AUS,3,1976,Equestrian Eventing
"Individual, Open",FRG,1,1976,Equestrian Jumping
"Individual, Open",CAN,2,1976,Equestrian Jumping
"Individual, Open",BEL,3,1976,Equestrian Jumping
"Team, Open",FRA,1,1976,Equestrian Jumping
"Team, Open",FRG,2,1976,Equestrian Jumping
"Team, Open",BEL,3,1976,Equestrian Jumping
"Épée, Individual, Men",FRG,1,1976,Fencing
"Épée, Individual, Men",FRG,2,1976,Fencing
"Épée, Individual, Men",HUN,3,1976,Fencing
"Épée, Team, Men",SWE,1,1976,Fencing
"Épée, Team, Men",FRG,2,1976,Fencing
"Épée, Team, Men",SUI,3,1976,Fencing
"Foil, Individual, Men",ITA,1,1976,Fencing
"Foil, Individual, Men",URS,2,1976,Fencing
"Foil, Individual, Men",FRA,3,1976,Fencing
"Foil, Individual, Women",HUN,1,1976,Fencing
"Foil, Individual, Women",ITA,2,1976,Fencing
"Foil, Individual, Women",URS,3,1976,Fencing
"Foil, Team, Men",FRG,1,1976,Fencing
"Foil, Team, Men",ITA,2,1976,Fencing
"Foil, Team, Men",FRA,3,1976,Fencing
"Foil, Team, Women",URS,1,1976,Fencing
"Foil, Team, Women",FRA,2,1976,Fencing
"Foil, Team, Women",HUN,3,1976,Fencing
"Sabre, Individual, Men",URS,1,1976,Fencing
"Sabre, Individual, Men",URS,2,1976,Fencing
"Sabre, Individual, Men",URS,3,1976,Fencing
"Sabre, Team, Men",URS,1,1976,Fencing
"Sabre, Team, Men",ITA,2,1976,Fencing
"Sabre, Team, Men",ROU,3,1976,Fencing
"Football, Men",GDR,1,1976,Football
"Football, Men",POL,2,1976,Football
"Football, Men",URS,3,1976,Football
"Handball, Men",URS,1,1976,Handball
"Handball, Men",ROU,2,1976,Handball
"Handball, Men",POL,3,1976,Handball
"Handball, Women",URS,1,1976,Handball
"Handball, Women",GDR,2,1976,Handball
"Handball, Women",HUN,3,1976,Handball
"Hockey, Men",NZL,1,1976,Hockey
"Hockey, Men",AUS,2,1976,Hockey
"Hockey, Men",PAK,3,1976,Hockey
"Half-Heavyweight, Men",JPN,1,1976,Judo
"Half-Heavyweight, Men",URS,2,1976,Judo
"Half-Heavyweight, Men",GBR,3,1976,Judo
"Half-Heavyweight, Men",SUI,3,1976,Judo
"Half-Middleweight, Men",URS,1,1976,Judo
"Half-Middleweight, Men",JPN,2,1976,Judo
"Half-Middleweight, Men",FRA,3,1976,Judo
"Half-Middleweight, Men",POL,3,1976,Judo
"Heavyweight, Men",URS,1,1976,Judo
"Heavyweight, Men",FRG,2,1976,Judo
"Heavyweight, Men",JPN,3,1976,Judo
"Heavyweight, Men",USA,3,1976,Judo
"Lightweight, Men",CUB,1,1976,Judo
"Lightweight, Men",KOR,2,1976,Judo
"Lightweight, Men",HUN,3,1976,Judo
"Lightweight, Men",ITA,3,1976,Judo
"Middleweight, Men",JPN,1,1976,Judo
"Middleweight, Men",URS,2,1976,Judo
"Middleweight, Men",KOR,3,1976,Judo
"Middleweight, Men",YUG,3,1976,Judo
"Open Class, Men",JPN,1,1976,Judo
"Open Class, Men",GBR,2,1976,Judo
"Open Class, Men",URS,3,1976,Judo
"Open Class, Men",KOR,3,1976,Judo
"Individual, Men",POL,1,1976,Modern Pentathlon
"Individual, Men",URS,2,1976,Modern Pentathlon
"Individual, Men",TCH,3,1976,Modern Pentathlon
"Team, Men",GBR,1,1976,Modern Pentathlon
"Team, Men",TCH,2,1976,Modern Pentathlon
"Team, Men",HUN,3,1976,Modern Pentathlon
"Coxed Fours, Men",URS,1,1976,Rowing
"Coxed Fours, Men",GDR,2,1976,Rowing
"Coxed Fours, Men",FRG,3,1976,Rowing
"Coxed Fours, Women",GDR,1,1976,Rowing
"Coxed Fours, Women",BUL,2,1976,Rowing
"Coxed Fours, Women",URS,3,1976,Rowing
"Coxed Pairs, Men",GDR,1,1976,Rowing
"Coxed Pairs, Men",URS,2,1976,Rowing
"Coxed Pairs, Men",TCH,3,1976,Rowing
"Coxed Quadruple Sculls, Women",GDR,1,1976,Rowing
"Coxed Quadruple Sculls, Women",URS,2,1976,Rowing
"Coxed Quadruple Sculls, Women",ROU,3,1976,Rowing
"Coxless Fours, Men",GDR,1,1976,Rowing
"Coxless Fours, Men",NOR,2,1976,Rowing
"Coxless Fours, Men",URS,3,1976,Rowing
"Coxless Pairs, Men",GDR,1,1976,Rowing
"Coxless Pairs, Men",USA,2,1976,Rowing
"Coxless Pairs, Men",FRG,3,1976,Rowing
"Coxless Pairs, Women",BUL,1,1976,Rowing
"Coxless Pairs, Women",GDR,2,1976,Rowing
"Coxless Pairs, Women",FRG,3,1976,Rowing
"Double Sculls, Men",NOR,1,1976,Rowing
"Double Sculls, Men",GBR,2,1976,Rowing
"Double Sculls, Men",GDR,3,1976,Rowing
"Double Sculls, Women",BUL,1,1976,Rowing
"Double Sculls, Women",GDR,2,1976,Rowing
"Double Sculls, Women",URS,3,1976,Rowing
"Eights, Men",GDR,1,1976,Rowing
"Eights, Men",GBR,2,1976,Rowing
"Eights, Men",NZL,3,1976,Rowing
"Eights, Women",GDR,1,1976,Rowing
"Eights, Women",URS,2,1976,Rowing
"Eights, Women",USA,3,1976,Rowing
"Quadruple Sculls, Men",GDR,1,1976,Rowing
"Quadruple Sculls, Men",URS,2,1976,Rowing
"Quadruple Sculls, Men",TCH,3,1976,Rowing
"Single Sculls, Men",FIN,1,1976,Rowing
"Single Sculls, Men",FRG,2,1976,Rowing
"Single Sculls, Men",GDR,3,1976,Rowing
"Single Sculls, Women",GDR,1,1976,Rowing
"Single Sculls, Women",USA,2,1976,Rowing
"Single Sculls, Women",URS,3,1976,Rowing
"Multihull, Open",GBR,1,1976,Sailing
"Multihull, Open",USA,2,1976,Sailing
"Multihull, Open",FRG,3,1976,Sailing
"One Person Dinghy, Open",GDR,1,1976,Sailing
"One Person Dinghy, Open",URS,2,1976,Sailing
"One Person Dinghy, Open",AUS,3,1976,Sailing
"Three Person Keelboat, Open",DEN,1,1976,Sailing
"Three Person Keelboat, Open",USA,2,1976,Sailing
"Three Person Keelboat, Open",GDR,3,1976,Sailing
"Two Person Dinghy, Open",FRG,1,1976,Sailing
"Two Person Dinghy, Open",ESP,2,1976,Sailing
"Two Person Dinghy, Open",AUS,3,1976,Sailing
"Two Person Heavyweight Dinghy, Open",FRG,1,1976,Sailing
"Two Person Heavyweight Dinghy, Open",GBR,2,1976,Sailing
"Two Person Heavyweight Dinghy, Open",BRA,3,1976,Sailing
"Two Person Keelboat, Open",SWE,1,1976,Sailing
"Two Person Keelboat, Open",URS,2,1976,Sailing
"Two Person Keelboat, Open",USA,3,1976,Sailing
"Free Pistol, 50 metres, Open",GDR,1,1976,Shooting
"Free Pistol, 50 metres, Open",GDR,2,1976,Shooting
"Free Pistol, 50 metres, Open",AUT,3,1976,Shooting
"Rapid-Fire Pistol, 25 metres, Open",GDR,1,1976,Shooting
"Rapid-Fire Pistol, 25 metres, Open",GDR,2,1976,Shooting
"Rapid-Fire Pistol, 25 metres, Open",ITA,3,1976,Shooting
"Running Target, 50 metres, Open",URS,1,1976,Shooting
"Running Target, 50 metres, Open",URS,2,1976,Shooting
"Running Target, 50 metres, Open",POL,3,1976,Shooting
"Skeet, Open",TCH,1,1976,Shooting
"Skeet, Open",NED,2,1976,Shooting
"Skeet, Open",POL,3,1976,Shooting
"Small-Bore Rifle, Prone, 50 metres, Open",FRG,1,1976,Shooting
"Small-Bore Rifle, Prone, 50 metres, Open",FRG,2,1976,Shooting
"Small-Bore Rifle, Prone, 50 metres, Open",URS,3,1976,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Open",USA,1,1976,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Open",USA,2,1976,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Open",FRG,3,1976,Shooting
"Trap, Open",USA,1,1976,Shooting
"Trap, Open",POR,2,1976,Shooting
"Trap, Open",ITA,3,1976,Shooting
"1,500 metres Freestyle, Men",USA,1,1976,Swimming
"1,500 metres Freestyle, Men",USA,2,1976,Swimming
"1,500 metres Freestyle, Men",AUS,3,1976,Swimming
"100 metres Backstroke, Men",USA,1,1976,Swimming
"100 metres Backstroke, Men",USA,2,1976,Swimming
"100 metres Backstroke, Men",GDR,3,1976,Swimming
"100 metres Backstroke, Women",GDR,1,1976,Swimming
"100 metres Backstroke, Women",GDR,2,1976,Swimming
"100 metres Backstroke, Women",CAN,3,1976,Swimming
"100 metres Breaststroke, Men",USA,1,1976,Swimming
"100 metres Breaststroke, Men",GBR,2,1976,Swimming
"100 metres Breaststroke, Men",URS,3,1976,Swimming
"100 metres Breaststroke, Women",GDR,1,1976,Swimming
"100 metres Breaststroke, Women",URS,2,1976,Swimming
"100 metres Breaststroke, Women",URS,3,1976,Swimming
"100 metres Butterfly, Men",USA,1,1976,Swimming
"100 metres Butterfly, Men",USA,2,1976,Swimming
"100 metres Butterfly, Men",USA,3,1976,Swimming
"100 metres Butterfly, Women",GDR,1,1976,Swimming
"100 metres Butterfly, Women",GDR,2,1976,Swimming
"100 metres Butterfly, Women",USA,3,1976,Swimming
"100 metres Freestyle, Men",USA,1,1976,Swimming
"100 metres Freestyle, Men",USA,2,1976,Swimming
"100 metres Freestyle, Men",FRG,3,1976,Swimming
"100 metres Freestyle, Women",GDR,1,1976,Swimming
"100 metres Freestyle, Women",GDR,2,1976,Swimming
"100 metres Freestyle, Women",NED,3,1976,Swimming
"200 metres Backstroke, Men",USA,1,1976,Swimming
"200 metres Backstroke, Men",USA,2,1976,Swimming
"200 metres Backstroke, Men",USA,3,1976,Swimming
"200 metres Backstroke, Women",GDR,1,1976,Swimming
"200 metres Backstroke, Women",GDR,2,1976,Swimming
"200 metres Backstroke, Women",CAN,3,1976,Swimming
"200 metres Breaststroke, Men",GBR,1,1976,Swimming
"200 metres Breaststroke, Men",USA,2,1976,Swimming
"200 metres Breaststroke, Men",USA,3,1976,Swimming
"200 metres Breaststroke, Women",URS,1,1976,Swimming
"200 metres Breaststroke, Women",URS,2,1976,Swimming
"200 metres Breaststroke, Women",URS,3,1976,Swimming
"200 metres Butterfly, Men",USA,1,1976,Swimming
"200 metres Butterfly, Men",USA,2,1976,Swimming
"200 metres Butterfly, Men",USA,3,1976,Swimming
"200 metres Butterfly, Women",GDR,1,1976,Swimming
"200 metres Butterfly, Women",GDR,2,1976,Swimming
"200 metres Butterfly, Women",GDR,3,1976,Swimming
"200 metres Freestyle, Men",USA,1,1976,Swimming
"200 metres Freestyle, Men",USA,2,1976,Swimming
"200 metres Freestyle, Men",USA,3,1976,Swimming
"200 metres Freestyle, Women",GDR,1,1976,Swimming
"200 metres Freestyle, Women",USA,2,1976,Swimming
"200 metres Freestyle, Women",NED,3,1976,Swimming
"4 x 400 metres Relay, Women ",USA ,1,2000,Athletics
"4 x 400 metres Relay, Women ",JAM ,2,2000,Athletics
"4 x 400 metres Relay, Women ",RUS,3,2000,Athletics
"4 x 100 metres Freestyle Relay, Men",USA,1,1964,Swimming
"4 x 100 metres Freestyle Relay, Men",GER,2,1964,Swimming
"4 x 100 metres Freestyle Relay, Men",AUS,3,1964,Swimming
"4 x 100 metres Freestyle Relay, Men",USA,1,1968,Swimming
"4 x 100 metres Freestyle Relay, Men",URS,2,1968,Swimming
"4 x 100 metres Freestyle Relay, Men",AUS,3,1968,Swimming
"4 x 100 metres Freestyle Relay, Men",USA,1,1972,Swimming
"4 x 100 metres Freestyle Relay, Men",URS,2,1972,Swimming
"4 x 100 metres Freestyle Relay, Men",GDR,3,1972,Swimming
"400 metres Freestyle, Men",USA,1,1976,Swimming
"400 metres Freestyle, Men",USA,2,1976,Swimming
"400 metres Freestyle, Men",URS,3,1976,Swimming
"400 metres Freestyle, Women",GDR,1,1976,Swimming
"400 metres Freestyle, Women",USA,2,1976,Swimming
"400 metres Freestyle, Women",CAN,3,1976,Swimming
"400 metres Individual Medley, Men",USA,1,1976,Swimming
"400 metres Individual Medley, Men",USA,2,1976,Swimming
"400 metres Individual Medley, Men",URS,3,1976,Swimming
"400 metres Individual Medley, Women",GDR,1,1976,Swimming
"400 metres Individual Medley, Women",CAN,2,1976,Swimming
"400 metres Individual Medley, Women",CAN,3,1976,Swimming
"800 metres Freestyle, Women",GDR,1,1976,Swimming
"800 metres Freestyle, Women",USA,2,1976,Swimming
"800 metres Freestyle, Women",USA,3,1976,Swimming
"Volleyball, Men",POL,1,1976,Volleyball
"Volleyball, Men",URS,2,1976,Volleyball
"Volleyball, Men",CUB,3,1976,Volleyball
"Volleyball, Women",JPN,1,1976,Volleyball
"Volleyball, Women",URS,2,1976,Volleyball
"Volleyball, Women",KOR,3,1976,Volleyball
"Water Polo, Men",HUN,1,1976,Water Polo
"Water Polo, Men",ITA,2,1976,Water Polo
"Water Polo, Men",NED,3,1976,Water Polo
"Bantamweight, Men",BUL,1,1976,Weightlifting
"Bantamweight, Men",POL,2,1976,Weightlifting
"Bantamweight, Men",JPN,3,1976,Weightlifting
"Featherweight, Men",URS,1,1976,Weightlifting
"Featherweight, Men",BUL,2,1976,Weightlifting
"Featherweight, Men",JPN,3,1976,Weightlifting
"Flyweight, Men",URS,1,1976,Weightlifting
"Flyweight, Men",HUN,2,1976,Weightlifting
"Flyweight, Men",IRI,3,1976,Weightlifting
"Heavyweight, Men",URS,1,1976,Weightlifting
"Heavyweight, Men",BUL,2,1976,Weightlifting
"Heavyweight, Men",POL,3,1976,Weightlifting
"Light-Heavyweight, Men",URS,1,1976,Weightlifting
"Light-Heavyweight, Men",BUL,2,1976,Weightlifting
"Light-Heavyweight, Men",HUN,3,1976,Weightlifting
"Lightweight, Men",URS,1,1976,Weightlifting
"Lightweight, Men",FRA,2,1976,Weightlifting
"Lightweight, Men",POL,3,1976,Weightlifting
"Middle-Heavyweight, Men",URS,1,1976,Weightlifting
"Middle-Heavyweight, Men",USA,2,1976,Weightlifting
"Middle-Heavyweight, Men",BUL,3,1976,Weightlifting
"Middleweight, Men",BUL,1,1976,Weightlifting
"Middleweight, Men",URS,2,1976,Weightlifting
"Middleweight, Men",GDR,3,1976,Weightlifting
"Super-Heavyweight, Men",URS,1,1976,Weightlifting
"Super-Heavyweight, Men",GDR,2,1976,Weightlifting
"Super-Heavyweight, Men",GDR,3,1976,Weightlifting
"Bantamweight, Freestyle, Men",URS,1,1976,Wrestling
"Bantamweight, Freestyle, Men",GDR,2,1976,Wrestling
"Bantamweight, Freestyle, Men",JPN,3,1976,Wrestling
"Bantamweight, Greco-Roman, Men",FIN,1,1976,Wrestling
"Bantamweight, Greco-Roman, Men",YUG,2,1976,Wrestling
"Bantamweight, Greco-Roman, Men",URS,3,1976,Wrestling
"Featherweight, Freestyle, Men",KOR,1,1976,Wrestling
"Featherweight, Freestyle, Men",MGL,2,1976,Wrestling
"Featherweight, Freestyle, Men",USA,3,1976,Wrestling
"Featherweight, Greco-Roman, Men",POL,1,1976,Wrestling
"Featherweight, Greco-Roman, Men",URS,2,1976,Wrestling
"Featherweight, Greco-Roman, Men",HUN,3,1976,Wrestling
"Flyweight, Freestyle, Men",JPN,1,1976,Wrestling
"Flyweight, Freestyle, Men",URS,2,1976,Wrestling
"Flyweight, Freestyle, Men",KOR,3,1976,Wrestling
"Flyweight, Greco-Roman, Men",URS,1,1976,Wrestling
"Flyweight, Greco-Roman, Men",ROU,2,1976,Wrestling
"Flyweight, Greco-Roman, Men",JPN,3,1976,Wrestling
"Heavyweight, Freestyle, Men",URS,1,1976,Wrestling
"Heavyweight, Freestyle, Men",USA,2,1976,Wrestling
"Heavyweight, Freestyle, Men",BUL,3,1976,Wrestling
"Heavyweight, Greco-Roman, Men",URS,1,1976,Wrestling
"Heavyweight, Greco-Roman, Men",BUL,2,1976,Wrestling
"Heavyweight, Greco-Roman, Men",POL,3,1976,Wrestling
"Light-Flyweight, Freestyle, Men",BUL,1,1976,Wrestling
"Light-Flyweight, Freestyle, Men",URS,2,1976,Wrestling
"Light-Flyweight, Freestyle, Men",JPN,3,1976,Wrestling
"Light-Flyweight, Greco-Roman, Men",URS,1,1976,Wrestling
"Light-Flyweight, Greco-Roman, Men",ROU,2,1976,Wrestling
"Light-Flyweight, Greco-Roman, Men",BUL,3,1976,Wrestling
"Light-Heavyweight, Freestyle, Men",URS,1,1976,Wrestling
"Light-Heavyweight, Freestyle, Men",USA,2,1976,Wrestling
"Light-Heavyweight, Freestyle, Men",ROU,3,1976,Wrestling
"Light-Heavyweight, Greco-Roman, Men",URS,1,1976,Wrestling
"Light-Heavyweight, Greco-Roman, Men",BUL,2,1976,Wrestling
"Light-Heavyweight, Greco-Roman, Men",POL,3,1976,Wrestling
"Lightweight, Freestyle, Men",URS,1,1976,Wrestling
"Lightweight, Freestyle, Men",USA,2,1976,Wrestling
"Lightweight, Freestyle, Men",JPN,3,1976,Wrestling
"Lightweight, Greco-Roman, Men",URS,1,1976,Wrestling
"Lightweight, Greco-Roman, Men",ROU,2,1976,Wrestling
"Lightweight, Greco-Roman, Men",GDR,3,1976,Wrestling
"Middleweight, Freestyle, Men",USA,1,1976,Wrestling
"Middleweight, Freestyle, Men",URS,2,1976,Wrestling
"Middleweight, Freestyle, Men",FRG,3,1976,Wrestling
"Middleweight, Greco-Roman, Men",YUG,1,1976,Wrestling
"Middleweight, Greco-Roman, Men",URS,2,1976,Wrestling
"Middleweight, Greco-Roman, Men",BUL,3,1976,Wrestling
"Super-Heavyweight, Freestyle, Men",URS,1,1976,Wrestling
"Super-Heavyweight, Freestyle, Men",HUN,2,1976,Wrestling
"Super-Heavyweight, Freestyle, Men",ROU,3,1976,Wrestling
"Super-Heavyweight, Greco-Roman, Men",URS,1,1976,Wrestling
"Super-Heavyweight, Greco-Roman, Men",BUL,2,1976,Wrestling
"Super-Heavyweight, Greco-Roman, Men",ROU,3,1976,Wrestling
"Welterweight, Freestyle, Men",JPN,1,1976,Wrestling
"Welterweight, Freestyle, Men",IRI,2,1976,Wrestling
"Welterweight, Freestyle, Men",USA,3,1976,Wrestling
"Welterweight, Greco-Roman, Men",URS,1,1976,Wrestling
"Welterweight, Greco-Roman, Men",TCH,2,1976,Wrestling
"Welterweight, Greco-Roman, Men",FRG,3,1976,Wrestling
"Individual, Men",FIN,1,1980,Archery
"Individual, Men",URS,2,1980,Archery
"Individual, Men",ITA,3,1980,Archery
"Individual, Women",URS,1,1980,Archery
"Individual, Women",URS,2,1980,Archery
"Individual, Women",FIN,3,1980,Archery
"Balance Beam, Women",ROU,1,1980,Artistic Gymnastics
"Balance Beam, Women",URS,2,1980,Artistic Gymnastics
"Balance Beam, Women",URS,3,1980,Artistic Gymnastics
"Floor Exercise, Men",GDR,1,1980,Artistic Gymnastics
"Floor Exercise, Men",URS,2,1980,Artistic Gymnastics
"Floor Exercise, Men",URS,3,1980,Artistic Gymnastics
"Floor Exercise, Women",URS,1,1980,Artistic Gymnastics
"Floor Exercise, Women",ROU,1,1980,Artistic Gymnastics
"Floor Exercise, Women",0,2,1980,Artistic Gymnastics
"Floor Exercise, Women",URS,3,1980,Artistic Gymnastics
"Floor Exercise, Women",GDR,3,1980,Artistic Gymnastics
"Horizontal Bar, Men",BUL,1,1980,Artistic Gymnastics
"Horizontal Bar, Men",URS,2,1980,Artistic Gymnastics
"Horizontal Bar, Men",URS,3,1980,Artistic Gymnastics
"Horse Vault, Men",URS,1,1980,Artistic Gymnastics
"Horse Vault, Men",URS,2,1980,Artistic Gymnastics
"Horse Vault, Men",GDR,3,1980,Artistic Gymnastics
"Horse Vault, Women",URS,1,1980,Artistic Gymnastics
"Horse Vault, Women",GDR,2,1980,Artistic Gymnastics
"Horse Vault, Women",ROU,3,1980,Artistic Gymnastics
"Individual All-Around, Men",URS,1,1980,Artistic Gymnastics
"Individual All-Around, Men",URS,2,1980,Artistic Gymnastics
"Individual All-Around, Men",BUL,3,1980,Artistic Gymnastics
"Individual All-Around, Women",URS,1,1980,Artistic Gymnastics
"Individual All-Around, Women",ROU,2,1980,Artistic Gymnastics
"Individual All-Around, Women",GDR,2,1980,Artistic Gymnastics
"Individual All-Around, Women",0,3,1980,Artistic Gymnastics
"Parallel Bars, Men",URS,1,1980,Artistic Gymnastics
"Parallel Bars, Men",URS,2,1980,Artistic Gymnastics
"Parallel Bars, Men",GDR,3,1980,Artistic Gymnastics
"Pommelled Horse, Men",HUN,1,1980,Artistic Gymnastics
"Pommelled Horse, Men",URS,2,1980,Artistic Gymnastics
"Pommelled Horse, Men",GDR,3,1980,Artistic Gymnastics
"Rings, Men",URS,1,1980,Artistic Gymnastics
"Rings, Men",URS,2,1980,Artistic Gymnastics
"Rings, Men",TCH,3,1980,Artistic Gymnastics
"Team All-Around, Men",URS,1,1980,Artistic Gymnastics
"Team All-Around, Men",GDR,2,1980,Artistic Gymnastics
"Team All-Around, Men",HUN,3,1980,Artistic Gymnastics
"Team All-Around, Women",URS,1,1980,Artistic Gymnastics
"Team All-Around, Women",ROU,2,1980,Artistic Gymnastics
"Team All-Around, Women",GDR,3,1980,Artistic Gymnastics
"Uneven Bars, Women",GDR,1,1980,Artistic Gymnastics
"Uneven Bars, Women",ROU,2,1980,Artistic Gymnastics
"Uneven Bars, Women",GDR,3,1980,Artistic Gymnastics
"Uneven Bars, Women",ROU,3,1980,Artistic Gymnastics
"Uneven Bars, Women",URS,3,1980,Artistic Gymnastics
"1,500 metres, Men",GBR,1,1980,Athletics
"1,500 metres, Men",GDR,2,1980,Athletics
"1,500 metres, Men",GBR,3,1980,Athletics
"1,500 metres, Women",URS,1,1980,Athletics
"1,500 metres, Women",GDR,2,1980,Athletics
"1,500 metres, Women",URS,3,1980,Athletics
"10,000 metres, Men",ETH,1,1980,Athletics
"10,000 metres, Men",FIN,2,1980,Athletics
"10,000 metres, Men",ETH,3,1980,Athletics
"100 metres Hurdles, Women",URS,1,1980,Athletics
"100 metres Hurdles, Women",GDR,2,1980,Athletics
"100 metres Hurdles, Women",POL,3,1980,Athletics
"100 metres, Men",GBR,1,1980,Athletics
"100 metres, Men",CUB,2,1980,Athletics
"100 metres, Men",BUL,3,1980,Athletics
"100 metres, Women",URS,1,1980,Athletics
"100 metres, Women",GDR,2,1980,Athletics
"100 metres, Women",GDR,3,1980,Athletics
"110 metres Hurdles, Men",GDR,1,1980,Athletics
"110 metres Hurdles, Men",CUB,2,1980,Athletics
"110 metres Hurdles, Men",URS,3,1980,Athletics
"20 kilometres Walk, Men",ITA,1,1980,Athletics
"20 kilometres Walk, Men",URS,2,1980,Athletics
"20 kilometres Walk, Men",GDR,3,1980,Athletics
"200 metres, Men",ITA,1,1980,Athletics
"200 metres, Men",GBR,2,1980,Athletics
"200 metres, Men",JAM,3,1980,Athletics
"200 metres, Women",GDR,1,1980,Athletics
"200 metres, Women",URS,2,1980,Athletics
"200 metres, Women",JAM,3,1980,Athletics
"3,000 metres Steeplechase, Men",POL,1,1980,Athletics
"3,000 metres Steeplechase, Men",TAN,2,1980,Athletics
"3,000 metres Steeplechase, Men",ETH,3,1980,Athletics
"4 x 100 metres Freestyle Relay, Men",USA,1,1984,Swimming
"4 x 100 metres Freestyle Relay, Men",AUS,2,1984,Swimming
"4 x 100 metres Freestyle Relay, Men",SWE,3,1984,Swimming
"4 x 100 metres Freestyle Relay, Men",USA,1,1988,Swimming
"4 x 100 metres Freestyle Relay, Men",URS,2,1988,Swimming
"4 x 100 metres Freestyle Relay, Men",GDR,3,1988,Swimming
"4 x 100 metres Freestyle Relay, Men",USA,1,1992,Swimming
"4 x 100 metres Freestyle Relay, Men",EUN,2,1992,Swimming
"4 x 100 metres Freestyle Relay, Men",GER,3,1992,Swimming
"4 x 100 metres Freestyle Relay, Men",USA,1,1996,Swimming
"4 x 100 metres Freestyle Relay, Men",RUS,2,1996,Swimming
"4 x 100 metres Freestyle Relay, Men",GER,3,1996,Swimming
"400 metres Hurdles, Men",GDR,1,1980,Athletics
"400 metres Hurdles, Men",URS,2,1980,Athletics
"400 metres Hurdles, Men",GBR,3,1980,Athletics
"400 metres, Men",URS,1,1980,Athletics
"400 metres, Men",AUS,2,1980,Athletics
"400 metres, Men",GDR,3,1980,Athletics
"400 metres, Women",GDR,1,1980,Athletics
"400 metres, Women",TCH,2,1980,Athletics
"400 metres, Women",GDR,3,1980,Athletics
"5,000 metres, Men",ETH,1,1980,Athletics
"5,000 metres, Men",TAN,2,1980,Athletics
"5,000 metres, Men",FIN,3,1980,Athletics
"50 kilometres Walk, Men",GDR,1,1980,Athletics
"50 kilometres Walk, Men",ESP,2,1980,Athletics
"50 kilometres Walk, Men",URS,3,1980,Athletics
