Country,Code,Capital,GDP (Billions),Latitude,Longitude,Latitude,Longitude,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020
Bolivia,,La Paz (administrative) / Sucre (legislative),40.9,16.20S,68.10W,-16.2,-68.1,South,West,11894.5974,2971.731738,6215.778227,4276.792572,7588.890902,4417.750246,11248.39064,5523.672722,3559.466216,12036.23716,6225.909231,10772.9767,5961.212181,1437.763989,11894.5974
Bosnia and Herzegovina,,Sarajevo,20.2,43.52N,18.26E,43.52,18.26,North,East,6649.933578,6623.939236,484.4039661,5124.939323,1328.166903,7481.48977,5925.417198,890.7227566,5645.08647,9011.588987,498.5938086,5354.535514,1136.701279,5679.777275,6649.933578
Botswana,,Gaborone,18.36,24.45S,25.57E,-24.45,25.57,South,East,7484.083301,7443.537087,5066.621043,7334.218684,5550.492087,8828.796325,6966.243251,4719.200094,7223.050339,6890.668014,4281.620211,6632.322276,5414.701941,3754.707905,7484.083301
Brazil,,Brasilia,1878,15.47S,47.55W,-15.47,-47.55,South,West,10813.30687,3693.901245,5448.606277,4476.475126,6740.502771,5154.81836,10177.04931,4770.980821,3947.154167,10926.30828,5332.087331,9713.367679,5290.56266,566.3305179,10813.30687
British Virgin Islands,,Road Town,,18.27N,64.37W,18.27,-64.37,North,West,11204.07871,1897.343456,4630.807214,1975.881876,6117.787041,3136.365165,10503.9835,3967.89839,1528.309672,12308.19981,4977.173495,9967.860865,4188.829532,3068.146047,11204.07871
Brunei Darussalam,,Bandar Seri Begawan,,04.52N,115.00E,4.52,115,North,East,2536.551181,11733.66242,6398.777846,10782.48574,5506.75604,12896.87836,2348.022553,6665.138458,11071.9407,3305.376553,5494.037074,2417.957869,7064.396452,8841.046999,2536.551181
Bulgaria,,Sofia,68.56,42.45N,23.20E,42.45,23.2,North,East,6375.306752,6867.582742,746.1045184,5396.946733,1183.851472,7744.343588,5651.319682,1150.565063,5905.006345,8751.145986,336.3297301,5081.741124,1410.485748,5785.377927,6375.306752
Burkina Faso,,Ouagadougou,15.99,12.15N,01.30W,12.15,-1.3,North,West,7865.265069,5361.991423,2580.966157,4662.560237,3657.82383,6561.301525,7190.594146,2026.436331,4775.255603,8911.943291,2215.059729,6688.273963,2706.350717,3328.438176,7865.265069
Burundi,,Bujumbura,3.01,03.16S,29.18E,-3.16,29.18,South,East,6600.237275,7172.001393,3667.822271,6632.046387,4068.61808,8448.69995,6002.730664,3409.405281,6703.54928,6991.675681,2828.355902,5591.021886,4086.419346,4178.760182,6600.237275
Cambodia,,Phnom Penh,27.09,11.33N,104.55E,11.33,104.5,North,East,2550.724265,11129.81526,5673.689582,10110.56945,4765.506935,12262.22787,2157.861883,5959.787053,10428.76996,4028.806296,4781.144215,2049.292791,6341.545849,8401.794054,2550.724265
