Country,Code,Capital,GDP (Billions),Latitude,Longitude,Latitude,Longitude,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020
Italy,,Rome,2005,41.54N,12.29E,41.54,12.29,North,East,6965.601489,6274.19585,457.0470028,4804.931403,1671.339599,7145.651673,6242.692758,552.6489258,5306.023586,9198.202937,668.2934621,5675.147349,955.5483159,5380.124554,6965.601489
Jamaica,,Kingston,15.83,18.00N,76.50W,18,-76.5,North,West,11864.67244,1236.734863,5239.56893,1898.1793,6731.907691,2533.832026,11163.59644,4588.574072,1169.020544,12937.85528,5622.544845,10625.97286,4766.776959,3358.553399,11864.67244
Jordan,,Amman,43.74,31.57N,35.52E,31.57,35.52,North,East,5692.566275,7399.643094,1736.599159,6141.197591,1650.746742,8397.039775,4983.271943,1942.89163,6548.81373,7764.589258,778.1763545,4439.407064,2374.122032,5708.824048,5692.566275
Kazakhstan,,Astana,182,51.10N,71.30E,51.1,71.3,North,East,3880.61924,9560.663155,3267.102191,8028.405934,1877.813221,10415.53814,3160.551383,3833.499935,8584.557448,7308.24655,2773.651643,2577.824213,3895.751307,8071.032013,3880.61924
Kenya,,Nairobi,95.5,01.17S,36.48E,-1.17,36.48,South,East,6180.346418,7534.91925,3663.960524,6913.67838,3907.068774,8790.313582,5586.393433,3483.27501,7025.59752,6658.214324,2766.641737,5180.772477,4137.111253,4600.32871,6180.346418
Kiribati,,Tarawa,0.19,01.30N,173.00E,1.3,173,North,East,2990.508478,14907.91127,9387.433715,13910.36832,8295.565408,16061.46507,3552.421372,9728.863183,14230.74273,2702.681166,8540.020009,4072.293973,10060.10946,11920.51007,2990.508478
Kuwait,,Kuwait,138,29.30N,48.00E,29.3,48,North,East,5023.416206,8061.838002,2375.74315,6838.891234,1895.734565,9082.619422,4321.587607,2637.70766,7235.012454,7124.236809,1456.604159,3790.289329,3033.120479,6144.692295,5023.416206
Kyrgyzstan,,Bishkek,8.87,42.54N,74.46E,42.54,74.46,North,East,3590.709404,9612.246538,3454.923558,8194.183736,2213.372445,10537.7157,2864.208476,3947.831534,8694.390495,6734.816341,2805.552598,2288.323196,4113.513721,7851.399409,3590.709404
Lao People's Democratic Republic,,Vientiane,,17.58N,102.36E,17.58,102.3,North,East,2391.346166,10997.00811,5383.461936,9900.933336,4404.992247,12094.99111,1897.159672,5708.611748,10254.15468,4442.336151,4520.457073,1695.297522,6054.909622,8419.69441,2391.346166
Latvia,,Riga,34.06,56.53N,24.08E,56.53,24.08,North,East,6472.043995,7201.990217,894.9542101,5493.861259,728.3641535,7923.971011,5747.233569,1588.211167,6127.493309,9332.163291,1307.988135,5164.406898,1364.93856,6597.559388,6472.043995
Lebanon,,Beirut,51.99,33.53N,35.31E,33.53,35.31,North,East,5698.895203,7405.095953,1641.637932,6110.127458,1516.575796,8383.906777,4985.800755,1888.973336,6535.637629,7853.243675,704.7795702,4436.084209,2289.322359,5790.279213,5698.895203
Lesotho,,Maseru,2.37,29.18S,27.30E,-29.18,27.3,South,East,7593.314645,7666.39334,5403.681902,7622.330738,5865.19518,9065.387063,7098.205614,5058.955186,7486.213067,6773.221113,4611.209003,6786.074472,5754.399488,3871.908003,7593.314645
Liberia,,Monrovia,3.22,06.18N,10.47W,6.18,-10.47,North,West,8445.515078,4921.882151,3135.580026,4471.575671,4286.567266,6190.504688,7780.916701,2525.612876,4461.88455,9250.158785,2850.64919,7289.390774,3168.910077,2686.376102,8445.515078
Libyan Arab Jamahiriya,,Tripoli,,32.49N,13.07E,32.49,13.07,North,East,6914.772142,6192.752789,1082.910197,4922.293096,2065.735959,7170.333983,6202.201371,855.1669016,5322.026168,8823.504816,667.2113207,5651.930437,1486.082874,4903.212602,6914.772142
Liechtenstein,,Vaduz,,47.08N,09.31E,47.08,9.31,North,East,7159.903821,6223.942604,143.9134426,4635.730107,1636.292428,7022.024377,6433.987915,553.2819864,5198.041698,9551.222116,1013.20065,5859.275842,590.2475223,5615.407205,7159.903821
Lithuania,,Vilnius,54.64,54.38N,25.19E,54.38,25.19,North,East,6381.32622,7207.311549,858.8296926,5535.511181,668.0283534,7955.920989,5655.533874,1543.745159,6150.070693,9188.192856,1163.042112,5073.410437,1393.769299,6509.395014,6381.32622
Luxembourg,,Luxembourg,71.1,49.37N,06.09E,49.37,6.09,North,East,7353.301012,6109.005213,311.5371204,4466.625124,1757.597683,6870.228313,6626.83999,590.7555175,5056.408292,9786.273947,1249.505852,6050.068661,362.2741719,5666.329273,7353.301012
"Macao, China",,Macau,,22.12N,113.33E,22.12,113.3,North,East,1716.190162,11598.79006,5836.893681,10437.72252,4741.884947,12668.85538,1271.99524,6211.672477,10823.66269,4382.874879,5019.915252,1213.048509,6509.466594,9090.721071,1716.190162
Madagascar,,Antananarivo,14.19,18.55S,47.31E,-18.55,47.31,South,East,6278.612532,8407.647396,4998.065779,8034.024336,5134.877977,9740.462397,5792.318917,4814.541306,8045.533417,5770.586311,4086.030776,5497.214207,5473.171039,4949.359533,6278.612532
Macedonia (Former Yugoslav Republic),,Skopje,,42.01N,21.26E,42.01,21.26,North,East,6478.833172,6757.498969,676.9383042,5292.399399,1277.412783,7636.477163,5755.248185,1043.191547,5796.577308,8817.914736,328.4249736,5186.502307,1330.417707,5695.718277,6478.833172
Malawi,,Lilongwe,10.86,14.00S,33.48E,-14,33.48,South,East,6734.573219,7592.692181,4451.272001,7232.343625,4796.706343,8922.746591,6191.082724,4186.82161,7230.051023,6572.644286,3600.823936,5835.36941,4867.263959,4230.005325,6734.573219
Malaysia,,Kuala Lumpur,365,03.09N,101.41E,3.09,101.4,North,East,3068.928163,11003.59076,5806.321073,10095.95352,5028.173734,12181.12622,2730.079047,6028.111825,10362.38216,3728.282398,4875.754316,2642.336283,6463.396977,8094.82091,3068.928163
Maldives,,Male,5.64,04.00N,73.28E,4,73.28,North,East,4232.042909,9470.203092,4541.474764,8616.912129,4056.035987,10660.57581,3704.907552,4661.605406,8850.136162,4993.271829,3573.22227,3392.438244,5168.107666,6623.744776,4232.042909
Mali,,Bamako,17.51,12.34N,07.55W,12.34,-7.55,North,West,8196.882292,5020.9912,2681.951549,4362.123431,3854.637991,6226.553578,7519.185577,2073.51755,4447.955027,9236.115202,2428.945164,7012.748339,2723.343591,3114.207662,8196.882292
Malta,,Valletta,15.22,35.54N,14.31E,35.54,14.31,North,East,6843.570818,6293.991858,882.0853969,4955.334973,1862.746013,7237.960208,6126.791376,776.0769877,5390.435166,8877.445397,519.0409865,5570.070452,1343.98315,5110.293248,6843.570818
Martinique,,Fort-de-France,,14.36N,61.02W,14.36,-61.02,North,West,11054.89781,2105.817859,4598.445471,2290.820556,6073.390999,3406.834565,10360.32802,3922.013097,1848.833219,12056.1542,4882.9431,9831.078529,4195.211198,2750.117363,11054.89781
Mauritania,,Nouakchott,7.59,20.10S,57.30E,-20.1,57.3,South,East,5918.633204,8959.651355,5329.363083,8550.964745,5325.538173,10287.01341,5474.259812,5202.127129,8582.306818,5214.773216,4387.895334,5223.26443,5841.001563,5489.087439,5918.633204
Mayotte,,Mamoudzou,,12.48S,45.14E,-12.48,45.14,South,East,6137.648868,8173.237394,4566.535923,7709.938836,4706.428754,9480.713915,5615.725005,4395.54185,7758.429957,5976.527345,3651.34155,5286.023116,5048.921376,4875.137591,6137.648868
Mexico,,Mexico,1269,19.20N,99.10W,19.2,-99.1,North,West,13085.252,0,6364.498871,2223.440536,7858.834811,1463.565709,12380.98084,5737.41412,1285.687064,14148.98813,6810.891865,11838.94405,5845.682904,4215.212132,13085.252
Micronesia (Federated States of),,Palikir,,06.55N,158.09E,6.55,158,North,East,2245.841279,14064.77036,8493.984776,13033.03282,7401.322538,15201.5942,2731.813969,8841.408195,13366.90726,2813.512598,7651.548372,3223.899967,9166.709976,11170.39371,2245.841279
"Moldova, Republic of",,Chisinau,,47.02N,28.50E,47.02,28.5,North,East,6119.024082,7226.57035,927.0586619,5683.189832,756.1956711,8061.830301,5392.582613,1489.179121,6231.431198,8720.188185,707.1040118,4816.080791,1587.33338,6212.508261,6119.024082
Mozambique,,Maputo,15.29,25.58S,32.32E,-25.58,32.32,South,East,7225.591794,7812.505815,5211.20449,7665.231267,5597.811159,9192.754383,6728.520488,4905.398616,7574.034675,6516.547514,4384.807009,6416.445594,5595.328795,4125.869209,7225.591794
Myanmar,,Yangon,79.84,16.45N,96.20E,16.45,96.2,North,East,2718.220634,10665.06812,5111.554738,9590.450749,4191.205018,11771.23443,2192.868628,5414.767338,9932.207198,4590.928893,4230.758189,1932.092443,5780.996612,8079.717167,2718.220634
Namibia,,Windhoek,12.57,22.35S,17.04E,-22.35,17.04,South,East,7800.576078,6959.222498,4872.937601,6891.015865,5481.54067,8348.760446,7257.041068,4472.372594,6756.787309,7368.68041,4150.000435,6896.02522,5170.879617,3287.693074,7800.576078
Nepal,,Kathmandu,34.19,27.45N,85.20E,27.45,85.2,North,East,3026.718844,10078.86833,4265.638582,8865.955507,3249.362247,11117.15535,2355.376258,4634.353759,9269.812054,5558.04879,3442.706352,1887.313638,4938.377635,7823.082644,3026.718844
Netherlands,,Amsterdam / The Hague (seat of Government),907,52.23N,04.54E,52.23,4.54,North,East,7464.868875,6100.454387,476.857991,4398.587044,1805.151258,6820.142453,6738.124602,759.0711687,5020.216004,9971.22218,1445.327934,6159.095349,257.7032749,5802.288098,7464.868875
Netherlands Antilles,,Willemstad,,12.05N,69.00W,12.05,-69,North,West,11508.37538,1715.912292,5055.514252,2335.760321,6533.414895,3087.4549,10815.66088,4381.611257,1716.97446,12433.94548,5346.833016,10288.41253,4640.021522,2794.261741,11508.37538
New Caledonia,,Noumea,9.9,22.17S,166.30E,-22.17,166.3,South,East,4248.594665,14769.31906,9741.654016,14007.24237,8846.208988,16012.86137,4643.929119,9977.087983,14221.12117,1153.502306,8821.704305,5061.531068,10403.68846,11437.17598,4248.594665
New Zealand,,Wellington,209,41.19S,174.46E,-41.19,174.4,South,East,5633.175948,15503.5678,10817.74758,14901.59198,10022.90373,16800.39824,6014.854576,10995.36704,15046.35597,1363.195659,9872.18615,6413.627205,11467.58087,11946.09641,5633.175948
Nicaragua,,Managua,12.61,12.06N,86.20W,12.06,-86.2,North,West,12438.64363,859.5398253,5890.701753,2379.237695,7380.360389,2315.723217,11743.37938,5232.235594,1499.869351,13344.37238,6241.000579,11212.64346,5429.452758,3367.801969,12438.64363
Niger,,Niamey,12.91,13.27N,02.06E,13.27,2.06,North,East,7669.900708,5538.470967,2461.536935,4786.576102,3490.448945,6723.054039,6993.974709,1940.289296,4927.160741,8769.142214,2044.233168,6490.493189,2630.733781,3511.528091,7669.900708
Nigeria,,Abuja,448,09.05N,07.32E,9.05,7.32,North,East,7455.2043,5852.586799,2707.220472,5177.672048,3597.034241,7069.267805,6793.105494,2249.106833,5289.456754,8396.028256,2156.816829,6306.356951,2946.992593,3530.265723,7455.2043
Norfolk Island,,Kingston,,45.20S,168.43E,-45.2,168.4,South,East,5797.288226,15266.50619,10714.18402,14717.64312,9971.443673,16578.33784,6135.64721,10866.17705,14838.47111,1221.509511,9759.708769,6505.33351,11357.04128,11653.65848,5797.288226
North Korea,,Pyongyang,,39.09N,125.30E,39.09,125.3,North,East,818.0765882,12328.86427,6240.433449,10976.41656,4932.966251,13301.83066,139.2035301,6724.770867,11455.00145,5229.235973,5561.440052,497.8727621,6896.2761,10144.60384,818.0765882
Northern Mariana Islands,,Saipan,,15.12N,145.45E,15.12,145.4,North,East,1452.963885,13352.66803,7653.561904,12245.71135,6522.902965,14453.88304,1846.401364,8027.678791,12612.21426,3395.162445,6835.908576,2320.202494,8325.943453,10625.05309,1452.963885
Norway,,Oslo,406,59.55N,10.45E,59.55,10.45,North,East,7244.041585,6597.650799,789.7038605,4795.701101,1495.737142,7243.423025,6519.505523,1332.100898,5475.721879,10030.82783,1674.107286,5936.572968,804.9982622,6398.772343,7244.041585
Oman,,Masqat,79.79,23.37N,58.36E,23.37,58.36,North,East,4518.977732,8602.129443,3073.272148,7470.3035,2493.113462,9670.478657,3842.769602,3310.356218,7826.988266,6426.505251,2142.998677,3349.591295,3728.386469,6397.50781,4518.977732
Pakistan,,Islamabad,278,33.40N,73.10E,33.4,73.1,North,East,3637.034033,9453.034885,3509.592327,8160.205178,2474.85735,10447.26027,2928.095499,3911.822101,8598.987912,6303.435514,2725.64684,2391.214242,4181.826383,7442.963227,3637.034033
Palau,,Koror,0.28,07.20N,134.28E,7.2,134.2,North,East,1987.522206,12765.06223,7266.605487,11754.36927,6248.756302,13907.17713,2119.701202,7585.034298,12074.79192,2982.14044,6399.46401,2438.932033,7938.141203,9904.747463,1987.522206
Panama,,Panama,66.79,09.00N,79.25W,9,-79.25,North,West,12092.88453,1292.276501,5646.981447,2526.502387,7127.614268,2742.181386,11402.51574,4975.698692,1730.656268,12926.12663,5944.589602,10877.76905,5219.457551,2954.429408,12092.88453
Papua New Guinea,,Port Moresby,24.83,09.24S,147.08E,-9.24,147,South,East,3125.352138,13579.59639,8387.231571,12725.76568,7467.708223,14786.939,3401.3902,8645.018022,12977.45247,1714.945089,7479.00417,3763.168506,9052.503682,10426.03606,3125.352138
Paraguay,,Asuncion,37.91,25.10S,57.30W,-25.1,-57.3,South,West,11542.324,3814.736805,6299.400476,4972.487104,7589.327721,5265.786059,10920.39342,5620.623829,4321.64976,11400.71695,6176.454321,10470.85509,6132.240273,786.1573609,11542.324
Peru,,Lima,228,12.00S,77.00W,-12,-77,South,West,12278.06759,2467.909276,6372.683958,3968.26819,7787.271571,3894.401033,11620.36148,5679.504605,3182.432713,12551.3107,6464.508904,11132.26783,6063.442516,1994.627206,12278.06759
Philippines,,Manila,377,14.40N,121.03E,14.4,121,North,East,1786.862655,12022.02305,6411.903478,10945.14542,5374.282366,13132.68213,1609.060942,6750.101756,11293.49439,3716.69669,5560.67032,1755.028646,7084.276047,9326.043045,1786.862655
Poland,,Warsaw,596,52.13N,21.00E,52.13,21,North,East,6576.973455,6939.959522,583.3806667,5292.530216,921.6337616,7704.178945,5850.361181,1267.358097,5892.391824,9260.500138,1012.895054,5269.89858,1150.557363,6251.798635,6576.973455
Portugal,,Lisbon,240,38.42N,09.10W,38.42,-9.1,North,West,8123.950193,5089.808385,1313.294218,3661.993235,2795.165071,5966.667892,7404.156141,648.5692576,4123.443749,10074.42094,1778.72057,6841.824291,1020.472164,4622.586205,8123.950193
Puerto Rico,,San Juan,105,18.28N,66.07W,18.28,-66.07,North,West,11296.29467,1804.554884,4713.806552,1948.489108,6201.888604,3049.241972,10595.99547,4052.786435,1462.857094,12397.19606,5066.4853,10059.5769,4266.579657,3104.986211,11296.29467
Qatar,,Doha,176,25.15N,51.35E,25.15,51.35,North,East,4875.621043,8224.822891,2689.152241,7070.658298,2226.057917,9279.955293,4188.096978,2909.657046,7435.121573,6805.326209,1747.712618,3677.57752,3338.673622,6134.375157,4875.621043
Republic of Korea,,Seoul,,37.31N,126.58E,37.31,126.5,North,East,726.745582,12380.98084,6318.972954,11047.48495,5025.941222,13364.69711,0,6794.252899,11517.21381,5093.35796,5626.014846,583.2324219,6977.307506,10153.1711,726.745582
Romania,,Bucuresti,250,44.27N,26.10E,44.27,26.1,North,East,6228.097396,7051.390932,836.5549451,5551.830735,986.0993251,7912.450468,5502.835655,1321.603461,6076.26716,8702.45026,483.5920645,4930.228611,1509.274895,5982.617879,6228.097396
Russian Federation,,Moskva,,55.45N,37.35E,55.45,37.35,North,East,5749.743872,7858.834811,1494.716181,6203.539526,0,8622.58711,5025.941222,2151.918173,6813.557769,8753.948266,1447.592636,4442.798842,2061.448482,6968.657073,5749.743872
Rawanda,,Kigali,,01.59S,30.04E,-1.59,30.04,South,East,6513.830422,7195.487505,3576.338175,6618.734812,3955.945948,8461.330203,5911.23424,3333.238509,6706.867128,6980.748457,2726.503796,5494.430616,4005.944834,4259.36754,6513.830422
Saint Kitts and Nevis,,Basseterre,,17.17N,62.43W,17.17,-62.43,North,West,11107.24255,2007.075576,4571.183042,2082.270791,6054.514398,3262.232207,10408.76094,3903.037312,1657.232974,12184.78749,4896.485741,9874.689192,4143.172911,2958.708336,11107.24255
Saint Lucia,,Castries,,14.02N,60.58W,14.02,-60.58,North,West,11034.24099,2133.346115,4589.741823,2321.200604,6063.181335,3438.241905,10340.20699,3912.16684,1882.391,12026.59842,4868.039496,9811.618727,4190.556206,2719.702942,11034.24099
Saint Pierre and Miquelon,,Saint-Pierre,,46.46N,56.12W,46.46,-56.12,North,West,10714.8909,3007.486279,3698.237183,1064.033843,5141.022163,3498.172979,9991.020008,3201.80265,1775.284024,12604.34984,4388.056714,9420.745061,3080.035109,4838.472634,10714.8909
Saint Vincent and the Greenadines,,Kingstown,,13.10N,61.10W,13.1,-61.1,North,West,11071.12692,2117.06208,4646.847376,2371.097915,6118.297415,3438.464975,10378.2834,3967.896605,1909.777619,12036.65288,4916.258105,9851.113472,4252.102079,2670.595874,11071.12692
Samoa,,Apia,0.85,13.50S,171.50W,-13.5,-171.5,South,West,17324.38411,4551.638708,10863.3671,6633.804291,12355.86825,4384.18449,16644.22414,10210.78072,5766.344212,17675.93608,11213.13288,16129.27007,10375.94198,7036.837073,17324.38411
San Marino,,San Marino,,43.55N,12.30E,43.55,12.3,North,East,6974.48217,6310.228235,319.140498,4799.588335,1595.271313,7157.563022,6250.167791,572.8266048,5322.403631,9276.916417,735.5111731,5679.650011,863.189671,5495.616877,6974.48217
Sao Tome and Principe,,Sao Tome,0.43,00.10N,06.39E,0.1,6.39,North,East,7679.013022,5908.606143,3326.850565,5462.504092,4176.531213,7196.72261,7042.687527,2858.312032,5473.458872,8247.264812,2748.941917,6584.609885,3554.375332,3137.366037,7679.013022
Saudi Arabia,,Riyadh,793,24.41N,46.42E,24.41,46.42,North,East,5149.412878,7953.520421,2509.898174,6817.767072,2198.267665,9015.008447,4462.04885,2685.142646,7171.242635,6993.351547,1548.335651,3950.610469,3145.73118,5881.210329,5149.412878
Senegal,,Dakar,23.31,14.34N,17.29W,14.34,-17.29,North,West,8694.515338,4479.395878,2814.939579,3840.358843,4116.622918,5677.172157,8009.31756,2147.690819,3900.782268,9783.014654,2742.591325,7493.25329,2722.298735,2933.06831,8694.515338
Sierra Leone,,Freetown,4.12,08.30N,13.17W,8.3,-13.17,North,West,8555.175097,4751.677095,3063.156526,4265.721955,4265.326793,6005.661264,7884.311277,2431.987121,4266.733515,9435.031017,2842.830439,7385.383353,3056.277652,2705.653928,8555.175097
Slovakia,,Bratislava,105,48.10N,17.07E,48.1,17.07,North,East,6747.510414,6648.953818,299.7667061,5061.32444,1217.903049,7451.260557,6021.084807,936.0593313,5627.508364,9253.71086,805.3749423,5444.554674,961.436064,5901.285218,6747.510414
Slovenia,,Ljubljana,54.17,46.04N,14.33E,46.04,14.33,North,East,6879.710699,6464.243825,208.6648808,4908.681416,1414.692547,7285.447633,6154.033587,737.3979486,5456.411672,9287.48053,767.6279331,5580.099681,866.7208941,5700.065109,6879.710699
Solomon Islands,,Honiara,1.57,09.27S,159.57E,-9.27,159.5,South,East,3285.461386,14255.55891,8995.586269,13379.62927,8026.39775,15456.38424,3684.617728,9274.192427,13643.22649,1756.714063,8100.740779,4115.419576,9663.872613,11105.73336,3285.461386
Somalia,,Mogadishu,4.94,02.02N,45.25E,2.02,45.25,North,East,5653.351398,7970.15812,3675.126444,7246.938722,3711.817598,9196.07393,5060.591642,3593.359089,7409.203384,6293.142679,2726.869311,4659.693291,4208.082285,5125.034741,5653.351398
South Africa,,Pretoria (administrative) / Cape Town (legislative) / Bloemfontein (judicial),351,25.44S,28.12E,-25.44,28.12,South,East,7407.288549,7598.50293,5156.713371,7484.112658,5604.115564,8983.854273,6899.294383,4824.036858,7376.785794,6745.83847,4355.817524,6575.494888,5517.89968,3896.346639,7407.288549
Spain,,Madrid,1393,40.25N,03.45W,40.25,-3.45,North,West,7819.620505,5420.702243,984.7989516,3954.379329,2462.222497,6282.117102,7098.16938,316.7736503,4442.023961,9872.403926,1480.791019,6533.068547,788.7473852,4867.835698,7819.620505
Sudan,,Khartoum,32.25,15.31N,32.35E,15.31,32.35,North,East,6024.821508,7182.187211,2533.278396,6249.808169,2783.082017,8323.269023,5360.036338,2440.001916,6499.755916,7323.40305,1611.471096,4874.162878,3052.361385,4894.597015,6024.821508
Suriname,,Paramaribo,4.22,05.50N,55.10W,5.5,-55.1,North,West,10835.34057,2581.688953,4680.9407,2977.711931,6112.175462,3970.588513,10155.38803,3988.780861,2521.333962,11587.45361,4826.843405,9643.554852,4364.339637,2065.679109,10835.34057
Swaziland,,Mbabane (administrative),4.47,26.18S,31.06E,-26.18,31.06,South,East,7305.609719,7765.966473,5237.219345,7639.226751,5642.930552,9150.014898,6807.809294,4921.939949,7538.874298,6581.613769,4418.966408,6494.572509,5613.425372,4059.233603,7305.609719
Sweden,,Stockholm,531,59.20N,18.03E,59.2,18.03,North,East,6835.886355,6965.445894,840.4798442,5197.250774,1086.142946,7640.034601,6112.028674,1503.346409,5861.369457,9701.36456,1520.955875,5528.906607,1125.672413,6577.588157,6835.886355
Switzerland,,Bern,731,46.57N,07.28E,46.57,7.28,North,East,7266.357867,6107.655201,258.5672781,4524.212451,1752.428395,6907.624089,6540.694834,453.4240889,5082.748138,9621.005369,1079.457978,5966.725534,519.0484637,5529.126736,7266.357867
Syrian Arab Republic,,Damascus,,33.30N,36.18E,33.3,36.18,North,East,5651.84829,7450.08623,1688.956147,6159.345715,1529.684488,8431.490815,4939.228021,1939.032452,6583.195225,7805.583634,754.6925338,4390.323618,2337.942252,5814.922835,5651.84829
Tajikistan,,Dushanbe,8.3,38.33N,68.48E,38.33,68.48,North,East,3890.18162,9244.587888,3179.624742,7880.674317,2069.878192,10199.18843,3168.673708,3626.677352,8352.682379,6724.741201,2458.636684,2606.871507,3848.237275,7417.389743,3890.18162
Thailand,,Bangkok,544,13.45N,100.35E,13.45,100.3,North,East,2639.858405,10894.46673,5403.220327,9853.859942,4495.759578,12016.64593,2181.014183,5694.182572,10180.8894,4288.053365,4513.761544,1999.226818,6071.491062,8225.412151,2639.858405
Togo,,Lome,7.22,06.09N,01.20E,6.09,1.2,North,East,7830.239749,5550.587444,2956.284052,4996.438808,3936.444217,6800.804215,7172.515025,2436.275736,5047.91581,8642.18816,2489.636667,6690.001598,3124.375528,3142.133264,7830.239749
Tonga,,Nuku'alofa,0.49,21.10S,174.00W,-21.1,-174,South,West,17567.72242,4945.364486,11202.50152,7071.107776,12691.09541,4873.3607,16895.05048,10541.09085,6185.640438,17778.31474,11516.53281,16388.2415,10733.27236,7144.409672,17567.72242
Tunisia,,Tunis,39.2,36.50N,10.11E,36.5,10.11,North,East,7073.110304,6081.175102,807.160439,4719.165454,1980.343453,7009.948678,6355.139766,549.3528617,5163.187887,9106.520305,732.7093684,5796.335708,1165.784777,5026.626254,7073.110304
Turkey,,Ankara,761,39.57N,32.54E,39.57,32.54,North,East,5854.362249,7323.680996,1288.161151,5916.970404,1126.75407,8241.393981,5132.585459,1662.950453,6396.995306,8225.602013,514.4316727,4567.836208,1956.556338,5972.752883,5854.362249
Turkmenistan,,Ashgabat,40.77,38.00N,57.50E,38,57.5,North,East,4488.245655,8648.201198,2603.024475,7284.02837,1630.997989,9599.274005,3767.70082,3030.060007,7752.742124,7125.393054,1858.809922,3206.803939,3274.660037,6919.238214,4488.245655
Tuvalu,,Funafuti,,08.31S,179.13E,-8.31,179.1,South,East,3721.920681,15307.86461,9941.406325,14392.1533,8902.567411,16495.77388,4261.064793,10251.00003,14676.35352,2330.091761,9068.69365,4764.466467,10612.77936,12177.68217,3721.920681
Uganda,,Kampala,35.17,00.20N,32.30E,0.2,32.3,North,East,6352.026956,7293.2373,3495.969768,6667.727509,3822.208406,8544.891933,5745.464452,3283.89048,6778.799738,6904.98198,2623.993206,5325.133877,3947.281776,4418.435536,6352.026956
Ukraine,,Kiev (Russia),154,50.30N,30.28E,50.3,30.28,North,East,6056.209007,7382.890611,1031.840473,5788.892242,524.677622,8186.342068,5329.522555,1653.359066,6364.271004,8793.543374,953.4060461,4749.510579,1657.632371,6449.854166,6056.209007
United Arab Emirates,,Abu Dhabi,422,24.28N,54.22E,24.28,54.22,North,East,4730.337681,8378.607233,2851.436459,7236.213596,2339.672718,9440.416213,4047.603538,3077.394819,7596.262186,6644.012629,1913.865226,3544.336769,3503.081144,6235.222111,4730.337681
United Kingdom of Great Britain and Northern Ireland,,London,,51.36N,00.05W,51.36,-0.05,North,West,7703.968961,5845.682904,672.7454291,4143.169369,2061.448482,6562.775491,6977.307506,698.5270459,4762.576734,10138.65589,1597.437237,6399.345926,0,5639.574982,7703.968961
United Republic of Tanzania,,Dodoma,,06.08S,35.45E,-6.08,35.45,South,East,6377.386497,7550.67454,3961.694574,7029.276866,4246.837248,8836.51689,5803.242116,3745.697597,7096.991741,6604.961339,3082.850809,5417.721241,4411.941679,4446.955049,6377.386497
United States of America,,Washington DC,,39.91N,77.02W,39.91,-77.02,North,West,11833.78191,1869.600659,4870.776436,393.7513086,6335.992081,2286.644968,11113.64006,4324.97978,585.3087828,13461.12519,5488.563128,10549.84124,4276.178945,4712.161285,11833.78191
United States of Virgin Islands,,Charlotte Amalie,,18.21N,64.56W,18.21,-64.56,North,West,11214.83719,1887.120748,4641.939767,1976.639364,6128.940959,3128.08256,10514.79421,3979.061514,1523.817501,12316.91262,4988.277293,9978.731871,4199.78415,3068.24611,11214.83719
Uruguay,,Montevideo,61.23,34.50S,56.11W,-34.5,-56.11,South,West,11734.26513,4386.211284,6795.153662,5621.329047,8034.986908,5820.662567,11133.81897,6127.452466,4955.930116,11319.75547,6603.845289,10706.04101,6668.340597,1067.104609,11734.26513
Uzbekistan,,Tashkent,57.73,41.20N,69.10E,41.2,69.1,North,East,3870.814474,9308.331593,3176.889203,7904.552329,1992.981727,10240.65463,3145.51278,3654.401516,8396.304708,6850.530992,2504.431063,2574.178894,3840.121994,7559.38737,3870.814474
Vanuatu,,Port-Vila,0.93,17.45S,168.18E,-17.45,168.1,South,East,3981.493991,14806.67095,9670.368673,13995.4638,8733.070085,16032.91758,4408.592188,9927.882584,14231.41608,1460.850935,8762.74973,4847.532505,10336.00681,11541.49245,3981.493991
Venezuela,,Caracas,371,10.30N,66.55W,10.3,-66.55,North,West,11393.90381,1880.336481,5001.499562,2478.228765,6472.067202,3263.545939,10704.02322,4322.067839,1888.620258,12274.09993,5262.688568,10180.21662,4605.444286,2623.070951,11393.90381
Viet Nam,,Hanoi,,21.05N,105.55E,21.05,105.5,North,East,2120.312606,11171.88929,5458.081917,10029.33087,4413.586245,12249.09177,1604.19479,5813.760428,10404.96042,4537.511058,4622.313376,1403.83947,6130.777024,8665.589157,2120.312606
Yugoslavia,,Belgrade,,44.50N,20.37E,44.5,20.37,North,East,6541.060663,6752.614778,541.6807085,5238.77842,1195.987059,7602.37736,5815.896323,1016.625942,5767.790159,8959.69718,506.4104701,5243.453829,1211.248992,5802.622695,6541.060663
Zambia,,Lusaka,23.31,15.28S,28.16E,-15.28,28.16,South,East,7029.923361,7344.414132,4468.636382,7047.350434,4906.097072,8687.964851,6480.555997,4159.76116,7014.913711,6839.882331,3656.356506,6117.207457,4849.277754,3930.040716,7029.923361
