Event,Name,NOC,Pos.,Year,Discipline
"Lightweight, Men",Zvonko Vujin,YUG,3,1968,Boxing
"Light-Welterweight, Men",Jerzy Kulej,POL,1,1968,Boxing
"Light-Welterweight, Men",,,1,1968,Boxing
"Light-Welterweight, Men",Enrique Reg�eiferos,CUB,2,1968,Boxing
"Light-Welterweight, Men",,,2,1968,Boxing
"Light-Welterweight, Men",Arto Nilsson,FIN,3,1968,Boxing
"Light-Welterweight, Men",Jim Wallington,USA,3,1968,Boxing
"Middleweight, Men",Chris Finnegan,GBR,1,1968,Boxing
"Middleweight, Men",,,1,1968,Boxing
"Middleweight, Men",Aleksey Kiselyov,URS,2,1968,Boxing
"Middleweight, Men",,,2,1968,Boxing
"Middleweight, Men",Agust�n Zaragoza,MEX,3,1968,Boxing
"Middleweight, Men",Al Jones,USA,3,1968,Boxing
"Welterweight, Men",Manfred Wolke,GDR,1,1968,Boxing
"Welterweight, Men",,,1,1968,Boxing
"Welterweight, Men",Joseph Bessala,CMR,2,1968,Boxing
"Welterweight, Men",,,2,1968,Boxing
"Welterweight, Men",Vladimir Musalimov,URS,3,1968,Boxing
"Welterweight, Men",Mario Guilloti,ARG,3,1968,Boxing
"Canadian Doubles, 1,000 metres, Men",Romania,ROU,1,1968,Canoe Sprint
"Canadian Doubles, 1,000 metres, Men",Hungary,HUN,2,1968,Canoe Sprint
"Canadian Doubles, 1,000 metres, Men",Soviet Union,URS,3,1968,Canoe Sprint
"Canadian Singles, 1,000 metres, Men",Tibor Tatai,HUN,1,1968,Canoe Sprint
"Canadian Singles, 1,000 metres, Men",Detlef Lewe,FRG,2,1968,Canoe Sprint
"Canadian Singles, 1,000 metres, Men",Vitaly Galkov,URS,3,1968,Canoe Sprint
"Kayak Doubles, 1,000 metres, Men",Soviet Union,URS,1,1968,Canoe Sprint
"Kayak Doubles, 1,000 metres, Men",Hungary,HUN,2,1968,Canoe Sprint
"Kayak Doubles, 1,000 metres, Men",Austria,AUT,3,1968,Canoe Sprint
"Kayak Doubles, 500 metres, Women",West Germany,FRG,1,1968,Canoe Sprint
"Kayak Doubles, 500 metres, Women",Hungary,HUN,2,1968,Canoe Sprint
"Kayak Doubles, 500 metres, Women",Soviet Union,URS,3,1968,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",Norway,NOR,1,1968,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",Romania,ROU,2,1968,Canoe Sprint
"Kayak Fours, 1,000 metres, Men",Hungary,HUN,3,1968,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",MihÃ¡ly Hesz,HUN,1,1968,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",Aleksandr Shaparenko,URS,2,1968,Canoe Sprint
"Kayak Singles, 1,000 metres, Men",Erik Hansen,DEN,3,1968,Canoe Sprint
"Kayak Singles, 500 metres, Women",Lyudmila Pinayeva,URS,1,1968,Canoe Sprint
"Kayak Singles, 500 metres, Women",Renate Breuer,FRG,2,1968,Canoe Sprint
"Kayak Singles, 500 metres, Women",Viorica Dumitru,ROU,3,1968,Canoe Sprint
"100 kilometres Team Time Trial, Men",Netherlands,NED,1,1968,Cycling Road
"100 kilometres Team Time Trial, Men",Sweden,SWE,2,1968,Cycling Road
"100 kilometres Team Time Trial, Men",Italy,ITA,3,1968,Cycling Road
"Road Race, Individual, Men",Pierfranco Vianelli,ITA,1,1968,Cycling Road
"Road Race, Individual, Men",Leif Mortensen,DEN,2,1968,Cycling Road
"Road Race, Individual, Men",GÃ¶sta Pettersson,SWE,3,1968,Cycling Road
"1,000 metres Time Trial, Men",Pierre Trentin,FRA,1,1968,Cycling Track
"1,000 metres Time Trial, Men",Niels Fredborg,DEN,2,1968,Cycling Track
"1,000 metres Time Trial, Men",Janusz Kierzkowski,POL,3,1968,Cycling Track
"Individual Pursuit, 4,000 metres, Men",Daniel RÃ©billard,FRA,1,1968,Cycling Track
"Individual Pursuit, 4,000 metres, Men",Mogens Frey Jensen,DEN,2,1968,Cycling Track
"Individual Pursuit, 4,000 metres, Men",Xaver Kurmann,SUI,3,1968,Cycling Track
"Sprint, Men",Daniel Morelon,FRA,1,1968,Cycling Track
"Sprint, Men",Giordano Turrini,ITA,2,1968,Cycling Track
"Sprint, Men",Pierre Trentin,FRA,3,1968,Cycling Track
"Tandem Sprint, 2,000 metres, Men",France,FRA,1,1968,Cycling Track
"Tandem Sprint, 2,000 metres, Men",Netherlands,NED,2,1968,Cycling Track
"Tandem Sprint, 2,000 metres, Men",Belgium,BEL,3,1968,Cycling Track
"Team Pursuit, 4,000 metres, Men",Denmark,DEN,1,1968,Cycling Track
"Team Pursuit, 4,000 metres, Men",West Germany,FRG,2,1968,Cycling Track
"Team Pursuit, 4,000 metres, Men",Italy,ITA,3,1968,Cycling Track
"Platform, Men",Klaus Dibiasi,ITA,1,1968,Diving
"Platform, Men",Ãlvaro Gaxiola,MEX,2,1968,Diving
"Platform, Men",Win Young,USA,3,1968,Diving
"Platform, Women",Milena DuchkovÃ¡,TCH,1,1968,Diving
"Platform, Women",Nataliya Kuznetsova-Lobanova,URS,2,1968,Diving
"Platform, Women",Ann Peterson,USA,3,1968,Diving
"Springboard, Men",Bernie Wrightson,USA,1,1968,Diving
"Springboard, Men",Klaus Dibiasi,ITA,2,1968,Diving
"Springboard, Men",Jim Henry,USA,3,1968,Diving
"Springboard, Women",Sue Gossick,USA,1,1968,Diving
"Springboard, Women",Tamara Pogozheva,URS,2,1968,Diving
"Springboard, Women",Keala O'Sullivan,USA,3,1968,Diving
"Individual, Open",Ivan Kizimov,URS,1,1968,Equestrian Dressage
"Individual, Open",Josef Neckermann,FRG,2,1968,Equestrian Dressage
"Individual, Open",Reiner Klimke,FRG,3,1968,Equestrian Dressage
"Team, Open",West Germany,FRG,1,1968,Equestrian Dressage
"Team, Open",Soviet Union,URS,2,1968,Equestrian Dressage
"Team, Open",Switzerland,SUI,3,1968,Equestrian Dressage
"Individual, Open",Jean-Jacques Guyon,FRA,1,1968,Equestrian Eventing
"Individual, Open",Derek Allhusen,GBR,2,1968,Equestrian Eventing
"Individual, Open",Michael Page,USA,3,1968,Equestrian Eventing
"Team, Open",Great Britain,GBR,1,1968,Equestrian Eventing
"Team, Open",United States,USA,2,1968,Equestrian Eventing
"Team, Open",Australia,AUS,3,1968,Equestrian Eventing
"Individual, Open",Bill Steinkraus,USA,1,1968,Equestrian Jumping
"Individual, Open",Marion Coakes,GBR,2,1968,Equestrian Jumping
"Individual, Open",David Broome,GBR,3,1968,Equestrian Jumping
"Team, Open",Canada,CAN,1,1968,Equestrian Jumping
"Team, Open",France,FRA,2,1968,Equestrian Jumping
"Team, Open",West Germany,FRG,3,1968,Equestrian Jumping
"ÃpÃ©e, Individual, Men",GyÅzÅ KulcsÃ¡r,HUN,1,1968,Fencing
"ÃpÃ©e, Individual, Men",Grigory Kriss,URS,2,1968,Fencing
"ÃpÃ©e, Individual, Men",Gianluigi Saccaro,ITA,3,1968,Fencing
"ÃpÃ©e, Team, Men",Hungary,HUN,1,1968,Fencing
"ÃpÃ©e, Team, Men",Soviet Union,URS,2,1968,Fencing
"ÃpÃ©e, Team, Men",Poland,POL,3,1968,Fencing
"Foil, Individual, Men",Ion DrÃ®mbÄ,ROU,1,1968,Fencing
"Foil, Individual, Men",JenÅ Kamuti,HUN,2,1968,Fencing
"Foil, Individual, Men",Daniel Revenu,FRA,3,1968,Fencing
"Foil, Individual, Women",Yelena Novikova,URS,1,1968,Fencing
"Foil, Individual, Women",Pilar RoldÃ¡n,MEX,2,1968,Fencing
"Foil, Individual, Women",IldikÃ³ RejtÅ-Ujlaky,HUN,3,1968,Fencing
"Foil, Team, Men",France,FRA,1,1968,Fencing
"Foil, Team, Men",Soviet Union,URS,2,1968,Fencing
"Foil, Team, Men",Poland,POL,3,1968,Fencing
"Foil, Team, Women",Soviet Union,URS,1,1968,Fencing
"Foil, Team, Women",Hungary,HUN,2,1968,Fencing
"Foil, Team, Women",Romania,ROU,3,1968,Fencing
"Sabre, Individual, Men",Jerzy PawÅowski,POL,1,1968,Fencing
"Sabre, Individual, Men",Mark Rakita,URS,2,1968,Fencing
"Sabre, Individual, Men",Tibor PÃ©zsa,HUN,3,1968,Fencing
"Sabre, Team, Men",Soviet Union,URS,1,1968,Fencing
"Sabre, Team, Men",Italy,ITA,2,1968,Fencing
"Sabre, Team, Men",Hungary,HUN,3,1968,Fencing
"Football, Men",Hungary,HUN,1,1968,Football
"Football, Men",Bulgaria,BUL,2,1968,Football
"Football, Men",Japan,JPN,3,1968,Football
"Hockey, Men",Pakistan,PAK,1,1968,Hockey
"Hockey, Men",Australia,AUS,2,1968,Hockey
"Hockey, Men",India,IND,3,1968,Hockey
"Individual, Men",BjÃ¶rn Ferm,SWE,1,1968,Modern Pentathlon
"Individual, Men",AndrÃ¡s BalczÃ³,HUN,2,1968,Modern Pentathlon
"Individual, Men",Pavel Lednyov,URS,3,1968,Modern Pentathlon
"Team, Men",Hungary,HUN,1,1968,Modern Pentathlon
"Team, Men",Soviet Union,URS,2,1968,Modern Pentathlon
"Team, Men",France,FRA,3,1968,Modern Pentathlon
"Coxed Fours, Men",New Zealand,NZL,1,1968,Rowing
"Coxed Fours, Men",East Germany,GDR,2,1968,Rowing
"Coxed Fours, Men",Switzerland,SUI,3,1968,Rowing
"Coxed Pairs, Men",Italy,ITA,1,1968,Rowing
"Coxed Pairs, Men",Netherlands,NED,2,1968,Rowing
"Coxed Pairs, Men",Denmark,DEN,3,1968,Rowing
"Coxless Fours, Men",East Germany,GDR,1,1968,Rowing
"Coxless Fours, Men",Hungary,HUN,2,1968,Rowing
"Coxless Fours, Men",Italy,ITA,3,1968,Rowing
"Coxless Pairs, Men",East Germany,GDR,1,1968,Rowing
"Coxless Pairs, Men",United States,USA,2,1968,Rowing
"Coxless Pairs, Men",Denmark,DEN,3,1968,Rowing
"Double Sculls, Men",Soviet Union,URS,1,1968,Rowing
"Double Sculls, Men",Netherlands,NED,2,1968,Rowing
"Double Sculls, Men",United States,USA,3,1968,Rowing
"Eights, Men",West Germany,FRG,1,1968,Rowing
"Eights, Men",Australia,AUS,2,1968,Rowing
"Eights, Men",Soviet Union,URS,3,1968,Rowing
"Single Sculls, Men",Jan Wienese,NED,1,1968,Rowing
"Single Sculls, Men",Jochen MeiÃner,FRG,2,1968,Rowing
"Single Sculls, Men",Alberto Demiddi,ARG,3,1968,Rowing
"5.5 metres, Open",Sweden,SWE,1,1968,Sailing
"5.5 metres, Open",Switzerland,SUI,2,1968,Sailing
"5.5 metres, Open",Great Britain,GBR,3,1968,Sailing
"One Person Dinghy, Open",Valentin Mankin,URS,1,1968,Sailing
"One Person Dinghy, Open",Hubert Raudaschl,AUT,2,1968,Sailing
"One Person Dinghy, Open",Fabio Albarelli,ITA,3,1968,Sailing
"Three Person Keelboat, Open",United States,USA,1,1968,Sailing
"Three Person Keelboat, Open",Denmark,DEN,2,1968,Sailing
"Three Person Keelboat, Open",East Germany,GDR,3,1968,Sailing
"Two Person Heavyweight Dinghy, Open",Great Britain,GBR,1,1968,Sailing
"Two Person Heavyweight Dinghy, Open",West Germany,FRG,2,1968,Sailing
"Two Person Heavyweight Dinghy, Open",Brazil,BRA,3,1968,Sailing
"Two Person Keelboat, Open",United States,USA,1,1968,Sailing
"Two Person Keelboat, Open",Norway,NOR,2,1968,Sailing
"Two Person Keelboat, Open",Italy,ITA,3,1968,Sailing
"Free Pistol, 50 metres, Open",Grigory Kosykh,URS,1,1968,Shooting
"Free Pistol, 50 metres, Open",Heinz Mertel,FRG,2,1968,Shooting
"Free Pistol, 50 metres, Open",Harald Vollmar,GDR,3,1968,Shooting
"Free Rifle, Three Positions, 300 metres, Open",Gary Anderson,USA,1,1968,Shooting
"Free Rifle, Three Positions, 300 metres, Open",Valentin Kornev,URS,2,1968,Shooting
"Free Rifle, Three Positions, 300 metres, Open",Kurt MÃ¼ller,SUI,3,1968,Shooting
"Rapid-Fire Pistol, 25 metres, Open",JÃ³zef ZapÄdzki,POL,1,1968,Shooting
"Rapid-Fire Pistol, 25 metres, Open",Marcel RoÈca,ROU,2,1968,Shooting
"Rapid-Fire Pistol, 25 metres, Open",Renart Suleymanov,URS,3,1968,Shooting
"Skeet, Open",Yevgeny Petrov,URS,1,1968,Shooting
"Skeet, Open",Romano Garagnani,ITA,2,1968,Shooting
"Skeet, Open",Konrad Wirnhier,FRG,3,1968,Shooting
"Small-Bore Rifle, Prone, 50 metres, Open",Jan KÅ¯rka,TCH,1,1968,Shooting
"Small-Bore Rifle, Prone, 50 metres, Open",LÃ¡szlÃ³ Hammerl,HUN,2,1968,Shooting
"Small-Bore Rifle, Prone, 50 metres, Open",Ian Ballinger,NZL,3,1968,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Open",Bernd Klingner,FRG,1,1968,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Open",John Writer,USA,2,1968,Shooting
"Small-Bore Rifle, Three Positions, 50 metres, Open",Vitaly Parkhimovich,URS,3,1968,Shooting
"Trap, Open",Bob Braithwaite,GBR,1,1968,Shooting
"Trap, Open",Tom Garrigus,USA,2,1968,Shooting
"Trap, Open",Kurt Czekalla,GDR,3,1968,Shooting
"1,500 metres Freestyle, Men",Mike Burton,USA,1,1968,Swimming
"1,500 metres Freestyle, Men",John Kinsella,USA,2,1968,Swimming
"1,500 metres Freestyle, Men",Greg Brough,AUS,3,1968,Swimming
"100 metres Backstroke, Men",Roland Matthes,GDR,1,1968,Swimming
"100 metres Backstroke, Men",Charlie Hickcox,USA,2,1968,Swimming
"100 metres Backstroke, Men",Ronnie Mills,USA,3,1968,Swimming
"100 metres Backstroke, Women",Kaye Hall,USA,1,1968,Swimming
"100 metres Backstroke, Women",Elaine Tanner,CAN,2,1968,Swimming
"100 metres Backstroke, Women",Jane Swagerty,USA,3,1968,Swimming
"100 metres Breaststroke, Men",Don McKenzie,USA,1,1968,Swimming
"100 metres Breaststroke, Men",Vladimir Kosinsky,URS,2,1968,Swimming
"100 metres Breaststroke, Men",Nikolay Pankin,URS,3,1968,Swimming
"100 metres Breaststroke, Women",ÄurÄica Bjedov,YUG,1,1968,Swimming
"100 metres Breaststroke, Women",Galina Prozumenshchikova,URS,2,1968,Swimming
"100 metres Breaststroke, Women",Sharon Wichman,USA,3,1968,Swimming
"100 metres Butterfly, Men",Doug Russell,USA,1,1968,Swimming
"100 metres Butterfly, Men",Mark Spitz,USA,2,1968,Swimming
"100 metres Butterfly, Men",Ross Wales,USA,3,1968,Swimming
"100 metres Butterfly, Women",Lyn McClements,AUS,1,1968,Swimming
"100 metres Butterfly, Women",Ellie Daniel,USA,2,1968,Swimming
"100 metres Butterfly, Women",Susan Shields,USA,3,1968,Swimming
"100 metres Freestyle, Men",Mike Wenden,AUS,1,1968,Swimming
"100 metres Freestyle, Men",Ken Walsh,USA,2,1968,Swimming
"100 metres Freestyle, Men",Mark Spitz,USA,3,1968,Swimming
"100 metres Freestyle, Women",Jan Henne,USA,1,1968,Swimming
"100 metres Freestyle, Women",Sue Pedersen,USA,2,1968,Swimming
"100 metres Freestyle, Women",Linda Gustavson,USA,3,1968,Swimming
"200 metres Backstroke, Men",Roland Matthes,GDR,1,1968,Swimming
"200 metres Backstroke, Men",Mitch Ivey,USA,2,1968,Swimming
"200 metres Backstroke, Men",Jack Horsley,USA,3,1968,Swimming
"200 metres Backstroke, Women",Pokey Watson,USA,1,1968,Swimming
"200 metres Backstroke, Women",Elaine Tanner,CAN,2,1968,Swimming
"200 metres Backstroke, Women",Kaye Hall,USA,3,1968,Swimming
"200 metres Breaststroke, Men",Felipe MuÃ±oz,MEX,1,1968,Swimming
"200 metres Breaststroke, Men",Vladimir Kosinsky,URS,2,1968,Swimming
"200 metres Breaststroke, Men",Brian Job,USA,3,1968,Swimming
"200 metres Breaststroke, Women",Sharon Wichman,USA,1,1968,Swimming
"200 metres Breaststroke, Women",ÄurÄica Bjedov,YUG,2,1968,Swimming
"200 metres Breaststroke, Women",Galina Prozumenshchikova,URS,3,1968,Swimming
"200 metres Butterfly, Men",Carl Robie,USA,1,1968,Swimming
"200 metres Butterfly, Men",Martyn Woodroffe,GBR,2,1968,Swimming
"200 metres Butterfly, Men",John Ferris,USA,3,1968,Swimming
"200 metres Butterfly, Women",Ada Kok,NED,1,1968,Swimming
"200 metres Butterfly, Women",Helga Lindner,GDR,2,1968,Swimming
"200 metres Butterfly, Women",Ellie Daniel,USA,3,1968,Swimming
"200 metres Freestyle, Men",Mike Wenden,AUS,1,1968,Swimming
"200 metres Freestyle, Men",Don Schollander,USA,2,1968,Swimming
"200 metres Freestyle, Men",John Nelson,USA,3,1968,Swimming
"200 metres Freestyle, Women",Debbie Meyer,USA,1,1968,Swimming
"200 metres Freestyle, Women",Jan Henne,USA,2,1968,Swimming
"200 metres Freestyle, Women",Jane Barkman,USA,3,1968,Swimming
"200 metres Individual Medley, Men",Charlie Hickcox,USA,1,1968,Swimming
"200 metres Individual Medley, Men",Greg Buckingham,USA,2,1968,Swimming
"200 metres Individual Medley, Men",John Ferris,USA,3,1968,Swimming
"200 metres Individual Medley, Women",Claudia Kolb,USA,1,1968,Swimming
"200 metres Individual Medley, Women",Sue Pedersen,USA,2,1968,Swimming
"200 metres Individual Medley, Women",Jan Henne,USA,3,1968,Swimming
"4 Ã 100 metres Freestyle Relay, Men",United States,USA,1,1968,Swimming
"4 Ã 100 metres Freestyle Relay, Men",Soviet Union,URS,2,1968,Swimming
"4 Ã 100 metres Freestyle Relay, Men",Australia,AUS,3,1968,Swimming
"4 Ã 100 metres Freestyle Relay, Women",United States,USA,1,1968,Swimming
"4 Ã 100 metres Freestyle Relay, Women",East Germany,GDR,2,1968,Swimming
"4 Ã 100 metres Freestyle Relay, Women",Canada,CAN,3,1968,Swimming
"4 Ã 100 metres Medley Relay, Men",United States,USA,1,1968,Swimming
"4 Ã 100 metres Medley Relay, Men",East Germany,GDR,2,1968,Swimming
"4 Ã 100 metres Medley Relay, Men",Soviet Union,URS,3,1968,Swimming
"4 Ã 100 metres Medley Relay, Women",United States,USA,1,1968,Swimming
"4 Ã 100 metres Medley Relay, Women",Australia,AUS,2,1968,Swimming
"4 Ã 100 metres Medley Relay, Women",West Germany,FRG,3,1968,Swimming
"4 Ã 200 metres Freestyle Relay, Men",United States,USA,1,1968,Swimming
"4 Ã 200 metres Freestyle Relay, Men",Australia,AUS,2,1968,Swimming
"4 Ã 200 metres Freestyle Relay, Men",Soviet Union,URS,3,1968,Swimming
"400 metres Freestyle, Men",Mike Burton,USA,1,1968,Swimming
"400 metres Freestyle, Men",Ralph Hutton,CAN,2,1968,Swimming
"400 metres Freestyle, Men",Alain Mosconi,FRA,3,1968,Swimming
"400 metres Freestyle, Women",Debbie Meyer,USA,1,1968,Swimming
"400 metres Freestyle, Women",Linda Gustavson,USA,2,1968,Swimming
"400 metres Freestyle, Women",Karen Moras,AUS,3,1968,Swimming
"400 metres Individual Medley, Men",Charlie Hickcox,USA,1,1968,Swimming
"400 metres Individual Medley, Men",Gary Hall,USA,2,1968,Swimming
"400 metres Individual Medley, Men",Mike Holthaus,FRG,3,1968,Swimming
"400 metres Individual Medley, Women",Claudia Kolb,USA,1,1968,Swimming
"400 metres Individual Medley, Women",Lynn Vidali,USA,2,1968,Swimming
"400 metres Individual Medley, Women",Sabine Steinbach,GDR,3,1968,Swimming
"800 metres Freestyle, Women",Debbie Meyer,USA,1,1968,Swimming
"800 metres Freestyle, Women",Pam Kruse,USA,2,1968,Swimming
"800 metres Freestyle, Women",MarÃ­a Teresa RamÃ­rez,MEX,3,1968,Swimming
"Volleyball, Men",Soviet Union,URS,1,1968,Volleyball
"Volleyball, Men",Japan,JPN,2,1968,Volleyball
"Volleyball, Men",Czechoslovakia,TCH,3,1968,Volleyball
"Volleyball, Women",Soviet Union,URS,1,1968,Volleyball
"Volleyball, Women",Japan,JPN,2,1968,Volleyball
"Volleyball, Women",Poland,POL,3,1968,Volleyball
"Water Polo, Men",Yugoslavia,YUG,1,1968,Water Polo
"Water Polo, Men",Soviet Union,URS,2,1968,Water Polo
"Water Polo, Men",Hungary,HUN,3,1968,Water Polo
"Bantamweight, Men",Mohammad Nassiri,IRI,1,1968,Weightlifting
"Bantamweight, Men",Imre FÃ¶ldi,HUN,2,1968,Weightlifting
"Bantamweight, Men",Henryk TrÄbicki,POL,3,1968,Weightlifting
"Featherweight, Men",Yoshinobu Miyake,JPN,1,1968,Weightlifting
"Featherweight, Men",Dito Shanidze,URS,2,1968,Weightlifting
"Featherweight, Men",Yoshiyuki Miyake,JPN,3,1968,Weightlifting
"Heavyweight, Men",Leonid Zhabotinsky,URS,1,1968,Weightlifting
"Heavyweight, Men",Serge Reding,BEL,2,1968,Weightlifting
"Heavyweight, Men",Joe Dube,USA,3,1968,Weightlifting
"Light-Heavyweight, Men",Boris Selitsky,URS,1,1968,Weightlifting
"Light-Heavyweight, Men",Vladimir Belyayev,URS,2,1968,Weightlifting
"Light-Heavyweight, Men",Norbert Ozimek,POL,3,1968,Weightlifting
"Lightweight, Men",Waldemar Baszanowski,POL,1,1968,Weightlifting
"Lightweight, Men",Parviz Jalayer,IRI,2,1968,Weightlifting
"Lightweight, Men",Marian ZieliÅski,POL,3,1968,Weightlifting
"Middle-Heavyweight, Men",Kaarlo Kangasniemi,FIN,1,1968,Weightlifting
"Middle-Heavyweight, Men",Jaan Talts,URS,2,1968,Weightlifting
"Middle-Heavyweight, Men",Marek GoÅÄb,POL,3,1968,Weightlifting
"Middleweight, Men",Viktor Kurentsov,URS,1,1968,Weightlifting
"Middleweight, Men",Masashi Ohuchi,JPN,2,1968,Weightlifting
"Middleweight, Men",KÃ¡roly Bakos,HUN,3,1968,Weightlifting
"Bantamweight, Freestyle, Men",Yojiro Uetake,JPN,1,1968,Wrestling
"Bantamweight, Freestyle, Men",Don Behm,USA,2,1968,Wrestling
"Bantamweight, Freestyle, Men",Abutaleb Talebi,IRI,3,1968,Wrestling
"Bantamweight, Greco-Roman, Men",JÃ¡nos Varga,HUN,1,1968,Wrestling
"Bantamweight, Greco-Roman, Men",Ion Baciu,ROU,2,1968,Wrestling
"Bantamweight, Greco-Roman, Men",Ivan Kochergin,URS,3,1968,Wrestling
"Featherweight, Freestyle, Men",Masaaki Kaneko,JPN,1,1968,Wrestling
"Featherweight, Freestyle, Men",Enyu Todorov,BUL,2,1968,Wrestling
"Featherweight, Freestyle, Men",Shamseddin Seyyed Abbasi,IRI,3,1968,Wrestling
"Featherweight, Greco-Roman, Men",Roman Rurua,URS,1,1968,Wrestling
"Featherweight, Greco-Roman, Men",Hideo Fujimoto,JPN,2,1968,Wrestling
"Featherweight, Greco-Roman, Men",Simion Popescu,ROU,3,1968,Wrestling
"Flyweight, Freestyle, Men",Shigeo Nakata,JPN,1,1968,Wrestling
"Flyweight, Freestyle, Men",Rich Sanders,USA,2,1968,Wrestling
"Flyweight, Freestyle, Men",Chimedbazaryn Damdinsharav,MGL,3,1968,Wrestling
"Flyweight, Greco-Roman, Men",Petar Kirov,BUL,1,1968,Wrestling
"Flyweight, Greco-Roman, Men",Vladimir Bakulin,URS,2,1968,Wrestling
"Flyweight, Greco-Roman, Men",Miroslav Zeman,TCH,3,1968,Wrestling
"Heavyweight, Freestyle, Men",Aliaksandr Miadved,URS,1,1968,Wrestling
"Heavyweight, Freestyle, Men",Osman Duraliev,BUL,2,1968,Wrestling
"Heavyweight, Freestyle, Men",Wilfried Dietrich,FRG,3,1968,Wrestling
"Heavyweight, Greco-Roman, Men",IstvÃ¡n Kozma,HUN,1,1968,Wrestling
"Heavyweight, Greco-Roman, Men",Anatoly Roshchin,URS,2,1968,Wrestling
"Heavyweight, Greco-Roman, Men",Petr Kment,TCH,3,1968,Wrestling
"Light-Heavyweight, Freestyle, Men",Ahmet AyÄ±k,TUR,1,1968,Wrestling
"Light-Heavyweight, Freestyle, Men",Shota Lomidze,URS,2,1968,Wrestling
"Light-Heavyweight, Freestyle, Men",JÃ³zsef CsatÃ¡ri,HUN,3,1968,Wrestling
"Light-Heavyweight, Greco-Roman, Men",Boyan Radev,BUL,1,1968,Wrestling
"Light-Heavyweight, Greco-Roman, Men",Nikolay Yakovenko,URS,2,1968,Wrestling
"Light-Heavyweight, Greco-Roman, Men",Nicolae Martinescu,ROU,3,1968,Wrestling
"Lightweight, Freestyle, Men",Abdullah Movahed,IRI,1,1968,Wrestling
"Lightweight, Freestyle, Men",Enyu Valchev,BUL,2,1968,Wrestling
"Lightweight, Freestyle, Men",Danzandarjaagiin Sereeter,MGL,3,1968,Wrestling
"Lightweight, Greco-Roman, Men",Munji Munemura,JPN,1,1968,Wrestling
"Lightweight, Greco-Roman, Men",Stevan Horvat,YUG,2,1968,Wrestling
"Lightweight, Greco-Roman, Men",Petros Galaktopoulos,GRE,3,1968,Wrestling
"Middleweight, Freestyle, Men",Boris Gurevich,URS,1,1968,Wrestling
"Middleweight, Freestyle, Men",Jigjidiin MÃ¶nkhbat,MGL,2,1968,Wrestling
"Middleweight, Freestyle, Men",Prodan Gardzhev,BUL,3,1968,Wrestling
"Middleweight, Greco-Roman, Men",Lothar Metz,GDR,1,1968,Wrestling
"Middleweight, Greco-Roman, Men",Valentin Olenik,URS,2,1968,Wrestling
"Middleweight, Greco-Roman, Men",Branislav SimiÄ,YUG,3,1968,Wrestling
"Welterweight, Freestyle, Men",Mahmut Atalay,TUR,1,1968,Wrestling
"Welterweight, Freestyle, Men",Daniel Robin,FRA,2,1968,Wrestling
"Welterweight, Freestyle, Men",TÃ¶mÃ¶riin Artag,MGL,3,1968,Wrestling
"Welterweight, Greco-Roman, Men",Rudolf Vesper,GDR,1,1968,Wrestling
"Welterweight, Greco-Roman, Men",Daniel Robin,FRA,2,1968,Wrestling
"Welterweight, Greco-Roman, Men",KÃ¡roly BajkÃ³,HUN,3,1968,Wrestling
"Individual, Men",John Williams,USA,1,1972,Archery
"Individual, Men",Gunnar Jervill,SWE,2,1972,Archery
"Individual, Men",KyÃ¶sti Laasonen,FIN,3,1972,Archery
"Individual, Women",Doreen Wilber,USA,1,1972,Archery
"Individual, Women",Irena SzydÅowska,POL,2,1972,Archery
"Individual, Women",Emma Gapchenko,URS,3,1972,Archery
"Balance Beam, Women",Olga Korbut,URS,1,1972,Artistic Gymnastics
"Balance Beam, Women",Tamara Lazakovich,URS,2,1972,Artistic Gymnastics
"Balance Beam, Women",Karin Janz,GDR,3,1972,Artistic Gymnastics
"Floor Exercise, Men",Nikolay Andrianov,URS,1,1972,Artistic Gymnastics
"Floor Exercise, Men",Akinori Nakayama,JPN,2,1972,Artistic Gymnastics
"Floor Exercise, Men",Shigeru Kasamatsu,JPN,3,1972,Artistic Gymnastics
"Floor Exercise, Women",Olga Korbut,URS,1,1972,Artistic Gymnastics
"Floor Exercise, Women",Lyudmila Turishcheva,URS,2,1972,Artistic Gymnastics
"Floor Exercise, Women",Tamara Lazakovich,URS,3,1972,Artistic Gymnastics
"Horizontal Bar, Men",Mitsuo Tsukahara,JPN,1,1972,Artistic Gymnastics
"Horizontal Bar, Men",Sawao Kato,JPN,2,1972,Artistic Gymnastics
"Horizontal Bar, Men",Shigeru Kasamatsu,JPN,3,1972,Artistic Gymnastics
"Horse Vault, Men",Klaus KÃ¶ste,GDR,1,1972,Artistic Gymnastics
"Horse Vault, Men",Viktor Klimenko,URS,2,1972,Artistic Gymnastics
"Horse Vault, Men",Nikolay Andrianov,URS,3,1972,Artistic Gymnastics
"Horse Vault, Women",Karin Janz,GDR,1,1972,Artistic Gymnastics
"Horse Vault, Women",Erika Zuchold,GDR,2,1972,Artistic Gymnastics
"Horse Vault, Women",Lyudmila Turishcheva,URS,3,1972,Artistic Gymnastics
