Country_x,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Country_y,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020
Argentina,ARG,0,1,0,1,1964,Tokyo,JPN,25605249382,Argentina,South,West,11979.01152,4384.369678,7015.770065,5707.86309,8266.251627,5802.97869,11379.30611,6344.970262,5013.546431,11533.28485,6837.56043,10951.96318,6877.436486,1303.080956,11979.01152
New Zealand,NZL,3,0,2,5,1964,Tokyo,JPN,7274144351,New Zealand,South,East,5633.175948,15503.5678,10817.74758,14901.59198,10022.90373,16800.39824,6014.854576,10995.36704,15046.35597,1363.195659,9872.18615,6413.627205,11467.58087,11946.09641,5633.175948
Czech Republic,CZE,5,6,3,14,1964,Tokyo,JPN,0,Czech Republic,North,East,6919.883139,6543.201481,195.3102579,4912.576129,1316.716415,7316.092586,6193.192198,888.7777768,5500.322491,9459.116375,997.4287297,5615.044697,784.3676487,5929.78558,6919.883139
Australia,AUS,6,2,10,18,1964,Tokyo,JPN,23764139321,Australia,South,East,4913.860856,14055.77408,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.02612,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856
Russia,RUS,30,31,35,96,1964,Tokyo,JPN,0,Russia,North,East,5749.743872,7858.834811,1494.716181,6203.539526,0,8622.58711,5025.941222,2151.918173,6813.557769,8753.948266,1447.592636,4442.798842,2061.448482,6968.657073,5749.743872
Germany,DEU,10,22,18,50,1964,Tokyo,JPN,0,Germany,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785
Poland,POL,7,6,10,23,1964,Tokyo,JPN,0,Poland,North,East,6576.973455,6939.959522,583.3806667,5292.530216,921.6337616,7704.178945,5850.361181,1267.358097,5892.391824,9260.500138,1012.895054,5269.89858,1150.557363,6251.798635,6576.973455
South Korea,KOR,0,2,1,3,1964,Tokyo,JPN,3458939358,South Korea,North,East,726.745582,12380.98084,6318.972954,11047.48495,5025.941222,13364.69711,0,6794.252899,11517.21381,5093.35796,5626.014846,583.2324219,6977.307506,10153.1711,726.745582
France,FRA,1,8,6,15,1964,Tokyo,JPN,94007851047,France,North,East,7556.722473,5888.888745,512.7500361,4251.284526,1978.195758,6651.180373,6830.559027,490.5927345,4836.118307,9924.52168,1383.900092,6254.959901,232.4547227,5514.953898,7556.722473
Mexico,MEX,0,0,1,1,1964,Tokyo,JPN,20080000000,Mexico,North,West,13085.252,0,6364.498871,2223.440536,7858.834811,1463.565709,12380.98084,5737.41412,1285.687064,14148.98813,6810.891865,11838.94405,5845.682904,4215.212132,13085.252
Finland,FIN,3,0,2,5,1964,Tokyo,JPN,7766655086,Finland,North,East,6482.014653,7342.902147,1107.26077,5585.00046,746.7650967,8027.166633,5760.047999,1798.184727,6245.868187,9463.102949,1559.687466,5176.841428,1497.672561,6834.621887,6482.014653
Canada,CAN,1,2,1,4,1964,Tokyo,JPN,49377522897,Canada,North,West,11761.45096,2215.276999,4754.326022,17.85869536,6197.178624,2462.817034,11038.50466,4244.864848,933.6493084,13525.33305,5424.860063,10469.8937,4136.60053,5023.162376,11761.45096
Trinidad and Tobago,TTO,0,1,2,3,1964,Tokyo,JPN,711893367.6,,,,,,,,,,,,,,,,,,
United Kingdom,GBR,4,12,2,18,1964,Tokyo,JPN,94407558351,United Kingdom,North,West,7703.968961,5845.682904,672.7454291,4143.169369,2061.448482,6562.775491,6977.307506,698.5270459,4762.576734,10138.65589,1597.437237,6399.345926,0,5639.574982,7703.968961
Nigeria,NGA,0,0,1,1,1964,Tokyo,JPN,5552822484,Nigeria,North,East,7455.2043,5852.586799,2707.220472,5177.672048,3597.034241,7069.267805,6793.105494,2249.106833,5289.456754,8396.028256,2156.816829,6306.356951,2946.992593,3530.265723,7455.2043
Turkey,TUR,2,3,1,6,1964,Tokyo,JPN,11177777778,Turkey,North,East,5854.362249,7323.680996,1288.161151,5916.970404,1126.75407,8241.393981,5132.585459,1662.950453,6396.995306,8225.602013,514.4316727,4567.836208,1956.556338,5972.752883,5854.362249
Tunisia,TUN,0,1,1,2,1964,Tokyo,JPN,0,Tunisia,North,East,7073.110304,6081.175102,807.160439,4719.165454,1980.343453,7009.948678,6355.139766,549.3528617,5163.187887,9106.520305,732.7093684,5796.335708,1165.784777,5026.626254,7073.110304
Denmark,DNK,2,1,3,6,1964,Tokyo,JPN,0,Denmark,North,East,7083.182967,6577.621265,503.3433966,4848.347592,1365.548789,7280.410025,6357.022542,1115.420174,5488.84764,9769.383098,1371.93215,5775.38342,731.9401851,6195.975155,7083.182967
Ethiopia,ETH,1,0,0,1,1964,Tokyo,JPN,0,Ethiopia,North,East,5825.236731,7541.375715,3071.432443,6713.587097,3204.202646,8726.251177,5190.225418,2984.306758,6919.135525,6832.509437,2133.215973,4740.553289,3598.175808,4969.84163,5825.236731
Belgium,BEL,2,0,1,3,1964,Tokyo,JPN,15960106681,Belgium,North,East,7465.484676,6040.287639,434.360945,4369.683402,1841.269434,6781.550401,6738.867833,639.0615885,4973.865723,9915.550018,1378.649126,6161.241147,239.8764718,5688.273316,7465.484676
Bahamas,BHS,1,0,0,1,1964,Tokyo,JPN,266666666.7,Bahamas,North,West,11862.7069,1262.03307,5102.498263,1413.853863,6596.803801,2325.242769,11154.14467,4477.864708,717.2687331,13117.11126,5563.622291,10606.93156,4586.923845,3795.177807,11862.7069
Czech Republic,CZE,7,2,4,13,1968,Mexico City,MEX,0,Czech Republic,North,East,6919.883139,6543.201481,195.3102579,4912.576129,1316.716415,7316.092586,6193.192198,888.7777768,5500.322491,9459.116375,997.4287297,5615.044697,784.3676487,5929.78558,6919.883139
France,FRA,7,3,5,15,1968,Mexico City,MEX,1.29785E+11,France,North,East,7556.722473,5888.888745,512.7500361,4251.284526,1978.195758,6651.180373,6830.559027,490.5927345,4836.118307,9924.52168,1383.900092,6254.959901,232.4547227,5514.953898,7556.722473
Mexico,MEX,3,3,3,9,1968,Mexico City,MEX,29360000000,Mexico,North,West,13085.252,0,6364.498871,2223.440536,7858.834811,1463.565709,12380.98084,5737.41412,1285.687064,14148.98813,6810.891865,11838.94405,5845.682904,4215.212132,13085.252
Finland,FIN,1,2,1,4,1968,Mexico City,MEX,8823033880,Finland,North,East,6482.014653,7342.902147,1107.26077,5585.00046,746.7650967,8027.166633,5760.047999,1798.184727,6245.868187,9463.102949,1559.687466,5176.841428,1497.672561,6834.621887,6482.014653
Mongolia,MNG,0,1,3,4,1968,Mexico City,MEX,0,,,,,,,,,,,,,,,,,,
Tunisia,TUN,1,0,1,2,1968,Mexico City,MEX,1214666667,Tunisia,North,East,7073.110304,6081.175102,807.160439,4719.165454,1980.343453,7009.948678,6355.139766,549.3528617,5163.187887,9106.520305,732.7093684,5796.335708,1165.784777,5026.626254,7073.110304
Turkey,TUR,2,0,0,2,1968,Mexico City,MEX,17500000000,Turkey,North,East,5854.362249,7323.680996,1288.161151,5916.970404,1126.75407,8241.393981,5132.585459,1662.950453,6396.995306,8225.602013,514.4316727,4567.836208,1956.556338,5972.752883,5854.362249
Denmark,DNK,1,4,3,8,1968,Mexico City,MEX,13505573867,Denmark,North,East,7083.182967,6577.621265,503.3433966,4848.347592,1365.548789,7280.410025,6357.022542,1115.420174,5488.84764,9769.383098,1371.93215,5775.38342,731.9401851,6195.975155,7083.182967
Netherlands,NLD,3,3,1,7,1968,Mexico City,MEX,27817605743,Netherlands,North,East,7464.868875,6100.454387,476.857991,4398.587044,1805.151258,6820.142453,6738.124602,759.0711687,5020.216004,9971.22218,1445.327934,6159.095349,257.7032749,5802.288098,7464.868875
Germany,DEU,9,9,7,25,1968,Mexico City,MEX,0,Germany,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785
Poland,POL,5,2,11,18,1968,Mexico City,MEX,0,Poland,North,East,6576.973455,6939.959522,583.3806667,5292.530216,921.6337616,7704.178945,5850.361181,1267.358097,5892.391824,9260.500138,1012.895054,5269.89858,1150.557363,6251.798635,6576.973455
Romania,ROU,4,6,5,15,1968,Mexico City,MEX,0,Romania,North,East,6228.097396,7051.390932,836.5549451,5551.830735,986.0993251,7912.450468,5502.835655,1321.603461,6076.26716,8702.45026,483.5920645,4930.228611,1509.274895,5982.617879,6228.097396
Venezuela,VEN,1,0,0,1,1968,Mexico City,MEX,10034444444,Venezuela,North,West,11393.90381,1880.336481,5001.499562,2478.228765,6472.067202,3263.545939,10704.02322,4322.067839,1888.620258,12274.09993,5262.688568,10180.21662,4605.444286,2623.070951,11393.90381
Argentina,ARG,0,0,2,2,1968,Mexico City,MEX,26436857247,Argentina,South,West,11979.01152,4384.369678,7015.770065,5707.86309,8266.251627,5802.97869,11379.30611,6344.970262,5013.546431,11533.28485,6837.56043,10951.96318,6877.436486,1303.080956,11979.01152
Russia,RUS,29,32,30,91,1968,Mexico City,MEX,0,Russia,North,East,5749.743872,7858.834811,1494.716181,6203.539526,0,8622.58711,5025.941222,2151.918173,6813.557769,8753.948266,1447.592636,4442.798842,2061.448482,6968.657073,5749.743872
Belgium,BEL,0,1,1,2,1968,Mexico City,MEX,21376353113,Belgium,North,East,7465.484676,6040.287639,434.360945,4369.683402,1841.269434,6781.550401,6738.867833,639.0615885,4973.865723,9915.550018,1378.649126,6161.241147,239.8764718,5688.273316,7465.484676
Australia,AUS,5,7,5,17,1968,Mexico City,MEX,32665472057,Australia,South,East,4913.860856,14055.77408,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.02612,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856
Austria,AUT,0,2,2,4,1968,Mexico City,MEX,12440625313,Austria,North,East,6793.721355,6605.111663,253.3477585,5014.993429,1259.691378,7405.428284,6067.31086,896.7318071,5582.07332,9291.326525,827.7513878,5490.842169,916.0407101,5876.69563,6793.721355
Yugoslavia,YUG,3,3,2,8,1968,Mexico City,MEX,,,,,,,,,,,,,,,,,,,
South Korea,KOR,0,1,1,2,1968,Mexico City,MEX,6119284294,South Korea,North,East,726.745582,12380.98084,6318.972954,11047.48495,5025.941222,13364.69711,0,6794.252899,11517.21381,5093.35796,5626.014846,583.2324219,6977.307506,10153.1711,726.745582
Pakistan,PAK,1,0,0,1,1968,Mexico City,MEX,8041999160,Pakistan,North,East,3637.034033,9453.034885,3509.592327,8160.205178,2474.85735,10447.26027,2928.095499,3911.822101,8598.987912,6303.435514,2725.64684,2391.214242,4181.826383,7442.963227,3637.034033
Germany,DEU,5,11,10,26,1968,Mexico City,MEX,0,Germany,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785
Sweden,SWE,2,1,1,4,1968,Mexico City,MEX,31066819929,Sweden,North,East,6835.886355,6965.445894,840.4798442,5197.250774,1086.142946,7640.034601,6112.028674,1503.346409,5861.369457,9701.36456,1520.955875,5528.906607,1125.672413,6577.588157,6835.886355
Greece,GRC,0,0,1,1,1968,Mexico City,MEX,10090675903,Greece,North,East,6345.328465,6810.891865,975.5308696,5434.583731,1447.592636,7740.653077,5626.014846,1191.790232,5894.536993,8541.551997,0,5065.428159,1597.437237,5536.760728,6345.328465
Cuba,CUB,0,4,0,4,1968,Mexico City,MEX,0,Cuba,North,West,12145.25931,959.7442546,5405.504836,1589.019027,6900.018534,2107.325425,11438.33193,4777.760803,745.7027539,13337.29637,5856.225524,10893.17319,4892.460575,3823.071369,12145.25931
United Kingdom,GBR,5,5,3,13,1968,Mexico City,MEX,1.0776E+11,United Kingdom,North,West,7703.968961,5845.682904,672.7454291,4143.169369,2061.448482,6562.775491,6977.307506,698.5270459,4762.576734,10138.65589,1597.437237,6399.345926,0,5639.574982,7703.968961
Cameroon,CMR,0,1,0,1,1968,Mexico City,MEX,1046191192,Cameroon,North,East,7348.660545,6127.096655,3080.1856,5560.694684,3855.419933,7382.937537,6706.052031,2662.023508,5628.709012,8059.947265,2442.711544,6241.863267,3360.488213,3490.276702,7348.660545
Bulgaria,BGR,2,4,3,9,1968,Mexico City,MEX,0,Bulgaria,North,East,6375.306752,6867.582742,746.1045184,5396.946733,1183.851472,7744.343588,5651.319682,1150.565063,5905.006345,8751.145986,336.3297301,5081.741124,1410.485748,5785.377927,6375.306752
Brazil,BRA,0,1,2,3,1968,Mexico City,MEX,33875881876,Brazil,South,West,10813.30687,3693.901245,5448.606277,4476.475126,6740.502771,5154.81836,10177.04931,4770.980821,3947.154167,10926.30828,5332.087331,9713.367679,5290.56266,566.3305179,10813.30687
United States,USA,45,28,34,107,1968,Mexico City,MEX,9.425E+11,United States,North,West,11833.78191,1869.600659,4870.776436,393.7513086,6335.992081,2286.644968,11113.64006,4324.97978,585.3087828,13461.12519,5488.563128,10549.84124,4276.178945,4712.161285,11833.78191
New Zealand,NZL,1,0,2,3,1968,Mexico City,MEX,5180597621,New Zealand,South,East,5633.175948,15503.5678,10817.74758,14901.59198,10022.90373,16800.39824,6014.854576,10995.36704,15046.35597,1363.195659,9872.18615,6413.627205,11467.58087,11946.09641,5633.175948
Canada,CAN,1,3,1,5,1968,Mexico City,MEX,71829810520,Canada,North,West,11761.45096,2215.276999,4754.326022,17.85869536,6197.178624,2462.817034,11038.50466,4244.864848,933.6493084,13525.33305,5424.860063,10469.8937,4136.60053,5023.162376,11761.45096
Norway,NOR,1,1,0,2,1968,Mexico City,MEX,10159934137,Norway,North,East,7244.041585,6597.650799,789.7038605,4795.701101,1495.737142,7243.423025,6519.505523,1332.100898,5475.721879,10030.82783,1674.107286,5936.572968,804.9982622,6398.772343,7244.041585
Ethiopia,ETH,1,1,0,2,1968,Mexico City,MEX,0,Ethiopia,North,East,5825.236731,7541.375715,3071.432443,6713.587097,3204.202646,8726.251177,5190.225418,2984.306758,6919.135525,6832.509437,2133.215973,4740.553289,3598.175808,4969.84163,5825.236731
Chinese Taipei,TPE,0,0,1,1,1968,Mexico City,MEX,,,,,,,,,,,,,,,,,,,
Jamaica,JAM,0,1,0,1,1968,Mexico City,MEX,1083883355,Jamaica,North,West,11864.67244,1236.734863,5239.56893,1898.1793,6731.907691,2533.832026,11163.59644,4588.574072,1169.020544,12937.85528,5622.544845,10625.97286,4766.776959,3358.553399,11864.67244
Italy,ITA,3,4,9,16,1968,Mexico City,MEX,87942231678,Italy,North,East,6965.601489,6274.19585,457.0470028,4804.931403,1671.339599,7145.651673,6242.692758,552.6489258,5306.023586,9198.202937,668.2934621,5675.147349,955.5483159,5380.124554,6965.601489
Japan,JPN,11,7,7,25,1968,Mexico City,MEX,1.46601E+11,,North,East,0,13085.252,7045.276098,11770.5309,5749.743872,14081.24317,726.745582,7516.740596,12233.30886,4840.279356,6345.328465,1307.919095,7703.968961,10769.55288,0
Iran,IRN,2,1,2,5,1968,Mexico City,MEX,8623172960,Iran,North,East,4823.938424,8287.941294,2339.062511,6961.793767,1576.846874,9257.380845,4107.946907,2713.733005,7409.591644,7254.599739,1527.219054,3554.869761,3011.220363,6543.354447,4823.938424
Switzerland,CHE,0,1,4,5,1968,Mexico City,MEX,18942729779,Switzerland,North,East,7266.357867,6107.655201,258.5672781,4524.212451,1752.428395,6907.624089,6540.694834,453.4240889,5082.748138,9621.005369,1079.457978,5966.725534,519.0484637,5529.126736,7266.357867
India,IND,0,0,1,1,1968,Mexico City,MEX,53085455871,India,North,East,3450.654954,9642.938962,3830.183598,8420.785316,2865.1176,10674.39927,2765.282337,4190.254101,8826.80147,5899.440123,2998.497325,2268.419035,4502.711561,7460.785766,3450.654954
Hungary,HUN,10,10,12,32,1968,Mexico City,MEX,0,Hungary,North,East,6633.310595,6735.868911,412.0573183,5167.728171,1146.897866,7551.497706,5907.045601,1007.55419,5724.574891,9134.012281,711.9441677,5331.207495,1080.010402,5916.371169,6633.310595
Uganda,UGA,0,1,1,2,1968,Mexico City,MEX,1037815126,Uganda,North,East,6352.026956,7293.2373,3495.969768,6667.727509,3822.208406,8544.891933,5745.464452,3283.89048,6778.799738,6904.98198,2623.993206,5325.133877,3947.281776,4418.435536,6352.026956
Kenya,KEN,3,4,2,9,1968,Mexico City,MEX,1353295458,Kenya,South,East,6180.346418,7534.91925,3663.960524,6913.67838,3907.068774,8790.313582,5586.393433,3483.27501,7025.59752,6658.214324,2766.641737,5180.772477,4137.111253,4600.32871,6180.346418
Pakistan,PAK,0,1,0,1,1972,Munich,DEU,9415016360,Pakistan,North,East,3637.034033,9453.034885,3509.592327,8160.205178,2474.85735,10447.26027,2928.095499,3911.822101,8598.987912,6303.435514,2725.64684,2391.214242,4181.826383,7442.963227,3637.034033
Germany,DEU,20,23,23,66,1972,Munich,DEU,2.99802E+11,Germany,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785
Uganda,UGA,1,1,0,2,1972,Munich,DEU,1491596639,Uganda,North,East,6352.026956,7293.2373,3495.969768,6667.727509,3822.208406,8544.891933,5745.464452,3283.89048,6778.799738,6904.98198,2623.993206,5325.133877,3947.281776,4418.435536,6352.026956
Norway,NOR,2,1,1,4,1972,Munich,DEU,17358610850,Norway,North,East,7244.041585,6597.650799,789.7038605,4795.701101,1495.737142,7243.423025,6519.505523,1332.100898,5475.721879,10030.82783,1674.107286,5936.572968,804.9982622,6398.772343,7244.041585
Turkey,TUR,0,1,0,1,1972,Munich,DEU,20431095406,Turkey,North,East,5854.362249,7323.680996,1288.161151,5916.970404,1126.75407,8241.393981,5132.585459,1662.950453,6396.995306,8225.602013,514.4316727,4567.836208,1956.556338,5972.752883,5854.362249
Yugoslavia,YUG,2,1,2,5,1972,Munich,DEU,,,,,,,,,,,,,,,,,,,
Niger,NER,0,0,1,1,1972,Munich,DEU,742779740.4,Niger,North,East,7669.900708,5538.470967,2461.536935,4786.576102,3490.448945,6723.054039,6993.974709,1940.289296,4927.160741,8769.142214,2044.233168,6490.493189,2630.733781,3511.528091,7669.900708
United States,USA,33,31,30,94,1972,Munich,DEU,1.27911E+12,United States,North,West,11833.78191,1869.600659,4870.776436,393.7513086,6335.992081,2286.644968,11113.64006,4324.97978,585.3087828,13461.12519,5488.563128,10549.84124,4276.178945,4712.161285,11833.78191
Ghana,GHA,0,0,1,1,1972,Munich,DEU,2112292945,Ghana,North,West,7910.031782,5491.377936,3020.137658,4967.161993,4015.260288,6749.666377,7253.524372,2489.739004,5004.068073,8691.383116,2568.023923,6772.235236,3174.690047,3056.577938,7910.031782
Denmark,DNK,1,0,0,1,1972,Munich,DEU,23232379952,Denmark,North,East,7083.182967,6577.621265,503.3433966,4848.347592,1365.548789,7280.410025,6357.022542,1115.420174,5488.84764,9769.383098,1371.93215,5775.38342,731.9401851,6195.975155,7083.182967
Jamaica,JAM,0,0,1,1,1972,Munich,DEU,1875048860,Jamaica,North,West,11864.67244,1236.734863,5239.56893,1898.1793,6731.907691,2533.832026,11163.59644,4588.574072,1169.020544,12937.85528,5622.544845,10625.97286,4766.776959,3358.553399,11864.67244
France,FRA,2,4,7,13,1972,Munich,DEU,2.03494E+11,France,North,East,7556.722473,5888.888745,512.7500361,4251.284526,1978.195758,6651.180373,6830.559027,490.5927345,4836.118307,9924.52168,1383.900092,6254.959901,232.4547227,5514.953898,7556.722473
Romania,ROU,3,6,7,16,1972,Munich,DEU,0,Romania,North,East,6228.097396,7051.390932,836.5549451,5551.830735,986.0993251,7912.450468,5502.835655,1321.603461,6076.26716,8702.45026,483.5920645,4930.228611,1509.274895,5982.617879,6228.097396
Finland,FIN,3,1,4,8,1972,Munich,DEU,14743186120,Finland,North,East,6482.014653,7342.902147,1107.26077,5585.00046,746.7650967,8027.166633,5760.047999,1798.184727,6245.868187,9463.102949,1559.687466,5176.841428,1497.672561,6834.621887,6482.014653
Mexico,MEX,0,1,0,1,1972,Munich,DEU,45200000000,Mexico,North,West,13085.252,0,6364.498871,2223.440536,7858.834811,1463.565709,12380.98084,5737.41412,1285.687064,14148.98813,6810.891865,11838.94405,5845.682904,4215.212132,13085.252
Sweden,SWE,4,6,6,16,1972,Munich,DEU,48954145809,Sweden,North,East,6835.886355,6965.445894,840.4798442,5197.250774,1086.142946,7640.034601,6112.028674,1503.346409,5861.369457,9701.36456,1520.955875,5528.906607,1125.672413,6577.588157,6835.886355
Brazil,BRA,0,0,2,2,1972,Munich,DEU,58539008786,Brazil,South,West,10813.30687,3693.901245,5448.606277,4476.475126,6740.502771,5154.81836,10177.04931,4770.980821,3947.154167,10926.30828,5332.087331,9713.367679,5290.56266,566.3305179,10813.30687
Russia,RUS,50,27,22,99,1972,Munich,DEU,0,Russia,North,East,5749.743872,7858.834811,1494.716181,6203.539526,0,8622.58711,5025.941222,2151.918173,6813.557769,8753.948266,1447.592636,4442.798842,2061.448482,6968.657073,5749.743872
Italy,ITA,5,3,10,18,1972,Munich,DEU,1.4526E+11,Italy,North,East,6965.601489,6274.19585,457.0470028,4804.931403,1671.339599,7145.651673,6242.692758,552.6489258,5306.023586,9198.202937,668.2934621,5675.147349,955.5483159,5380.124554,6965.601489
South Korea,KOR,0,1,0,1,1972,Munich,DEU,10862327878,South Korea,North,East,726.745582,12380.98084,6318.972954,11047.48495,5025.941222,13364.69711,0,6794.252899,11517.21381,5093.35796,5626.014846,583.2324219,6977.307506,10153.1711,726.745582
