Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020,Population,Life Expectancy
Ethiopia,ETH,1,1,0,2,1968,Mexico City,MEX,,North,East,5825.236731,7541.375715,3071.432443,6713.587097,3204.202646,8726.251177,5190.225418,2984.306758,6919.135525,6832.509437,2133.215973,4740.553289,3598.175808,4969.84163,5825.236731,26944386.0,42.355
Chinese Taipei,TPE,0,0,1,1,1968,Mexico City,MEX,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,10,10,12,32,1968,Mexico City,MEX,,North,East,6633.310595,6735.868911,412.0573183,5167.728171,1146.897866,7551.497706,5907.045601,1007.55419,5724.574891,9134.012281,711.9441677,5331.207495,1080.010402,5916.371169,6633.310595,10255815.0,69.2302439
Yugoslavia,YUG,2,1,2,5,1972,Munich,DEU,,,,,,,,,,,,,,,,,,,,
Romania,ROU,3,6,7,16,1972,Munich,DEU,,North,East,6228.097396,7051.390932,836.5549451,5551.830735,986.0993251,7912.450468,5502.835655,1321.603461,6076.26716,8702.45026,483.5920645,4930.228611,1509.274895,5982.617879,6228.097396,20657957.0,68.4702439
Russia,RUS,50,27,22,99,1972,Munich,DEU,,North,East,5749.743872,7858.834811,1494.716181,6203.539526,0.0,8622.58711,5025.941222,2151.918173,6813.557769,8753.948266,1447.592636,4442.798842,2061.448482,6968.657073,5749.743872,131909000.0,68.30853659
Bulgaria,BGR,6,10,5,21,1972,Munich,DEU,,North,East,6375.306752,6867.582742,746.1045184,5396.946733,1183.851472,7744.343588,5651.319682,1150.565063,5905.006345,8751.145986,336.3297301,5081.741124,1410.485748,5785.377927,6375.306752,8576200.0,70.8995122
Switzerland,CHE,0,3,0,3,1972,Munich,DEU,,North,East,7266.357867,6107.655201,258.5672781,4524.212451,1752.428395,6907.624089,6540.694834,453.4240889,5082.748138,9621.005369,1079.457978,5966.725534,519.0484637,5529.126736,7266.357867,6260956.0,73.64439024
Mongolia,MNG,0,1,0,1,1972,Munich,DEU,,,,,,,,,,,,,,,,,,,1356673.0,56.192
Lebanon,LBN,0,1,0,1,1972,Munich,DEU,,North,East,5698.895203,7405.095953,1641.637932,6110.127458,1516.575796,8383.906777,4985.800755,1888.973336,6535.637629,7853.243675,704.7795702,4436.084209,2289.322359,5790.279213,5698.895203,2417837.0,66.565
North Korea,PRK,1,1,3,5,1972,Munich,DEU,,North,East,818.0765882,12328.86427,6240.433449,10976.41656,4932.966251,13301.83066,139.2035301,6724.770867,11455.00145,5229.235973,5561.440052,497.8727621,6896.2761,10144.60384,818.0765882,15207765.0,61.379
Ethiopia,ETH,0,0,2,2,1972,Munich,DEU,,North,East,5825.236731,7541.375715,3071.432443,6713.587097,3204.202646,8726.251177,5190.225418,2984.306758,6919.135525,6832.509437,2133.215973,4740.553289,3598.175808,4969.84163,5825.236731,30140799.0,43.465
Poland,POL,7,5,9,21,1972,Munich,DEU,,North,East,6576.973455,6939.959522,583.3806667,5292.530216,921.6337616,7704.178945,5850.361181,1267.358097,5892.391824,9260.500138,1012.895054,5269.89858,1150.557363,6251.798635,6576.973455,33055650.0,70.66585366
Czech Republic,CZE,2,4,2,8,1972,Munich,DEU,,North,East,6919.883139,6543.201481,195.3102579,4912.576129,1316.716415,7316.092586,6193.192198,888.7777768,5500.322491,9459.116375,997.4287297,5615.044697,784.3676487,5929.78558,6919.883139,9867632.0,70.17658537
Hungary,HUN,6,13,16,35,1972,Munich,DEU,,North,East,6633.310595,6735.868911,412.0573183,5167.728171,1146.897866,7551.497706,5907.045601,1007.55419,5724.574891,9134.012281,711.9441677,5331.207495,1080.010402,5916.371169,6633.310595,10398489.0,69.66463415
Bulgaria,BGR,6,9,7,22,1976,Montreal,CAN,,North,East,6375.306752,6867.582742,746.1045184,5396.946733,1183.851472,7744.343588,5651.319682,1150.565063,5905.006345,8751.145986,336.3297301,5081.741124,1410.485748,5785.377927,6375.306752,8758599.0,71.39487805
Romania,ROU,4,9,14,27,1976,Montreal,CAN,,North,East,6228.097396,7051.390932,836.5549451,5551.830735,986.0993251,7912.450468,5502.835655,1321.603461,6076.26716,8702.45026,483.5920645,4930.228611,1509.274895,5982.617879,6228.097396,21551634.0,69.69878049
Trinidad and Tobago,TTO,1,0,0,1,1976,Montreal,CAN,2500410584.0,,,,,,,,,,,,,,,,,,1025104.0,65.782
Mongolia,MNG,0,1,0,1,1976,Montreal,CAN,,,,,,,,,,,,,,,,,,,1520868.0,56.848
Russia,RUS,49,41,35,125,1976,Montreal,CAN,,North,East,5749.743872,7858.834811,1494.716181,6203.539526,0.0,8622.58711,5025.941222,2151.918173,6813.557769,8753.948266,1447.592636,4442.798842,2061.448482,6968.657073,5749.743872,135147000.0,67.48756098
North Korea,PRK,1,1,0,2,1976,Montreal,CAN,,North,East,818.0765882,12328.86427,6240.433449,10976.41656,4932.966251,13301.83066,139.2035301,6724.770867,11455.00145,5229.235973,5561.440052,497.8727621,6896.2761,10144.60384,818.0765882,16554744.0,64.206
Bermuda,BMU,0,0,1,1,1976,Montreal,CAN,386300000.0,,,,,,,,,,,,,,,,,,53200.0,
Poland,POL,7,6,13,26,1976,Montreal,CAN,,North,East,6576.973455,6939.959522,583.3806667,5292.530216,921.6337616,7704.178945,5850.361181,1267.358097,5892.391824,9260.500138,1012.895054,5269.89858,1150.557363,6251.798635,6576.973455,34356300.0,70.65609756
Yugoslavia,YUG,2,3,3,8,1976,Montreal,CAN,,,,,,,,,,,,,,,,,,,,
Hungary,HUN,4,5,13,22,1976,Montreal,CAN,,North,East,6633.310595,6735.868911,412.0573183,5167.728171,1146.897866,7551.497706,5907.045601,1007.55419,5724.574891,9134.012281,711.9441677,5331.207495,1080.010402,5916.371169,6633.310595,10598677.0,69.57317073
Czech Republic,CZE,2,2,4,8,1976,Montreal,CAN,,North,East,6919.883139,6543.201481,195.3102579,4912.576129,1316.716415,7316.092586,6193.192198,888.7777768,5500.322491,9459.116375,997.4287297,5615.044697,784.3676487,5929.78558,6919.883139,10125939.0,70.53268293
Switzerland,CHE,1,1,2,4,1976,Montreal,CAN,,North,East,7266.357867,6107.655201,258.5672781,4524.212451,1752.428395,6907.624089,6540.694834,453.4240889,5082.748138,9621.005369,1079.457978,5966.725534,519.0484637,5529.126736,7266.357867,6302504.0,74.78536585
