Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Population,Life Expectancy,Average Distance to Games,Total Competitors,Total Medal Count,Total Win Ratio,Total Male Competitors,Male Wins,Male Medal Ratio,Total Female Competitors,Female Wins,Female Medal Ratio,Open Wins,Open Win Ratio
Japan,JPN,33,14,7,25,1968,Mexico City,MEX,146.601,North,East,101011000,71.61121951,6878.392656,171,25,0.14619883,146,24,0.164383562,25,1,0.04,0,0
Kenya,KEN,9,8,2,9,1968,Mexico City,MEX,1.353295458,South,East,10539909,51.446,5507.264521,39,9,0.230769231,36,9,0.25,3,0,0,0,0
South Korea,KOR,0,2,1,2,1968,Mexico City,MEX,6.119284294,North,East,30838302,59.94460976,6422.407919,54,2,0.037037037,41,2,0.048780488,13,0,0,0,0
Mexico,MEX,9,6,3,9,1968,Mexico City,MEX,29.36,North,West,48431971,60.536,7089.643002,275,9,0.032727273,233,7,0.030042918,42,2,0.047619048,0,0
Netherlands,NLD,9,6,1,7,1968,Mexico City,MEX,27.81760574,North,East,12729721,73.61268293,4712.2653,107,7,0.065420561,82,5,0.06097561,25,2,0.08,0,0
Norway,NOR,3,2,0,2,1968,Mexico City,MEX,10.15993414,North,East,3816486,73.94195122,4905.527072,46,2,0.043478261,38,1,0.026315789,8,0,0,0,0
New Zealand,NZL,3,0,2,3,1968,Mexico City,MEX,5.180597621,South,East,2748100,71.12439024,10162.12167,52,3,0.057692308,47,2,0.042553191,5,0,0,0,0
Pakistan,PAK,3,0,0,1,1968,Mexico City,MEX,8.04199916,North,East,55102690,51.457,5320.200653,15,1,0.066666667,15,1,0.066666667,0,0,0,0,0
Sweden,SWE,6,2,1,4,1968,Mexico City,MEX,31.06681993,North,East,7912273,73.97292683,4888.823928,100,4,0.04,86,3,0.034883721,14,0,0,0,0
Tunisia,TUN,3,0,1,2,1968,Mexico City,MEX,1.214666667,North,East,4845220,48.882,4575.978044,7,2,0.285714286,7,2,0.285714286,0,0,0,0,0
Turkey,TUR,6,0,0,2,1968,Mexico City,MEX,17.5,North,East,33256465,51.053,4669.026362,29,2,0.068965517,29,2,0.068965517,0,0,0,0,0
Uganda,UGA,0,2,1,2,1968,Mexico City,MEX,1.037815126,North,East,8841156,48.687,5437.071325,11,2,0.181818182,11,2,0.181818182,0,0,0,0,0
United States,USA,135,56,34,107,1968,Mexico City,MEX,942.5,North,West,200706000,69.95121951,6262.408512,357,107,0.299719888,274,66,0.240875912,83,33,0.397590361,8,0.022408964
Venezuela,VEN,3,0,0,1,1968,Mexico City,MEX,10.03444444,North,West,10702281,63.916,6249.581149,23,1,0.043478261,23,1,0.043478261,0,0,0,0,0
Argentina,ARG,0,2,0,1,1972,Munich,DEU,34.73300054,South,West,24653172,67.078,7691.760326,92,1,0.010869565,88,1,0.011363636,4,0,0,0,0
Australia,AUS,24,14,2,17,1972,Munich,DEU,51.96728972,South,East,13177000,71.45756098,8930.279555,168,17,0.101190476,139,5,0.035971223,29,10,0.344827586,2,0.011904762
Austria,AUT,0,2,2,3,1972,Munich,DEU,22.05961248,North,East,7544201,70.46341463,4604.985842,111,3,0.027027027,97,1,0.010309278,14,1,0.071428571,1,0.009009009
Belgium,BEL,0,4,0,2,1972,Munich,DEU,37.20941802,North,East,9711115,71.40512195,4675.567093,88,2,0.022727273,82,2,0.024390244,6,0,0,0,0
Brazil,BRA,0,0,2,2,1972,Munich,DEU,58.53900879,South,West,99859388,59.739,6524.317219,81,2,0.024691358,78,2,0.025641026,3,0,0,0,0
Canada,CAN,0,4,3,5,1972,Munich,DEU,113.083,North,West,22218463,72.93390244,6264.481855,208,5,0.024038462,158,2,0.012658228,50,2,0.04,1,0.004807692
Colombia,COL,0,2,2,3,1972,Munich,DEU,8.671358733,North,West,22516429,63.105,6596.774323,59,3,0.050847458,55,2,0.036363636,4,0,0,0,0
Cuba,CUB,9,2,4,8,1972,Munich,DEU,8.135150892,North,West,9025347,70.787,6467.743547,137,8,0.058394161,109,6,0.055045872,28,2,0.071428571,0,0
Germany,DEU,60,46,23,66,1972,Munich,DEU,299.802,North,East,78688452,70.867,4684.012143,721,106,0.147018031,572,55,0.096153846,149,40,0.268456376,11,0.015256588
Germany,DEU,39,22,16,40,1972,Munich,DEU,299.802,North,East,78688452,70.867,4684.012143,721,106,0.147018031,572,55,0.096153846,149,40,0.268456376,11,0.015256588
Denmark,DNK,3,0,0,1,1972,Munich,DEU,23.23237995,North,East,4991596,73.43902439,4769.836091,126,1,0.007936508,114,1,0.00877193,12,0,0,0,0
Spain,ESP,0,0,1,1,1972,Munich,DEU,59.13241522,North,West,34604469,72.81804878,4676.218313,123,1,0.008130081,118,1,0.008474576,5,0,0,0,0
Finland,FIN,9,2,4,8,1972,Munich,DEU,14.74318612,North,East,4639657,70.70731707,4940.610108,96,8,0.083333333,89,8,0.08988764,7,0,0,0,0
France,FRA,6,8,7,13,1972,Munich,DEU,203.494,North,East,52793151,72.10731707,4657.586983,227,13,0.057268722,197,10,0.050761421,30,0,0,0,0
United Kingdom,GBR,12,10,9,18,1972,Munich,DEU,169.965,North,West,56086065,72.12439024,4727.145661,284,18,0.063380282,210,11,0.052380952,74,1,0.013513514,6,0.021126761
Ghana,GHA,0,0,1,1,1972,Munich,DEU,2.112292945,North,West,9229640,49.912,5271.593968,35,1,0.028571429,33,1,0.03030303,2,0,0,0,0
Greece,GRC,0,4,0,2,1972,Munich,DEU,16.88551136,North,East,8888628,71.535,4570.22862,60,2,0.033333333,58,1,0.017241379,2,0,0,0,0
India,IND,0,0,1,1,1972,Munich,DEU,71.46319383,North,East,581087255,49.061,5416.461758,41,1,0.024390244,40,1,0.025,1,0,0,0,0
Iran,IRN,0,4,1,3,1972,Munich,DEU,17.15346326,North,East,30075295,52.559,4946.229137,48,3,0.0625,48,3,0.0625,0,0,0,0,0
Italy,ITA,15,6,10,18,1972,Munich,DEU,145.26,North,East,54381345,72.07536585,4550.870026,224,18,0.080357143,197,8,0.040609137,27,5,0.185185185,5,0.022321429
Jamaica,JAM,0,0,1,1,1972,Munich,DEU,1.87504886,North,West,1935089,68.491,6373.497473,33,1,0.03030303,21,1,0.047619048,12,0,0,0,0
Japan,JPN,39,16,8,29,1972,Munich,DEU,318.031,North,East,107188000,73.50658537,6878.392656,184,29,0.157608696,148,27,0.182432432,36,2,0.055555556,0,0
Kenya,KEN,6,6,4,9,1972,Munich,DEU,2.107279157,South,East,12146070,53.674,5507.264521,57,9,0.157894737,55,9,0.163636364,2,0,0,0,0
South Korea,KOR,0,2,0,1,1972,Munich,DEU,10.86232788,North,East,33505406,63.0097561,6422.407919,42,1,0.023809524,32,1,0.03125,10,0,0,0,0
Mexico,MEX,0,2,0,1,1972,Munich,DEU,45.2,North,West,54689944,62.327,7089.643002,174,1,0.005747126,152,1,0.006578947,22,0,0,0,0
Niger,NER,0,0,1,1,1972,Munich,DEU,0.74277974,North,East,4768225,36.203,5043.162906,4,1,0.25,4,1,0.25,0,0,0,0,0
Nigeria,NGA,0,0,1,1,1972,Munich,DEU,12.27441602,North,East,58665813,41.829,5132.154627,25,1,0.04,20,1,0.05,5,0,0,0,0
Netherlands,NLD,9,2,1,5,1972,Munich,DEU,54.70655726,North,East,13328593,73.72707317,4712.2653,119,5,0.042016807,90,4,0.044444444,29,1,0.034482759,0,0
Norway,NOR,6,2,1,4,1972,Munich,DEU,17.35861085,North,East,3933004,74.34463415,4905.527072,112,4,0.035714286,101,4,0.03960396,11,0,0,0,0
New Zealand,NZL,3,2,1,3,1972,Munich,DEU,9.567331065,South,East,2903900,71.82926829,10162.12167,89,3,0.033707865,82,3,0.036585366,7,0,0,0,0
Pakistan,PAK,0,2,0,1,1972,Munich,DEU,9.41501636,North,East,61381982,53.699,5320.200653,25,1,0.04,25,1,0.04,0,0,0,0,0
Sweden,SWE,12,12,6,16,1972,Munich,DEU,48.95414581,North,East,8122300,74.71804878,4888.823928,131,16,0.122137405,104,9,0.086538462,27,2,0.074074074,5,0.038167939
Tunisia,TUN,0,2,0,1,1972,Munich,DEU,2.23747642,North,East,5291335,53.452,4575.978044,35,1,0.028571429,35,1,0.028571429,0,0,0,0,0
Turkey,TUR,0,2,0,1,1972,Munich,DEU,20.43109541,North,East,36587267,53.492,4669.026362,43,1,0.023255814,42,1,0.023809524,1,0,0,0,0
Uganda,UGA,3,2,0,2,1972,Munich,DEU,1.491596639,North,East,9929644,49.558,5437.071325,33,2,0.060606061,31,2,0.064516129,2,0,0,0,0
United States,USA,99,62,30,94,1972,Munich,DEU,1279.11,North,West,209896000,71.15609756,6262.408512,400,94,0.235,316,62,0.196202532,84,22,0.261904762,10,0.025
Australia,AUS,0,2,4,5,1976,Montreal,CAN,104.921,South,East,14033000,73.01463415,8930.279555,180,5,0.027777778,146,2,0.01369863,34,0,0,0,0
Belgium,BEL,0,6,3,6,1976,Montreal,CAN,71.11388297,North,East,9818227,72.1197561,4675.567093,101,6,0.059405941,75,4,0.053333333,26,0,0,0,0
Brazil,BRA,0,0,2,2,1976,Montreal,CAN,152.678,South,West,109790943,61.243,6524.317219,79,2,0.025316456,72,1,0.013888889,7,0,0,0,0
Canada,CAN,0,10,6,11,1976,Montreal,CAN,206.576,North,West,23449808,73.85609756,6264.481855,385,11,0.028571429,261,3,0.011494253,124,7,0.056451613,1,0.002597403
Cuba,CUB,18,8,3,13,1976,Montreal,CAN,13.7895799,North,West,9554186,72.543,6467.743547,156,13,0.083333333,132,13,0.098484848,24,0,0,0,0
Germany,DEU,30,24,17,39,1976,Montreal,CAN,519.754,North,East,78336950,71.63414634,4684.012143,557,129,0.231597846,387,55,0.142118863,170,55,0.323529412,19,0.034111311
Germany,DEU,120,50,25,90,1976,Montreal,CAN,519.754,North,East,78336950,71.63414634,4684.012143,557,129,0.231597846,387,55,0.142118863,170,55,0.323529412,19,0.034111311
Denmark,DNK,3,0,2,3,1976,Montreal,CAN,44.57589247,North,East,5072596,73.7397561,4769.836091,66,3,0.045454545,56,2,0.035714286,10,0,0,0,0
