Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020,Population,Life Expectancy
New Zealand,NZL,3,0,2,5,1964,Tokyo,JPN,7274144351.0,South,East,5633.175948,15503.5678,10817.74758,14901.59198,10022.90373,16800.39824,6014.854576,10995.36704,15046.35597,1363.195659,9872.18615,6413.627205,11467.58087,11946.09641,5633.175948,2585400.0,71.32926829
Czech Republic,CZE,5,6,3,14,1964,Tokyo,JPN,,North,East,6919.883139,6543.201481,195.3102579,4912.576129,1316.716415,7316.092586,6193.192198,888.7777768,5500.322491,9459.116375,997.4287297,5615.044697,784.3676487,5929.78558,6919.883139,9727804.0,70.4595122
Australia,AUS,6,2,10,18,1964,Tokyo,JPN,23764139321.0,South,East,4913.860856,14055.77408,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.02612,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856,11167000.0,70.88097561
Russia,RUS,30,31,35,96,1964,Tokyo,JPN,,North,East,5749.743872,7858.834811,1494.716181,6203.539526,0.0,8622.58711,5025.941222,2151.918173,6813.557769,8753.948266,1447.592636,4442.798842,2061.448482,6968.657073,5749.743872,125345000.0,67.5665122
Germany,DEU,10,22,18,50,1964,Tokyo,JPN,,North,East,6996.068785,6545.682423,301.1745652,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867,6034.938596,6996.068785,75318337.0,70.01370732
Poland,POL,7,6,10,23,1964,Tokyo,JPN,,North,East,6576.973455,6939.959522,583.3806667,5292.530216,921.6337616,7704.178945,5850.361181,1267.358097,5892.391824,9260.500138,1012.895054,5269.89858,1150.557363,6251.798635,6576.973455,31139450.0,68.62926829
South Korea,KOR,0,2,1,3,1964,Tokyo,JPN,3458939358.0,North,East,726.745582,12380.98084,6318.972954,11047.48495,5025.941222,13364.69711,0.0,6794.252899,11517.21381,5093.35796,5626.014846,583.2324219,6977.307506,10153.1711,726.745582,27984155.0,57.44092683
France,FRA,1,8,6,15,1964,Tokyo,JPN,94007851047.0,North,East,7556.722473,5888.888745,512.7500361,4251.284526,1978.195758,6651.180373,6830.559027,490.5927345,4836.118307,9924.52168,1383.900092,6254.959901,232.4547227,5514.953898,7556.722473,49230585.0,70.66341463
Mexico,MEX,0,0,1,1,1964,Tokyo,JPN,20080000000.0,North,West,13085.252,0.0,6364.498871,2223.440536,7858.834811,1463.565709,12380.98084,5737.41412,1285.687064,14148.98813,6810.891865,11838.94405,5845.682904,4215.212132,13085.252,42771077.0,59.069
Finland,FIN,3,0,2,5,1964,Tokyo,JPN,7766655086.0,North,East,6482.014653,7342.902147,1107.26077,5585.00046,746.7650967,8027.166633,5760.047999,1798.184727,6245.868187,9463.102949,1559.687466,5176.841428,1497.672561,6834.621887,6482.014653,4548543.0,69.22097561
Canada,CAN,1,2,1,4,1964,Tokyo,JPN,49377522897.0,North,West,11761.45096,2215.276999,4754.326022,17.85869536,6197.178624,2462.817034,11038.50466,4244.864848,933.6493084,13525.33305,5424.860063,10469.8937,4136.60053,5023.162376,11761.45096,19325000.0,71.77634146
Trinidad and Tobago,TTO,0,1,2,3,1964,Tokyo,JPN,711893367.6,,,,,,,,,,,,,,,,,,902620.0,63.663
