Country Code,Male,Female,Total,Year
HUN,187,45,232,1972
IDN,3,3,6,1972
IND,40,1,41,1972
IRL,51,8,59,1972
IRN,48,0,48,1972
ISL,24,1,25,1972
ISR,12,2,14,1972
ITA,197,27,224,1972
JAM,21,12,33,1972
JPN,148,36,184,1972
KEN,55,2,57,1972
KOR,32,10,42,1972
KWT,4,0,4,1972
LBN,17,2,19,1972
LBR,5,0,5,1972
LIE,6,0,6,1972
LKA,4,0,4,1972
LSO,1,0,1,1972
LUX,10,1,11,1972
MAR,33,2,35,1972
MDG,11,0,11,1972
MEX,152,22,174,1972
MLI,3,0,3,1972
MLT,5,0,5,1972
MMR,18,0,18,1972
MNG,42,2,44,1972
MWI,13,3,16,1972
MYS,42,3,45,1972
NER,4,0,4,1972
NGA,20,5,25,1972
NIC,7,1,8,1972
NLD,90,29,119,1972
NOR,101,11,112,1972
NPL,2,0,2,1972
NZL,82,7,89,1972
PAK,25,0,25,1972
PAN,7,0,7,1972
PER,17,3,20,1972
PHL,48,5,53,1972
POL,252,38,290,1972
PRI,53,0,53,1972
PRK,23,14,37,1972
PRT,29,0,29,1972
PRY,3,0,3,1972
ROU,132,27,159,1972
RUS,298,73,371,1972
SAU,10,0,10,1972
SDN,26,0,26,1972
SEN,38,0,38,1972
SGP,5,2,7,1972
SLV,11,0,11,1972
SMR,7,0,7,1972
SOM,3,0,3,1972
SUR,2,0,2,1972
SWE,104,27,131,1972
SWZ,2,0,2,1972
SYR,4,1,5,1972
TCD,4,0,4,1972
TGO,7,0,7,1972
THA,33,0,33,1972
TTO,18,1,19,1972
TUN,35,0,35,1972
TUR,42,1,43,1972
TWN,15,6,21,1972
TZA,15,0,15,1972
UGA,31,2,33,1972
URY,10,3,13,1972
USA,316,84,400,1972
VEN,20,3,23,1972
VIR,16,0,16,1972
VNM,1,1,2,1972
ZMB,8,3,11,1972
AND,3,0,3,1976
ARG,65,4,69,1976
ATG,14,0,14,1976
AUS,146,34,180,1976
AUT,54,6,60,1976
BEL,75,26,101,1976
BGR,105,53,158,1976
BHS,10,1,11,1976
BLZ,4,0,4,1976
BMU,15,1,16,1976
BOL,4,0,4,1976
BRA,72,7,79,1976
BRB,9,2,11,1976
CAN,261,124,385,1976
CHE,47,3,50,1976
CHL,7,0,7,1976
CIV,7,1,8,1976
CMR,4,0,4,1976
COL,32,3,35,1976
CRI,4,1,5,1976
CUB,132,24,156,1976
CYM,2,0,2,1976
CZE,125,38,163,1976
DEU,387,170,557,1976
DNK,56,10,66,1976
DOM,9,1,10,1976
ECU,5,0,5,1976
EGY,26,0,26,1976
ESP,103,10,113,1976
FIN,77,6,83,1976
FJI,1,1,2,1976
FRA,177,29,206,1976
GBR,176,66,242,1976
GRC,34,2,36,1976
GTM,26,2,28,1976
HKG,23,2,25,1976
HND,3,0,3,1976
HRV,83,5,88,1976
HTI,10,3,13,1976
HUN,124,54,178,1976
IDN,5,2,7,1976
IND,26,0,26,1976
IRL,41,3,44,1976
IRN,80,4,84,1976
ISL,9,4,13,1976
ISR,24,2,26,1976
ITA,183,27,210,1976
JAM,11,9,20,1976
JPN,153,60,213,1976
KOR,38,12,50,1976
KWT,15,0,15,1976
LBN,3,0,3,1976
LIE,4,2,6,1976
LUX,8,0,8,1976
MAR,9,0,9,1976
MCO,8,0,8,1976
MEX,92,5,97,1976
MNG,30,2,32,1976
MYS,23,0,23,1976
NIC,15,0,15,1976
NLD,72,36,108,1976
NOR,60,6,66,1976
NPL,1,0,1,1976
NZL,71,9,80,1976
PAK,24,0,24,1976
PAN,7,1,8,1976
PER,0,13,13,1976
PHL,13,1,14,1976
PNG,6,0,6,1976
POL,180,27,207,1976
PRI,73,7,80,1976
PRK,36,2,38,1976
PRT,19,0,19,1976
PRY,4,0,4,1976
ROU,103,54,157,1976
RUS,285,125,410,1976
SAU,14,0,14,1976
SEN,19,2,21,1976
SGP,3,1,4,1976
SMR,8,2,10,1976
SUR,3,0,3,1976
SWE,99,17,116,1976
THA,39,3,42,1976
TTO,13,0,13,1976
TUN,14,1,15,1976
TUR,26,1,27,1976
URY,7,2,9,1976
USA,278,118,396,1976
VEN,23,9,32,1976
VIR,19,2,21,1976
AFG,11,0,11,1980
AGO,10,1,11,1980
AND,2,0,2,1980
AUS,92,28,120,1980
AUT,64,19,83,1980
BEL,43,16,59,1980
BEN,15,1,16,1980
BGR,183,88,271,1980
BRA,91,15,106,1980
BWA,7,0,7,1980
CHE,67,6,73,1980
CMR,22,3,25,1980
COG,9,14,23,1980
COL,23,0,23,1980
CRI,28,1,29,1980
CUB,175,33,208,1980
CYP,12,2,14,1980
CZE,162,47,209,1980
DEU,222,124,346,1980
DNK,91,8,99,1980
DOM,5,1,6,1980
DZA,54,0,54,1980
ECU,11,1,12,1980
ESP,146,9,155,1980
ETH,39,2,41,1980
FIN,99,6,105,1980
FRA,98,23,121,1980
GBR,149,70,219,1980
GIN,9,0,9,1980
GRC,38,3,41,1980
GTM,10,0,10,1980
GUY,7,1,8,1980
HRV,136,28,164,1980
HUN,182,81,263,1980
IND,56,16,72,1980
IRL,44,3,47,1980
IRQ,43,0,43,1980
ISL,9,0,9,1980
ITA,121,38,159,1980
JAM,11,7,18,1980
JOR,4,0,4,1980
KWT,56,0,56,1980
LAO,17,2,19,1980
LBN,15,0,15,1980
LBY,27,2,29,1980
LKA,4,0,4,1980
LSO,5,0,5,1980
LUX,3,0,3,1980
MDG,8,3,11,1980
MEX,36,9,45,1980
MLI,6,1,7,1980
