,Country,Country Code,Gold,Silver,Bronze,Total,Year,Host_City,Host_Country,GDP,Latitude Hemisphere,Longitude Hemisphere,Population,Life Expectancy,Average Distance to Games
298,United Kingdom,GBR,5,10,9,24,1988,Seoul,KOR,910.123,North,West,56928327.0,75.3804878,4727.1456612
299,Sweden,SWE,0,4,7,11,1988,Seoul,KOR,206.987,North,East,8436489.0,76.97926829,4888.82392808
301,Canada,CAN,3,2,5,10,1988,Seoul,KOR,507.354,North,West,26791747.0,76.9195122,6264.481855317333
302,Russia,RUS,55,31,46,132,1988,Seoul,KOR,554.713,North,East,146857000.0,69.46439024,4889.668522333333
303,Djibouti,DJI,0,0,1,1,1988,Seoul,KOR,0.3957945386,North,East,528993.0,56.271,5198.490481
304,Portugal,PRT,1,0,0,1,1988,Seoul,KOR,56.347250696,North,West,10019610.0,73.71463415,4772.601500306666
306,Kenya,KEN,5,2,2,9,1988,Seoul,KOR,8.355380879,South,East,22153685.0,58.422,5507.264520666667
307,Iran,IRN,0,1,0,1,1988,Seoul,KOR,123.058,North,East,53077312.0,60.516,4946.229137266666
308,Suriname,SUR,1,0,0,1,1988,Seoul,KOR,1.161,North,West,388877.0,67.233,6076.477344333333
309,Romania,ROU,4,6,8,18,1992,Barcelona,ESP,25.121666667,North,East,22794284.0,69.78439024,4620.2260788466665
310,South Korea,KOR,12,5,12,29,1992,Barcelona,ESP,355.525,North,East,43747962.0,72.49756098,6422.407918860001
311,Mexico,MEX,0,1,0,1,1992,Barcelona,ESP,363.158,North,West,87075136.0,71.61,7089.6430021333335
312,South Africa,ZAF,0,2,0,2,1992,Barcelona,ESP,134.545,South,East,38672611.0,63.247,6388.8926753333335
314,Germany,DEU,33,21,28,82,1992,Barcelona,ESP,2131.57,North,East,80624598.0,75.8195122,4684.012143373334
315,Greece,GRC,2,0,0,2,1992,Barcelona,ESP,116.225,North,East,10399061.0,77.38292683,4570.22862004
317,Ghana,GHA,0,0,1,1,1992,Barcelona,ESP,6.413901602,North,West,15653345.0,57.462,5271.593968333334
319,Denmark,DNK,1,1,4,6,1992,Barcelona,ESP,152.916,North,East,5171370.0,75.19414634,4769.836091046666
320,Finland,FIN,1,2,2,5,1992,Barcelona,ESP,112.533,North,East,5041992.0,75.45536585,4940.61010778
322,Australia,AUS,7,9,11,27,1992,Barcelona,ESP,324.884,South,East,17495000.0,77.37804878,8930.279554713334
323,Suriname,SUR,0,0,1,1,1992,Barcelona,ESP,0.4046,North,West,420658.0,67.59,6076.477344333333
324,Thailand,THA,0,0,1,1,1992,Barcelona,ESP,111.453,North,East,57811025.0,70.281,6073.180027466665
325,France,FRA,8,5,16,29,1992,Barcelona,ESP,1401.47,North,East,58851216.0,77.1,4657.586983086667
326,Ethiopia,ETH,1,0,2,3,1992,Barcelona,ESP,10.492993078,North,East,51423591.0,47.911,5218.3524252
327,Puerto Rico,PRI,0,0,1,1,1992,Barcelona,ESP,34.63043,North,West,3585176.0,73.94636585,6087.802239133333
328,Netherlands,NLD,2,6,7,15,1992,Barcelona,ESP,362.963,North,East,15184166.0,77.21707317,4712.265299573333
329,Hungary,HUN,11,12,7,30,1992,Barcelona,ESP,38.730585922,North,East,10369341.0,69.11707317,4606.2260906
330,Switzerland,CHE,1,0,0,1,1992,Barcelona,ESP,280.157,North,East,6875364.0,77.80609756,4591.695619313333
331,Kenya,KEN,2,4,2,8,1992,Barcelona,ESP,8.209129172,South,East,25326080.0,55.973,5507.264520666667
332,Austria,AUT,0,2,0,2,1992,Barcelona,ESP,195.078,North,East,7840709.0,75.81707317,4604.9858421
333,Cuba,CUB,14,6,11,31,1992,Barcelona,ESP,22.085858243,North,West,10736386.0,74.801,6467.743547433332
334,Turkey,TUR,2,2,2,6,1992,Barcelona,ESP,158.459,North,East,55748946.0,65.275,4669.0263621799995
335,Poland,POL,3,6,10,19,1992,Barcelona,ESP,94.337050693,North,East,38363667.0,71.0902439,4703.426059553332
336,Czech Republic,CZE,4,2,1,7,1992,Barcelona,ESP,34.80501323,North,East,10319123.0,72.27170732,4632.779909539999
337,Namibia,NAM,0,2,0,2,1992,Barcelona,ESP,3.429538518,South,East,1516951.0,61.165,6234.273930866665
339,Malaysia,MYS,0,0,1,1,1992,Barcelona,ESP,59.167550163,North,East,19002660.0,71.326,6345.212369933332
342,China,CHN,16,22,16,54,1992,Barcelona,ESP,426.916,North,East,1164970000.0,69.355,6152.341139926667
343,United States,USA,37,34,37,108,1992,Barcelona,ESP,6520.33,North,West,256514000.0,75.61707317,6262.408512226667
344,Spain,ESP,13,7,2,22,1992,Barcelona,ESP,630.916,North,West,39157685.0,77.41,4676.2183132733335
345,Japan,JPN,3,8,11,22,1992,Barcelona,ESP,3908.81,North,East,124425000.0,79.15390244,6878.392655666668
346,Colombia,COL,0,0,1,1,1992,Barcelona,ESP,58.418985443,North,West,34422568.0,70.161,6596.774323
348,Argentina,ARG,0,0,1,1,1992,Barcelona,ESP,228.789,South,West,33529320.0,72.032,7691.760326333334
349,New Zealand,NZL,1,4,5,10,1992,Barcelona,ESP,41.64982986,South,East,3531700.0,76.12439024,10162.121673733332
350,Indonesia,IDN,2,2,1,5,1992,Barcelona,ESP,128.027,South,East,187739786.0,63.131,6727.829790066666
351,Belgium,BEL,0,1,2,3,1992,Barcelona,ESP,234.782,North,East,10045158.0,76.35121951,4675.567093086667
352,Italy,ITA,6,5,8,19,1992,Barcelona,ESP,1320.16,North,East,56797087.0,77.4195122,4550.87002624
355,Pakistan,PAK,0,0,1,1,1992,Barcelona,ESP,48.884606848,North,East,113911126.0,60.68,5320.200652933334
356,Peru,PER,0,1,0,1,1992,Barcelona,ESP,35.966302303,South,West,22966822.0,67.33,7182.3416774666675
358,Bulgaria,BGR,3,7,6,16,1992,Barcelona,ESP,10.350515464,North,East,8540164.0,71.49439024,4584.094277499999
359,Nigeria,NGA,0,3,1,4,1992,Barcelona,ESP,47.794925815,North,East,100161708.0,45.857,5132.154626533334
360,Norway,NOR,2,4,1,7,1992,Barcelona,ESP,130.838,North,East,4286401.0,77.18439024,4905.527072446666
361,Brazil,BRA,2,1,0,3,1992,Barcelona,ESP,400.599,South,West,154259382.0,67.141,6524.317218993334
362,United Kingdom,GBR,5,3,12,20,1992,Barcelona,ESP,1179.66,North,West,57580402.0,76.43414634,4727.1456612
364,Canada,CAN,7,4,7,18,1992,Barcelona,ESP,592.388,North,West,28371264.0,77.72439024,6264.481855317333
365,Sweden,SWE,1,7,4,12,1992,Barcelona,ESP,284.321,North,East,8668067.0,77.99878049,4888.82392808
367,Algeria,DZA,1,0,1,2,1992,Barcelona,ESP,48.003078389,North,East,27028330.0,67.575,4616.55255802
368,Bahamas,BHS,0,0,1,1,1992,Barcelona,ESP,3.109,North,West,266028.0,70.807,6296.32602934
369,Qatar,QAT,0,0,1,1,1992,Barcelona,ESP,7.646153984,North,East,495403.0,76.241,5031.895296600001
370,Ireland,IRL,1,1,0,2,1992,Barcelona,ESP,55.927302693,North,West,3558430.0,75.18095122,4872.6161907666665
371,Jamaica,JAM,0,3,1,4,1992,Barcelona,ESP,3.53546009,North,West,2461047.0,73.727,6373.497472599998
372,Philippines,PHL,0,0,1,1,1992,Barcelona,ESP,52.976344929,North,East,65020124.0,67.239,6570.342239333335
373,Azerbaijan,AZE,0,1,0,1,1996,Atlanta,USA,3.176333837,North,East,7763000.0,65.573,4916.379435
374,Australia,AUS,9,9,23,41,1996,Atlanta,USA,400.303,South,East,18311000.0,78.07804878,8930.279554713334
375,India,IND,0,0,1,1,1996,Atlanta,USA,392.897,North,East,982365248.0,60.783,5416.461758133333
376,Germany,DEU,20,18,27,65,1996,Atlanta,USA,2497.24,North,East,81914831.0,76.67317073,4684.012143373334
377,Turkey,TUR,4,1,1,6,1996,Atlanta,USA,181.476,North,East,59423278.0,67.57,4669.0263621799995
378,Greece,GRC,4,4,0,8,1996,Atlanta,USA,145.862,North,East,10608800.0,77.68536585,4570.22862004
379,Denmark,DNK,4,1,1,6,1996,Atlanta,USA,187.632,North,East,5263074.0,75.59146341,4769.836091046666
380,Brazil,BRA,3,3,9,15,1996,Atlanta,USA,850.426,South,West,164614682.0,68.695,6524.317218993334
381,Burundi,BDI,1,0,0,1,1996,Atlanta,USA,0.8690338563,South,East,6060110.0,46.905,5532.1053902
382,Syria,SYR,1,0,0,1,1996,Atlanta,USA,13.789560878,North,East,14754148.0,72.205,4741.878703053333
383,Georgia,GEO,0,0,2,2,1996,Atlanta,USA,3.095047604,North,East,4491699.0,69.635,4838.941393200001
384,United States,USA,44,32,25,101,1996,Atlanta,USA,8073.12,North,West,269394000.0,76.02682927,6262.408512226667
385,Czech Republic,CZE,4,3,4,11,1996,Atlanta,USA,67.387788633,North,East,10315241.0,73.71463415,4632.779909539999
386,Ecuador,ECU,1,0,0,1,1996,Atlanta,USA,25.226393197,South,West,11703169.0,71.348,6849.429354733335
387,Thailand,THA,1,0,1,2,1996,Atlanta,USA,183.035,North,East,60130190.0,70.215,6073.180027466665
388,Argentina,ARG,0,2,1,3,1996,Atlanta,USA,272.15,South,West,35246376.0,72.843,7691.760326333334
389,Bulgaria,BGR,3,7,5,15,1996,Atlanta,USA,12.294221473,North,East,8362826.0,70.89731707,4584.094277499999
390,Ireland,IRL,3,0,1,4,1996,Atlanta,USA,75.786499496,North,West,3637510.0,75.83170732,4872.6161907666665
391,China,CHN,16,22,12,50,1996,Atlanta,USA,863.747,North,East,1217550000.0,70.14,6152.341139926667
392,Tonga,TON,0,1,0,1,1996,Atlanta,USA,0.22210057630000002,South,West,96267.0,69.41,11540.095172133335
393,Cuba,CUB,9,8,8,25,1996,Atlanta,USA,25.0173687,North,West,10939285.0,75.686,6467.743547433332
394,Israel,ISR,0,0,1,1,1996,Atlanta,USA,110.429,North,West,5692000.0,78.10487805,5276.838422866666
395,Finland,FIN,1,2,1,4,1996,Atlanta,USA,132.129,North,East,5124573.0,76.69341463,4940.61010778
396,Armenia,ARM,1,1,0,2,1996,Atlanta,USA,1.596968946,North,East,3168213.0,69.404,4833.087700466667
397,Indonesia,IDN,1,1,2,4,1996,Atlanta,USA,227.37,South,East,199901231.0,64.637,6727.829790066666
399,France,FRA,15,7,15,37,1996,Atlanta,USA,1605.68,North,East,59753095.0,77.95365854,4657.586983086667
400,Italy,ITA,13,10,12,35,1996,Atlanta,USA,1312.43,North,East,56860281.0,78.52195122,4550.87002624
401,Algeria,DZA,2,0,1,3,1996,Atlanta,USA,46.941582519,North,East,29266415.0,68.919,4616.55255802
402,Ethiopia,ETH,2,0,1,3,1996,Atlanta,USA,8.547939731,North,East,58883531.0,49.81,5218.3524252
403,United Kingdom,GBR,1,8,6,15,1996,Atlanta,USA,1415.39,North,West,58166950.0,77.08780488,4727.1456612
404,Sweden,SWE,2,4,2,8,1996,Atlanta,USA,291.744,North,East,8840998.0,78.95902439,4888.82392808
405,Iran,IRN,1,1,1,3,1996,Atlanta,USA,120.404,North,East,62294919.0,68.791,4946.229137266666
407,Canada,CAN,3,11,8,22,1996,Atlanta,USA,628.546,North,West,29610218.0,78.1804878,6264.481855317333
408,Costa Rica,CRI,1,0,0,1,1996,Atlanta,USA,11.678424512,North,West,3632361.0,76.765,6772.216453066667
409,Zambia,ZMB,0,1,0,1,1996,Atlanta,USA,3.597220962,South,East,9339740.0,43.735,5970.820348333334
410,Uzbekistan,UZB,0,1,1,2,1996,Atlanta,USA,13.948892216,North,East,23225000.0,66.494,5259.327183133332
411,Uganda,UGA,0,0,1,1,1996,Atlanta,USA,6.044585327,North,East,21032817.0,43.899,5437.071324866667
412,Belarus,BLR,1,6,8,15,1996,Atlanta,USA,14.756846154,North,East,10160000.0,68.51219512,4770.616006033334
414,Jamaica,JAM,1,3,2,6,1996,Atlanta,USA,7.393883555,North,West,2558631.0,74.167,6373.497472599998
415,Slovakia,SVK,1,1,1,3,1996,Atlanta,USA,27.925036755,North,East,5373361.0,72.65365854,4608.349577246667
417,Kenya,KEN,1,4,3,8,1996,Atlanta,USA,12.045858436,South,East,28589456.0,52.709,5507.264520666667
418,Namibia,NAM,0,2,0,2,1996,Atlanta,USA,3.989208671,South,East,1663378.0,57.179,6234.273930866665
419,Spain,ESP,5,6,6,17,1996,Atlanta,USA,642.589,North,West,39889852.0,78.1204878,4676.2183132733335
420,New Zealand,NZL,3,2,1,6,1996,Atlanta,USA,70.140835299,South,East,3732000.0,76.78780488,10162.121673733332
422,Romania,ROU,4,7,9,20,1996,Atlanta,USA,36.937074278,North,East,22619004.0,69.10487805,4620.2260788466665
423,Malaysia,MYS,0,1,1,2,1996,Atlanta,USA,100.855,North,East,21017619.0,71.972,6345.212369933332
424,Lithuania,LTU,0,0,1,1,1996,Atlanta,USA,8.382519637,North,East,3601613.0,70.10804878,4777.694243266667
425,Puerto Rico,PRI,0,0,1,1,1996,Atlanta,USA,45.340835,North,West,3724655.0,74.36146341,6087.802239133333
426,Norway,NOR,2,2,3,7,1996,Atlanta,USA,163.52,North,East,4381336.0,78.1504878,4905.527072446666
427,Poland,POL,7,5,5,17,1996,Atlanta,USA,160.193,North,East,38624370.0,72.24634146,4703.426059553332
428,South Korea,KOR,7,15,5,27,1996,Atlanta,USA,610.17,North,East,45524681.0,74.15121951,6422.407918860001
429,Mexico,MEX,0,0,1,1,1996,Atlanta,USA,410.976,North,West,93147045.0,72.925,7089.6430021333335
430,South Africa,ZAF,3,1,1,5,1996,Atlanta,USA,147.608,South,East,42241007.0,60.595,6388.8926753333335
431,Mozambique,MOZ,0,0,1,1,1996,Atlanta,USA,3.856799844,South,East,15960445.0,47.47,6411.842840133334
432,Moldova,MDA,0,1,1,2,1996,Atlanta,USA,1.695122174,North,East,2946401.0,66.761,4669.953369386667
433,Portugal,PRT,1,0,1,2,1996,Atlanta,USA,122.63,North,West,10063945.0,75.26097561,4772.601500306666
434,Ukraine,UKR,9,2,12,23,1996,Atlanta,USA,44.558076852,North,East,51057800.0,67.02243902,4731.877346073334
435,Hungary,HUN,7,4,10,21,1996,Atlanta,USA,46.658755152,North,East,10311238.0,70.32878049,4606.2260906
436,Tunisia,TUN,0,0,1,1,1996,Atlanta,USA,19.587322786,North,East,9267335.0,71.921,4575.978044073333
437,Bahamas,BHS,0,1,0,1,1996,Atlanta,USA,3.609,North,West,283980.0,71.589,6296.32602934
438,Belgium,BEL,2,2,2,6,1996,Atlanta,USA,279.201,North,East,10156637.0,77.18731707,4675.567093086667
439,Switzerland,CHE,4,3,0,7,1996,Atlanta,USA,340.471,North,East,7071850.0,78.89609756,4591.695619313333
440,Austria,AUT,0,1,2,3,1996,Atlanta,USA,237.251,North,East,7959017.0,76.87073171,4604.9858421
441,Kazakhstan,KAZ,3,4,4,11,1996,Atlanta,USA,21.035368251,North,East,15578227.0,63.6,5407.725040866668
442,Croatia,HRV,1,1,0,2,1996,Atlanta,USA,23.846613059,North,East,4557097.0,72.36536585,4571.386284686667
443,Japan,JPN,3,6,5,14,1996,Atlanta,USA,4833.71,North,East,125757000.0,80.2002439,6878.392655666668
444,Nigeria,NGA,2,1,3,6,1996,Atlanta,USA,51.075815093,North,East,110668784.0,45.88,5132.154626533334
446,Philippines,PHL,0,1,0,1,1996,Atlanta,USA,82.848140618,North,East,71401743.0,68.431,6570.342239333335
447,Slovenia,SVN,0,2,0,2,1996,Atlanta,USA,21.507232649,North,East,1988628.0,74.45853659,4572.73260364
448,Latvia,LVA,0,1,0,1,1996,Atlanta,USA,5.969114344,North,East,2457222.0,68.77658537,4827.814877173334
449,Russia,RUS,26,21,16,63,1996,Atlanta,USA,391.725,North,East,148160129.0,65.85414634,4889.668522333333
451,Netherlands,NLD,4,5,10,19,1996,Atlanta,USA,450.49,North,East,15530498.0,77.43560976,4712.265299573333
452,Ireland,IRL,0,1,0,1,2000,Sydney,AUS,99.871239174,North,West,3805174.0,76.53658537,4872.6161907666665
453,Algeria,DZA,1,1,3,5,2000,Sydney,AUS,54.790379459,North,East,31042238.0,70.64,4616.55255802
454,Jamaica,JAM,0,6,3,9,2000,Sydney,AUS,9.005064475,North,West,2654698.0,74.142,6373.497472599998
455,Qatar,QAT,0,0,1,1,2000,Sydney,AUS,17.75989011,North,East,592467.0,77.467,5031.895296600001
456,Spain,ESP,3,3,5,11,2000,Sydney,AUS,596.878,North,West,40567864.0,78.96585366,4676.2183132733335
457,Iran,IRN,3,0,1,4,2000,Sydney,AUS,109.592,North,East,65623397.0,70.176,4946.229137266666
458,Sweden,SWE,4,5,3,12,2000,Sydney,AUS,262.835,North,East,8872109.0,79.64390244,4888.82392808
459,Hungary,HUN,8,6,3,17,2000,Sydney,AUS,47.218405892,North,East,10210971.0,71.24634146,4606.2260906
460,Indonesia,IDN,1,3,2,6,2000,Sydney,AUS,165.021,South,East,211513822.0,65.772,6727.829790066666
461,Japan,JPN,5,8,5,18,2000,Sydney,AUS,4887.52,North,East,126843000.0,81.07609756,6878.392655666668
462,Armenia,ARM,0,0,1,1,2000,Sydney,AUS,1.911563669,North,East,3069597.0,71.409,4833.087700466667
463,India,IND,0,0,1,1,2000,Sydney,AUS,468.395,North,East,1056575548.0,62.505,5416.461758133333
464,Australia,AUS,16,25,17,58,2000,Sydney,AUS,415.223,South,East,19153000.0,79.23414634,8930.279554713334
465,Kazakhstan,KAZ,3,4,0,7,2000,Sydney,AUS,18.291994909,North,East,14883626.0,65.45,5407.725040866668
466,Iceland,ISL,0,0,1,1,2000,Sydney,AUS,9.025660362,North,West,281205.0,79.65365854,5458.149684733334
467,Israel,ISR,0,0,1,1,2000,Sydney,AUS,132.705,North,West,6289000.0,78.95365854,5276.838422866666
468,Argentina,ARG,0,2,2,4,2000,Sydney,AUS,284.204,South,West,36870796.0,73.576,7691.760326333334
469,Italy,ITA,13,8,13,34,2000,Sydney,AUS,1143.83,North,East,56942108.0,79.77804878,4550.87002624
470,France,FRA,13,14,11,38,2000,Sydney,AUS,1362.25,North,East,60912500.0,79.05609756,4657.586983086667
471,South Korea,KOR,8,10,10,28,2000,Sydney,AUS,576.178,North,East,47008111.0,75.9097561,6422.407918860001
472,Portugal,PRT,0,0,2,2,2000,Sydney,AUS,118.311,North,West,10289898.0,76.31463415,4772.601500306666
473,Latvia,LVA,1,1,1,3,2000,Sydney,AUS,7.949253766,North,East,2367550.0,70.31463415,4827.814877173334
474,Poland,POL,6,5,3,14,2000,Sydney,AUS,172.219,North,East,38258629.0,73.74878049,4703.426059553332
475,Nigeria,NGA,1,2,0,3,2000,Sydney,AUS,69.448756933,North,East,122283853.0,46.267,5132.154626533334
476,Georgia,GEO,0,0,6,6,2000,Sydney,AUS,3.057475335,North,East,4077131.0,69.902,4838.941393200001
477,Lithuania,LTU,2,0,3,5,2000,Sydney,AUS,11.524776867,North,East,3499536.0,72.0195122,4777.694243266667
478,Azerbaijan,AZE,2,0,1,3,2000,Sydney,AUS,5.272798391,North,East,8048600.0,66.763,4916.379435
479,Thailand,THA,1,0,2,3,2000,Sydney,AUS,126.392,North,East,62952639.0,70.623,6073.180027466665
480,Greece,GRC,4,6,3,13,2000,Sydney,AUS,130.134,North,East,10805808.0,77.88780488,4570.22862004
481,Macedonia,MKD,0,0,1,1,2000,Sydney,AUS,3.773653058,North,East,2034823.0,73.267,4570.159200186667
482,Bahamas,BHS,2,0,1,3,2000,Sydney,AUS,8.07647,North,West,298045.0,71.914,6296.32602934
483,South Africa,ZAF,0,2,3,5,2000,Sydney,AUS,136.362,South,East,44967713.0,56.048,6388.8926753333335
484,Finland,FIN,2,1,1,4,2000,Sydney,AUS,125.707,North,East,5176209.0,77.46585366,4940.61010778
486,Kyrgyzstan,KGZ,0,0,1,1,2000,Sydney,AUS,1.369688498,North,East,4898400.0,68.55853659,5366.259770333333
487,Romania,ROU,11,6,9,26,2000,Sydney,AUS,37.253259017,North,East,22442971.0,71.16341463,4620.2260788466665
488,Kuwait,KWT,0,0,1,1,2000,Sydney,AUS,37.712842243,North,East,2045123.0,73.142,4936.3273051333335
490,Switzerland,CHE,1,6,2,9,2000,Sydney,AUS,279.841,North,East,7184250.0,79.6804878,4591.695619313333
491,Germany,DEU,13,17,26,56,2000,Sydney,AUS,1943.15,North,East,82211508.0,77.92682927,4684.012143373334
492,Kenya,KEN,2,3,2,7,2000,Sydney,AUS,12.705357103,South,East,31964557.0,50.921,5507.264520666667
494,Colombia,COL,1,0,0,1,2000,Sydney,AUS,99.886577331,North,West,39629965.0,72.945,6596.774323
495,New Zealand,NZL,1,0,3,4,2000,Sydney,AUS,52.623281957,South,East,3857700.0,78.63658537,10162.121673733332
496,Canada,CAN,3,3,8,14,2000,Sydney,AUS,744.773,North,West,30685730.0,79.13658537,6264.481855317333
497,Saudi Arabia,SAU,0,1,1,2,2000,Sydney,AUS,189.515,North,East,20663840.0,72.561,4975.397389466667
499,Chile,CHL,0,0,1,1,2000,Sydney,AUS,77.860932152,South,West,15342350.0,76.366,7824.832181866667
500,China,CHN,28,16,14,58,2000,Sydney,AUS,1211.35,North,East,1262645000.0,71.397,6152.341139926667
502,Mozambique,MOZ,1,0,0,1,2000,Sydney,AUS,5.656473652,South,East,17711925.0,48.946,6411.842840133334
503,Estonia,EST,1,0,2,3,2000,Sydney,AUS,5.694069842,North,East,1396985.0,70.41707317,4908.7880147999995
504,Belarus,BLR,3,3,11,17,2000,Sydney,AUS,12.738912134,North,East,9979610.0,68.91219512,4770.616006033334
505,Slovenia,SVN,2,0,0,2,2000,Sydney,AUS,20.289627637,North,East,1988925.0,75.41219512,4572.73260364
506,Moldova,MDA,0,1,1,2,2000,Sydney,AUS,1.288429392,North,East,2923783.0,67.006,4669.953369386667
507,Belgium,BEL,0,2,3,5,2000,Sydney,AUS,236.205,North,East,10251250.0,77.72195122,4675.567093086667
508,Vietnam,VNM,0,1,0,1,2000,Sydney,AUS,31.172518403,North,East,79910411.0,73.025,6049.7034018
509,Brazil,BRA,0,6,6,12,2000,Sydney,AUS,655.421,South,West,174790339.0,70.116,6524.317218993334
510,Russia,RUS,32,28,29,89,2000,Sydney,AUS,259.71,North,East,146596869.0,65.48365854,4889.668522333333
511,Ukraine,UKR,3,10,10,23,2000,Sydney,AUS,31.261718319,North,East,49176500.0,67.67560976,4731.877346073334
512,United States,USA,37,24,32,93,2000,Sydney,AUS,10252.3,North,West,282162411.0,76.63658537,6262.408512226667
513,Croatia,HRV,1,0,1,2,2000,Sydney,AUS,21.633759451,North,East,4468302.0,72.80780488,4571.386284686667
514,Austria,AUT,2,1,0,3,2000,Sydney,AUS,196.8,North,East,8011566.0,78.12682927,4604.9858421
515,Mexico,MEX,1,2,3,6,2000,Sydney,AUS,707.907,North,West,98899845.0,74.34,7089.6430021333335
516,Uruguay,URY,0,1,0,1,2000,Sydney,AUS,22.823255802,South,West,3319734.0,74.731,7513.944150333335
517,Uzbekistan,UZB,1,1,2,4,2000,Sydney,AUS,13.760513969,North,East,24650400.0,67.156,5259.327183133332
518,Barbados,BRB,0,0,1,1,2000,Sydney,AUS,3.0595,North,West,271511.0,77.162,6011.813959533333
519,Costa Rica,CRI,0,0,2,2,2000,Sydney,AUS,15.013629665,North,West,3962369.0,77.452,6772.216453066667
520,Slovakia,SVK,1,3,1,5,2000,Sydney,AUS,29.169953013,North,East,5388720.0,73.05121951,4608.349577246667
521,Norway,NOR,4,3,3,10,2000,Sydney,AUS,171.247,North,East,4490967.0,78.63414634,4905.527072446666
522,Denmark,DNK,2,3,1,6,2000,Sydney,AUS,164.159,North,East,5339616.0,76.59268293,4769.836091046666
523,Bulgaria,BGR,5,6,2,13,2000,Sydney,AUS,13.245833844,North,East,8170172.0,71.66341463,4584.094277499999
524,Czech Republic,CZE,2,3,3,8,2000,Sydney,AUS,61.828166496,North,East,10255063.0,74.96829268,4632.779909539999
525,Cuba,CUB,11,11,7,29,2000,Sydney,AUS,30.5654,North,West,11126423.0,76.699,6467.743547433332
526,Ethiopia,ETH,4,1,3,8,2000,Sydney,AUS,8.242392104,North,East,66224809.0,51.941,5218.3524252
527,Cameroon,CMR,1,0,0,1,2000,Sydney,AUS,10.109045071,North,East,15513944.0,50.993,5286.381802733334
528,Netherlands,NLD,12,9,4,25,2000,Sydney,AUS,416.443,North,East,15925513.0,77.98780488,4712.265299573333
529,United Kingdom,GBR,11,10,7,28,2000,Sydney,AUS,1658.19,North,West,58892514.0,77.74146341,4727.1456612
531,Turkey,TUR,3,0,2,5,2000,Sydney,AUS,274.303,North,East,63240196.0,70.005,4669.0263621799995
532,Greece,GRC,6,6,4,16,2004,Athens,GRC,240.521,North,East,10955141.0,79.03902439,4570.22862004
534,Switzerland,CHE,1,1,3,5,2004,Athens,GRC,405.531,North,East,7389625.0,81.08780488,4591.695619313333
535,Israel,ISR,1,0,1,2,2004,Athens,GRC,135.728,North,West,6809000.0,80.14634146,5276.838422866666
536,Iran,IRN,2,2,2,6,2004,Athens,GRC,190.043,North,East,68951279.0,71.592,4946.229137266666
537,Jamaica,JAM,2,1,2,5,2004,Athens,GRC,10.174664854,North,West,2725017.0,74.146,6373.497472599998
538,Spain,ESP,3,11,6,20,2004,Athens,GRC,1067.09,North,West,42921895.0,79.87073171,4676.2183132733335
540,Indonesia,IDN,1,1,2,4,2004,Athens,GRC,256.837,South,East,223285666.0,66.969,6727.829790066666
541,Japan,JPN,16,9,12,37,2004,Athens,GRC,4815.15,North,East,127761000.0,82.0302439,6878.392655666668
542,India,IND,0,1,0,1,2004,Athens,GRC,709.149,North,East,1129623466.0,64.095,5416.461758133333
543,Zimbabwe,ZWE,1,1,1,3,2004,Athens,GRC,5.8055984,South,East,12019911.0,43.065,6067.669821066667
544,Kazakhstan,KAZ,1,4,3,8,2004,Athens,GRC,43.151647003,North,East,15012984.0,66.06,5407.725040866668
545,Hungary,HUN,8,6,3,17,2004,Athens,GRC,103.96,North,East,10107146.0,72.64878049,4606.2260906
546,Dominican Republic,DOM,1,0,0,1,2004,Athens,GRC,22.322395368,North,West,8974444.0,70.499,6178.694056066667
547,Sweden,SWE,4,2,1,7,2004,Athens,GRC,385.118,North,East,8993531.0,80.49756098,4888.82392808
548,Netherlands,NLD,4,9,9,22,2004,Athens,GRC,657.172,North,East,16281779.0,79.09512195,4712.265299573333
549,Colombia,COL,0,0,2,2,2004,Athens,GRC,117.082,North,West,42075953.0,74.026,6596.774323
551,Slovakia,SVK,2,2,2,6,2004,Athens,GRC,57.332015148,North,East,5372280.0,73.95853659,4608.349577246667
552,China,CHN,32,17,14,63,2004,Athens,GRC,1955.35,North,East,1296075000.0,72.689,6152.341139926667
553,Eritrea,ERI,0,0,1,1,2004,Athens,GRC,1.109054005,North,East,2719809.0,57.932,5064.849686133334
554,Egypt,EGY,1,1,3,5,2004,Athens,GRC,78.782467532,North,East,74172073.0,69.271,4721.534723780001
557,New Zealand,NZL,3,2,0,5,2004,Athens,GRC,103.905,South,East,4087500.0,79.54878049,10162.121673733332
558,United Arab Emirates,ARE,1,0,0,1,2004,Athens,GRC,147.824,North,East,4068577.0,75.174,5084.586666866668
559,Cuba,CUB,9,7,11,27,2004,Athens,GRC,38.203,North,West,11250369.0,77.499,6467.743547433332
560,Croatia,HRV,1,2,2,5,2004,Athens,GRC,41.587470547,North,East,4304600.0,75.5202439,4571.386284686667
561,Denmark,DNK,2,1,5,8,2004,Athens,GRC,251.373,North,East,5404523.0,77.49268293,4769.836091046666
563,Turkey,TUR,3,3,4,10,2004,Athens,GRC,408.876,North,East,67010930.0,72.004,4669.0263621799995
564,Ukraine,UKR,8,5,9,22,2004,Athens,GRC,64.819702952,North,East,47451626.0,68.18536585,4731.877346073334
565,Czech Republic,CZE,1,3,5,9,2004,Athens,GRC,119.814,North,East,10197101.0,75.72195122,4632.779909539999
566,Estonia,EST,0,1,2,3,2004,Athens,GRC,12.144397516,North,East,1362550.0,71.9097561,4908.7880147999995
