,Country,Gold,Silver,Bronze,Total,Year,Life Expectancy at Birth,Population,GDP (Billions),Latitude Hemisphere,Longitude Hemisphere,Distance From Tokyo 1964,Distance From Mexico City 1968,Distance From Munich 1972,Distance From Montreal 1976,Distance From Moscow 1980,Distance From Los Angeles 1984,Distance From Seoul 1988,Distance From Barcelona 1992,Distance From Atlanta 1996,Distance From Sydney 2000,Distance From Athens 2004,Distance From Beijing 2008,Distance From London 2012,Distance From Rio de Janeiro 2016,Distance From Tokyo 2020
138,Germany,10,12,17,39,1976,71.8,78336948.0,3861.0,North,East,6996.0687849999995,6545.682422999999,301.17456519999996,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867000001,6034.938596,6996.0687849999995
139,Netherlands,0,2,3,5,1976,74.7,13774037.0,907.0,North,East,7464.868875,6100.454387,476.857991,4398.587044,1805.1512579999999,6820.142453,6738.124602,759.0711687,5020.216004,9971.222179999999,1445.327934,6159.095349,257.7032749,5802.288098,7464.868875
142,Austria,0,0,1,1,1976,71.7,7565525.0,445.0,North,East,6793.721355,6605.111663000001,253.3477585,5014.993429,1259.691378,7405.4282840000005,6067.3108600000005,896.7318071000001,5582.07332,9291.326525,827.7513878,5490.842169,916.0407101,5876.695629999999,6793.721355
146,Finland,4,2,0,6,1976,72.0,4725665.0,269.0,North,East,6482.014653,7342.902147,1107.2607699999999,5585.00046,746.7650967000001,8027.166633,5760.047999,1798.184727,6245.868187,9463.102949,1559.687466,5176.841428,1497.6725609999999,6834.621887,6482.014653
150,Germany,40,25,25,90,1976,71.8,78336948.0,3861.0,North,East,6996.0687849999995,6545.682422999999,301.17456519999996,4872.216869,1333.68983,7288.952903,6269.358107,965.7531077,5482.642461,9596.458151,1158.608736,5689.498045,729.0707867000001,6034.938596,6996.0687849999995
152,Sweden,4,1,0,5,1976,75.1,8222309.0,531.0,North,East,6835.886355,6965.4458939999995,840.4798442,5197.250774,1086.1429460000002,7640.034601,6112.028674,1503.346409,5861.369457,9701.36456,1520.955875,5528.906607,1125.672413,6577.588157,6835.886355
153,New Zealand,2,1,1,4,1976,72.3,3153535.0,209.0,South,East,5633.175948,15503.5678,10817.74758,14901.591980000001,10022.90373,16800.398240000002,6014.854576,10995.367040000001,15046.355969999999,1363.195659,9872.18615,6413.627205,11467.58087,11946.09641,5633.175948
154,Belgium,0,3,3,6,1976,72.2,9818228.0,533.0,North,East,7465.484676000001,6040.287639,434.360945,4369.683402000001,1841.269434,6781.550401,6738.867833,639.0615885,4973.865723,9915.550018,1378.649126,6161.241147,239.87647180000005,5688.273316,7465.484676000001
155,Italy,2,7,4,13,1976,72.8,55718266.0,2005.0,North,East,6965.601489,6274.19585,457.0470028,4804.9314030000005,1671.3395990000001,7145.651673,6242.692758,552.6489257999999,5306.023586,9198.202937,668.2934621,5675.147349,955.5483159,5380.124554,6965.601489
157,Denmark,1,0,2,3,1976,73.9,5072597.0,350.0,North,East,7083.182967,6577.621265,503.3433966,4848.347592,1365.5487890000002,7280.410025,6357.022542000001,1115.420174,5488.84764,9769.383098,1371.93215,5775.38342,731.9401851,6195.975155,7083.182967
164,Mexico,1,0,1,2,1976,65.2,60702805.0,1269.0,North,West,13085.252,0.0,6364.498871,2223.440536,7858.834811,1463.565709,12380.98084,5737.41412,1285.687064,14148.988130000002,6810.8918650000005,11838.94405,5845.682904,4215.212132,13085.252
165,Australia,0,1,4,5,1976,72.8,14033083.0,1397.0,South,East,4913.860856,14055.774080000001,9451.196419,13465.23217,8731.68456,15352.68274,5148.457275,9600.139656,13601.026119999999,149.5349657,8495.174416,5456.561157,10092.5908,10526.41725,4913.860856
168,Portugal,0,2,0,2,1976,69.0,9355812.0,240.0,North,West,8123.950193000001,5089.808385,1313.294218,3661.9932350000004,2795.165071,5966.667892,7404.1561409999995,648.5692576,4123.443749,10074.42094,1778.72057,6841.824291,1020.472164,4622.586205,8123.950193000001
169,France,2,3,4,9,1976,73.2,52908675.0,2716.0,North,East,7556.722473000001,5888.888745,512.7500361000001,4251.2845259999995,1978.1957579999998,6651.180372999999,6830.559026999999,490.59273449999995,4836.118307,9924.52168,1383.900092,6254.959901,232.4547227,5514.953898,7556.722473000001
171,Spain,0,2,0,2,1976,73.7,36118035.0,1393.0,North,West,7819.620505,5420.702243,984.7989516000001,3954.379329,2462.2224969999997,6282.117102,7098.169379999999,316.7736503,4442.023961,9872.403926,1480.791019,6533.068547,788.7473852,4867.835698,7819.620505
172,Norway,1,1,0,2,1976,75.3,4026151.0,406.0,North,East,7244.041584999999,6597.650799,789.7038605,4795.701101,1495.737142,7243.423025,6519.505523,1332.1008980000001,5475.721879,10030.82783,1674.107286,5936.572968,804.9982622,6398.772343,7244.041584999999
173,Switzerland,1,1,2,4,1976,74.9,6302505.0,731.0,North,East,7266.357867000001,6107.655201,258.5672781,4524.212450999999,1752.428395,6907.624089,6540.694834000001,453.42408889999996,5082.748138,9621.005369,1079.457978,5966.725534,519.0484637,5529.126736,7266.357867000001
